sugas,parklajumi,svarots
ABRGRO,0.05119196522045784,8.286156048992609e-4
ABRSYL,0.08485295396094207,0.0013734671343646127
ABRTRI,0.02243985084602964,3.6322126924717707e-4
ACHFLA,0.10798639269943391,0.0017479151214880885
ACLCRI,0.28382248393028753,0.0045940752263193265
ACLLAT,6.727472991755699e-4,1.0889382891437339e-5
ACLSP.,0.2835419980793922,0.0045895351592989565
ACLVAR,3.4804993938535567e-7,5.63368899429738e-9
ACRACE,0.012594404891309429,2.0385856222585624e-4
ACRALN,0.022251901687051462,3.601790417142756e-4
ACRAUR,0.07943086284972585,0.0012857027891867905
ACRCUS,0.0014196906350309015,2.2979735379368295e-5
ACREUP,0.004583445844390805,7.418966500928802e-5
ACRLEP,0.01001094764569306,1.6204158999029339e-4
ACRMEG,4.623614123611054e-5,7.483984639694352e-7
ACRMEN,1.3085092858815355e-16,2.1180105291283666e-18
ACRPSI,0.011923083244685112,1.9299225557198947e-4
ACRRUM,0.031798546621680426,5.14705224352499e-4
ACRSP.,0.1571369162144558,0.0025434870554454027
ACTPOL,0.43066402750764043,0.0069709168640977575
ADECRO,0.06727154959091716,0.0010888868109816612
ADEREA,0.21072652274601678,0.0034109119343542736
ADSSTA,0.006010287141053482,9.728514413453376e-5
AETPUN,0.611072636638719,0.00989108974944037
AGAZOE,0.005545593479495312,8.97634086862725e-5
AGLIO,0.1938402734349231,0.003137583695691541
AGLPIN,0.11032133768262267,0.0017857095652317378
AGLTAU,0.6122465400758331,0.009910091065417372
AGLURT,0.1071656242005242,0.0017346298025268515
AGOARE,0.16677176375150007,0.002699440924097228
AGOCIL,0.3136385886639662,0.0050766917766556985
AGOHER,0.1841096034381071,0.0029800788026724196
AGRAUR,1.1120185942655963e-16,1.7999620764283132e-18
AGRCIR,9.212299041302341e-5,1.4911431334484234e-6
AGRCLA,5.256010055803787e-4,8.507608436188695e-6
AGRCON,7.739552230926402e-17,1.2527578743774489e-18
AGREXC,0.13316421390219055,0.002155454379965906
AGRHEL,1.2166787709743218e-16,1.969369629466943e-18
AGRINQ,3.1413552509187973e-14,5.084735407663783e-16
AGRIPS,5.771059640496373e-9,9.3412902871105e-11
AGRLIT,6.717641271482817e-15,1.087346883772592e-16
AGRLOT,5.930500424424333e-17,9.59936813399746e-19
AGRMAC,3.560062388143696e-10,5.762473146961583e-12
AGRMAR,0.0056753114754492275,9.186308107081145e-5
AGROPT,0.02272799855156657,3.67885354407721e-4
AGRSEG,2.8831869792862667e-8,4.666852918403347e-10
AGRSTR,5.100237772257257e-16,8.255468584941365e-18
AGRTRI,5.103480635580676e-15,8.260717625767924e-17
AGRVES,2.0825688733385482e-16,3.3709373322440305e-18
