x,y
747988,278533
512252,305769
531896,327495
531793,327350
663218,335561
512161,307451
416307,402287
542670,343018
564121,346181
531326,325567
584081,230676
495284,287287
496045,285146
623016,297610
405343,388505
743425,272980
647472,280618
548608,300004
531415,300206
484115,286709
510729,300886
492712,288798
574808,413581
650790,200823
710309,342119
469765,299840
517171,303016
446955,324892
439421,244954
439629,245050
431889,249967
402843,395037
528430,377745
405040,394415
404900,394260
415379,399384
587860,336763
389704,346449
573973,418017
405601,388232
502848,315050
570054,331797
338505,291815
478931,281378
527257,327458
683168,371164
559148,358671
402263,282461
406870,389615
407188,389761
499819,312519
551835,336766
716555,274656
716592,274732
320360,287475
638840,341412
546972,303085
499729,314953
403420,394198
532305,319844
574695,271660
549346,331908
575245,414236
541291,338935
443244,349515
527657,332692
531102,325933
550106,334916
510966,308575
733200,264561
551404,336654
547864,334428
400869,389969
401245,390139
507183,309917
339811,290773
502901,314441
725078,331456
541065,339899
578054,364968
577800,365065
577798,364993
529033,303473
573653,366277
722839,326363
502627,318670
577795,364883
724888,324652
652079,196972
575544,365126
576005,365476
570296,321882
550021,334709
415531,400384
648540,197359
576671,366517
575350,365127
403098,389711
541464,338851
400022,280934
579449,359287
