x,y
626383,366455
502042,319415
522280,324190
577420,294807
500010,320806
499989,321291
541345,334526
374614,286685
373491,285772
374408,284246
409238,386729
670462,344539
656428,199045
448816,331817
560707,408772
598714,306596
366225,266343
620875,323345
545602,298229
557605,283087
541017,309336
404858,379364
564009,433556
563979,435178
595549,352764
534167,277602
359301,368524
626171,298081
529509,268585
573629,293034
475936,311652
623869,342100
619684,404820
501814,286417
574209,355501
670947,188796
669101,195394
365509,265406
468118,293686
580909,350887
661877,195326
574835,356196
739622,271458
648938,224342
578822,353416
542107,299878
391223,360915
452032,331701
582379,305308
522888,323430
576585,416377
647994,267700
557325,399380
507274,285181
583312,354012
482417,297495
486127,302257
407227,326429
645712,225428
638530,232570
351515,362684
641100,368122
514696,313061
573883,355666
490926,314187
447789,334331
587393,279201
455669,268514
471635,249793
492807,314640
526562,323236
417255,285860
334901,253089
463693,294556
496476,315514
480353,303185
653521,203511
702683,336627
429606,257349
419055,250861
413570,249645
416293,248531
449963,346819
515116,312764
578373,352315
607106,280384
514454,313636
452225,326907
399317,388883
399523,389046
445943,242600
471512,313940
513343,319547
546151,379033
421307,255732
421817,254763
420647,260304
723130,292535
507858,292616
523658,318343
484054,312966
610048,341673
419789,273221
552764,295419
516208,332621
338580,315687
607745,301340
594013,292852
555800,404097
398234,294055
550876,412793
558226,418005
416060,327843
437293,354013
495382,293083
439725,304185
470348,311897
611867,238265
583277,252147
687016,294560
594388,282640
408348,374629
695148,342010
477534,287724
486566,302162
580218,355410
519563,327531
512914,326085
384892,289981
351604,363176
564300,368203
540834,333951
419935,286512
471605,315066
516748,317765
387920,263470
548181,259958
495450,317600
394154,389148
482535,272717
546170,379000
455523,324101
494759,243553
600301,392074
584192,355445
514255,313239
380914,307573
515077,330257
504998,302171
596199,229393
574486,353607
449148,277292
606144,322479
396357,390833
399723,389029
397746,389049
522992,323003
728111,354410
622852,285102
404676,374369
559528,338056
515013,312724
626059,275780
574178,353244
526729,318420
525915,348367
625298,321240
657120,194496
426933,290591
462219,260805
524219,307414
399672,389020
574008,355054
705925,192684
461492,275362
520464,410224
580070,348895
596944,341798
596501,334649
579256,353264
611184,284306
599909,242663
605747,328608
610709,320984
521079,414016
574555,341124
452147,328331
462288,251878
507825,311393
472396,277165
640846,207486
379078,282838
541035,275575
531833,238571
543164,337645
518479,331327
507977,289490
583815,347991
546386,301756
509220,286106
409671,383201
365261,305576
401717,327652
683375,311783
718730,329060
520938,414176
620548,327495
573621,355245
577007,352467
502027,324420
715373,307290
714976,307489
523037,302888
648591,346228
649422,293801
703596,349149
721059,352616
396650,371340
512651,326198
445956,281441
649742,294030
464431,288426
486037,250447
616105,366738
672785,177359
518206,266623
573840,355122
461534,275352
676778,287740
719443,328177
500659,282913
364327,262850
364943,259762
401159,279257
573646,351348
578139,341454
522616,303199
541362,328260
621939,361114
496696,301389
513209,316578
511621,322160
560050,374280
562398,337341
513165,316117
523616,321793
575473,353892
453337,332209
709390,287458
571785,372293
506369,306231
569495,369084
569431,368248
609477,242162
697678,199486
517807,333788
569670,368307
516849,269467
525503,321046
352703,290135
518270,332020
590226,379176
600743,340456
696343,311312
568515,368880
568626,368856
614400,373580
713214,302916
585035,341790
617685,413439
620293,284684
619572,405784
557852,250939
615435,398938
520327,314764
412192,285438
357153,252290
624804,392528
543133,333680
574073,342641
516083,267024
448440,316893
524584,322414
524699,322459
318506,234165
524226,264251
356148,359918
542543,338463
517740,332443
724358,270246
706065,290441
602286,388610
704446,269938
561469,375507
716485,328930
627529,394982
714414,331809
696765,358711
518494,331716
365741,377650
512493,326128
560618,375087
580132,376622
588984,320429
