sugas,parklajumi,svarots
ABRGRO,0.1493223359368994,7.638554066246584e-4
ABRSYL,0.5273094865754722,0.002697441074424106
ABRTRI,0.3621195999741755,0.0018524155314709313
ACHFLA,0.010061796804183796,5.147091920985182e-5
ACLCRI,0.39386133986175503,0.0020147897635419266
ACLLAT,0.1277765193813451,6.536382153194139e-4
ACLSP.,0.3338425348209645,0.0017077647733292594
ACLVAR,0.08175656980027846,4.182240886950708e-4
ACRACE,0.266406596057317,0.001362797584715299
ACRALN,0.26550789978374123,0.0013582003220005343
ACRAUR,0.49363551623456825,0.0025251825563261335
ACRCUS,0.18571833593155251,9.500384126765801e-4
ACREUP,0.2018923104365934,0.0010327760539997487
ACRLEP,0.242292811752537,0.001239444006030522
ACRMEG,0.14948116066616354,7.646678713332562e-4
ACRMEN,1.6092191228453805e-4,8.231928061644266e-7
ACRPSI,0.2508572574473286,0.0012832552557518924
ACRRUM,0.33358346784642795,0.0017064395214308344
ACRSP.,0.4308277958965077,0.0022038909259951512
ACTPOL,0.4820621248958707,0.002465979105673025
ADECRO,0.2650154277230777,0.0013556810910777847
ADEREA,0.061800961138021866,3.1614157388903377e-4
ADSSTA,0.18354359921460603,9.389135907348264e-4
AETPUN,0.30252261373175027,0.0015475483468385587
AGAZOE,0.21775258465317063,0.0011139089678057698
AGLIO,0.3560905275024415,0.0018215739324859543
AGLPIN,0.33514380402843597,0.0017144213897916573
AGLTAU,0.30525434329859874,0.0015615224545029033
AGLURT,0.42760276142041304,0.002187393326987881
AGOARE,0.43752782921681904,0.0022381648117080553
AGOCIL,0.419384701250644,0.0021453540054539775
AGOHER,0.10351410185179523,5.295243063623291e-4
AGRAUR,7.023597137396626e-8,3.5929069912360816e-10
AGRCIR,0.10286760725124865,5.262171762341892e-4
AGRCLA,0.023816270782225254,1.2183165424312203e-4
AGRCON,0.014909129413576232,7.626735169371744e-5
AGREXC,0.5256205627089005,0.0026888014183487855
AGRHEL,0.013574988143273715,6.944257885496199e-5
AGRINQ,0.0958249059817044,4.901903795180098e-4
AGRIPS,0.048270669390453255,2.469276385474602e-4
AGRLIT,0.019969396418635148,1.021530457965208e-4
AGRLOT,0.01038616256211611,5.3130205721584436e-5
AGRMAC,0.029956230375293547,1.5324049406735348e-4
AGRMAR,3.4421743066414087e-4,1.7608373443766805e-6
AGROPT,0.28935913685779335,0.0014802108456063272
AGRSEG,0.04209138255933565,2.153176210278552e-4
AGRSTR,0.06693291661950429,3.4239398895133193e-4
AGRTRI,0.09642448781000161,4.932575283031203e-4
AGRVES,0.04574307345955466,2.3399777239270584e-4
ALCREP,0.31648627180085814,0.0016189791588830035
ALLOXY,0.1094282564138044,5.597780450910993e-4
AMPBER,0.28605337490001254,0.001463300286789915
AMPHI.,0.21099377291600427,0.001079334402283473
AMPLIV,0.10595082959394961,5.419893381249147e-4
AMPPER,0.04769650597331911,2.4399051713349214e-4
AMPPYR,0.3649266451767075,0.0018667749147550233
AMPSP.,0.11104313370209537,5.680389173842953e-4
AMPTRA,0.1859231392055048,9.510860797059051e-4
ANABLA,0.2503931438985493,0.001280881092226399
ANAFUN,0.08188069496358989,4.1885904847184307e-4
ANAHOR,0.4971070506118815,0.002542941120620993
ANAMYR,0.09289527869080264,4.7520393002597864e-4
ANAPRA,0.38682660762882587,0.0019788037322722952
