x,y
578650,361550
333450,242750
438650,354850
429350,289750
585650,365250
607250,313550
488650,312050
623950,253150
584350,417050
710050,203850
412850,289150
723250,344750
483250,277350
698850,251350
574950,419050
462750,297350
667050,314250
516850,310850
657550,199050
320950,225050
659250,272450
607450,311550
340950,243450
620250,396350
508250,314550
450350,303750
616150,291250
514150,313750
513150,317650
574750,416150
468750,312950
564850,372450
512650,314350
352350,354450
409350,279150
566050,233950
494750,244950
508250,315550
658150,194050
578850,413850
516350,312950
515950,267750
354250,249550
532650,352250
382950,256750
560350,311050
575350,418650
517550,317150
679350,343850
411950,328350
511650,310750
403650,342350
496750,313050
489750,253450
452550,331050
576750,417450
534150,330050
620550,225650
379950,308050
632050,275650
512050,314650
524750,296050
637750,254250
497950,314850
532150,337550
615050,393750
376550,301750
658250,271150
577350,367450
497950,248150
477250,255650
584150,362050
666550,231750
582450,366050
493050,312450
492050,314550
617350,390150
620350,373050
527850,405850
529350,355750
615550,251450
614050,369150
321350,300050
523750,299850
450350,328150
617650,389950
651850,179350
618950,392750
657250,198050
665450,269150
580750,367750
581250,361250
572950,415750
648950,203450
608550,316850
495150,247650
492850,312150
623250,390950
753550,231650
450450,317550
580250,365250
467450,292950
461950,299750
577250,364550
459350,318850
408850,397650
572850,403950
578450,362850
493950,296850
723850,222150
357750,370050
577850,365950
621750,309850
516150,270150
494150,247050
514250,267850
461650,312450
458650,315250
579150,365350
425350,375150
468850,312450
402850,278550
573150,302250
513450,311550
653350,321950
331750,260650
515150,313950
615850,389150
510550,311750
516750,317450
581750,367550
496850,299050
585450,277250
451850,325350
440550,360150
711850,364050
614750,218250
580050,366650
636050,231450
636550,255750
578950,361850
494550,316850
661750,196750
497850,312850
583550,415450
492350,314750
496150,298150
522250,299350
319750,282650
430150,290650
675950,344650
467750,319750
510950,314750
413450,326750
460250,310850
457250,320750
577150,366250
586550,428250
511750,314650
333750,249050
450450,313050
518550,299650
674550,241550
641950,236950
584550,364750
508550,317050
495250,247950
579550,364050
619150,391550
578650,419350
514150,318850
527350,277550
539250,341250
493350,310550
464050,291350
