x,y
535250,299050
473450,295850
440950,271750
522750,300650
514050,286450
653050,225950
516450,300650
539850,296950
530050,414950
592450,309550
618050,377950
613950,390950
366550,373650
506550,308450
678650,288550
414650,402050
396450,389150
533450,369750
576150,353350
547550,334050
692950,263250
616750,408150
597850,304650
401250,392450
543150,338150
669150,377150
524350,316250
731450,233850
528350,325550
515250,326150
398150,394450
576150,348950
510950,295350
573450,353750
708050,270050
636250,214650
522150,412450
365950,326450
613750,387850
483450,312450
504450,315050
521650,302050
540550,315650
573050,263150
407050,326650
509150,257050
478450,312550
525650,311750
689650,299950
425650,322450
622350,399750
487750,301650
595350,352250
422350,321450
393750,299650
415850,302350
403250,395750
635650,307150
401750,395350
521350,414650
595350,353650
607650,361750
474050,309350
537350,319950
415150,400050
615850,413250
530450,343950
336250,234850
739450,274550
588350,334750
520150,306050
478650,308250
641450,378450
666650,204650
568850,354250
510750,327050
400850,388150
586350,259450
662150,192350
510050,308850
398850,387850
486150,312250
438250,271650
581150,345650
342450,285350
614350,367750
527550,309550
529850,341950
615750,289650
647350,197250
591150,380550
525350,317250
581650,228450
377250,284350
654150,347050
689550,345850
605450,388350
739250,287750
490350,304550
572850,353250
376050,316750
574850,370550
482550,305650
375550,282450
533550,305750
473250,295750
524550,310150
662050,191750
526450,306350
568450,370950
596750,287250
444550,311050
487750,311050
498850,305750
422850,320250
528550,239950
501950,320850
551650,334750
515950,334750
521150,325150
599350,305350
455750,280250
506150,323250
534950,316350
477050,299950
705350,268150
618850,303650
500350,318150
616350,399150
592850,314150
518250,262850
540850,299850
599650,387950
704050,247750
335850,234950
326050,242150
613850,409050
723350,353750
649750,200150
694750,304750
447050,354750
354150,257150
651650,227050
431950,292050
626350,401250
626750,369250
629850,398150
503150,316050
543450,308050
581150,341050
318450,279650
501150,312550
618050,411950
529650,311950
681550,370750
519750,312350
630250,229050
542550,338150
515750,299450
526550,356250
366450,362750
552650,334950
677350,284350
699150,331350
565350,262950
587950,358850
419850,315450
504350,324550
598550,308050
617150,412950
571450,314950
701150,274150
554250,349250
508350,305150
528350,322250
530050,339450
502950,281450
