x,y
656534,195247
452091,331696
456154,325944
483375,279619
661764,198491
656632,194673
663560,194004
630929,329726
511489,312551
515283,312890
515276,311641
513845,316359
495139,247435
497543,317221
371600,256391
494462,310065
640675,256143
652976,208511
658393,202350
534363,330067
580518,422191
559649,430764
660421,201575
453936,326294
656172,194822
595090,282746
463432,298552
487597,284758
450913,250215
515844,315100
492010,311269
511950,314283
327511,260703
670457,305757
514103,313800
514672,313011
487570,276967
419513,381255
516306,315072
485173,283570
657386,195925
495509,317936
511432,316450
494264,247370
515182,312320
459668,312606
488549,312889
488972,312868
446091,280859
694454,253878
497061,313031
487732,273617
573905,418122
669185,288384
495025,313474
496766,257877
511714,313034
728764,341600
730941,342752
658842,198872
655867,200382
376963,277918
463337,290269
491999,311158
599444,409929
576768,419405
675871,346487
615519,291324
576466,421427
493220,244407
488690,312880
495309,317894
480740,274332
515041,314922
494282,247294
514910,315672
559528,338056
514559,313133
481207,282990
459794,312542
682471,340415
512746,311971
515030,316304
564317,368183
512188,313845
512477,313507
416816,320029
494405,247382
656982,196533
463669,294537
447272,358368
629131,302564
495350,257589
620142,395483
515630,314992
468021,310743
327731,226851
527830,334688
631083,302020
410761,381098
516268,314863
515088,314847
529636,419009
572925,428343
569964,434895
569721,435404
569409,427127
351090,291413
515990,314944
515181,312774
533107,287121
492983,246472
540701,339209
495417,293332
495319,292788
517204,316124
684117,311925
330465,307964
513405,313931
581119,418517
609821,341913
723422,221741
375204,365111
646822,209617
514584,312112
513466,316193
574880,414520
513097,314395
512643,314211
526238,292011
577481,364889
577460,365127
514736,311234
629323,302275
494400,247374
577447,365814
701088,250512
600569,385372
576892,416172
512702,315968
513577,316251
510440,316157
512874,311543
410254,399164
514113,316428
515960,315357
577644,365076
577352,364927
578116,365055
675746,239006
375106,277881
577462,365013
528166,334513
452282,332572
714347,331721
375660,301657
578118,364982
578273,364804
515754,314378
578752,365351
457485,300987
581768,362942
515377,312735
577456,364992
375723,301616
574902,414505
509827,316480
414858,321940
575333,421327
576780,416193
512802,312470
468811,311805
495209,313164
576911,416495
633191,303427
494566,247392
463505,298895
576727,416442
581565,364754
580440,416621
576842,416481
515113,316416
516186,316578
577378,365029
576777,416219
560518,375510
401181,279266
620506,394929
620483,395032
460312,312132
524673,299627
623075,394414
620248,394120
515585,315024
535575,330681
616375,392332
507998,316771
653845,205745
495118,311296
516164,316669
621895,392043
576837,365067
576816,365430
458425,315072
614989,387787
563339,370878
615517,391743
622594,223409
495264,310930
