x,y
462735,269883
501839,252292
478732,311766
594275,357312
529975,268420
366833,267476
502386,319504
520975,324287
481373,292584
533064,327310
575294,369803
600153,307624
599689,307066
637862,215647
366180,265800
655445,267779
647994,267700
663974,195280
531112,300131
475737,307422
507292,284959
505640,284978
505378,286937
502836,314180
516190,299462
481429,303670
434426,367391
532188,327701
581532,355900
544871,306906
574628,355217
528267,377899
685655,222785
732637,264054
527104,402129
502125,321313
505094,310570
519635,302348
475457,310743
371914,317220
530281,321722
526405,323166
708449,349712
653795,235832
657651,214464
659622,207581
520698,323593
502462,319621
414664,314169
672388,345158
463730,273352
476390,268195
699776,194684
441530,243954
693369,193544
398027,388449
436196,314358
577051,347181
521555,303143
507830,314258
582828,378839
631550,367312
632198,368832
631870,370037
510616,250918
540321,350347
722852,292651
655548,204097
671353,197115
671671,199564
619093,347798
506303,302457
518473,331658
719112,253558
535776,296423
519662,315001
585286,357690
539941,299269
587778,368012
654696,349919
529258,300066
739646,286273
549197,381202
535654,255663
404787,379397
531884,327483
517332,301719
693470,225879
538339,376004
568881,353532
656039,324121
480876,303616
376872,317373
657812,192279
363110,262950
577778,355075
538267,376093
570054,275563
667680,200012
316530,274415
503527,311821
503741,316587
472453,309535
618082,262555
501683,253410
539251,286847
585514,378437
320623,271869
448917,307673
525588,360579
699864,371346
520191,337628
520926,338366
683363,293375
515262,301002
539142,331014
432863,369713
504051,303552
543016,327628
703699,191161
707953,189253
521056,413155
518911,322496
512100,299957
496477,277502
620163,284790
434319,367499
481294,312701
519103,330994
476391,311580
475953,311090
507812,314188
531157,325797
344562,317685
511729,306180
495255,307819
542335,248353
598855,298374
475468,310125
539398,297767
476414,311542
437401,281015
535225,297135
438262,295406
532636,297339
481295,259960
472507,309534
543209,286125
490608,283235
583464,250711
484589,311632
543185,337471
538504,299483
414465,291514
689865,222070
699862,216760
740736,245543
664300,242410
520012,328088
688192,249243
490359,274171
491135,269330
490753,264725
704483,269086
584792,397901
474872,308049
397410,392856
423134,318954
607747,272981
657273,192586
395758,299687
528274,304476
604590,310242
511797,301737
525356,309413
528254,318403
552365,310245
425974,320059
697007,340904
707829,337217
365654,264524
352546,258259
585081,396934
410668,327907
478592,280522
542420,296539
596640,333780
593859,278222
569450,341392
528361,305547
481061,310377
425974,319979
610133,393206
587257,414135
635152,341899
534368,361259
404188,388864
677919,315443
339718,291291
595576,352947
650578,295269
339629,271143
520742,312952
537898,298648
512620,326190
562973,403273
574957,353942
615394,383081
414881,401647
338671,292229
528276,342774
574009,351525
516667,331363
593954,278207
552075,336887
517727,301550
532094,310566
503666,307170
576300,354584
497921,307860
481238,312688
504199,318913
501653,252155
519466,330758
670350,297581
519411,327235
577048,395766
577877,354097
554464,348756
486391,311980
551024,337062
