sugas,parklajumi,svarots
ABRGRO,0.11312826216249085,6.987513024565647e-4
ABRSYL,0.5830455182352192,0.003601255844212926
ABRTRI,0.20352012907536002,0.0012570683271283163
ACHFLA,0.0052934196206736416,3.269548902892298e-5
ACLCRI,0.24896816974909566,0.0015377840122084777
ACLLAT,0.02004031808242932,1.237816094233637e-4
ACLSP.,0.24964225853577912,0.0015419476085429629
ACLVAR,0.005125218690514276,3.1656574289346685e-5
ACRACE,0.11002391711686284,6.795769148858311e-4
ACRALN,0.12327511994388064,7.614246782784597e-4
ACRAUR,0.28661222691464805,0.0017702973865976097
ACRCUS,0.04069279932917098,2.513443235875107e-4
ACREUP,0.08175528457699575,5.049720599334368e-4
ACRLEP,0.09108122332024768,5.625749234346676e-4
ACRMEG,0.016115783403632535,9.954121479583578e-5
ACRMEN,8.932193928621565e-9,5.5170847868715425e-11
ACRPSI,0.10487853592638494,6.477958043149129e-4
ACRRUM,0.16147694400511226,9.973831718391672e-4
ACRSP.,0.22277693869597212,0.0013760104954808523
ACTPOL,0.4974653730239865,0.0030726590392440786
ADECRO,0.4062811458686829,0.00250944789933682
ADEREA,0.034289016561089285,2.1179053336470272e-4
ADSSTA,0.09237430485010471,5.705618082846474e-4
AETPUN,0.2957001297516739,0.0018264299906223184
AGAZOE,0.07330948277839511,4.5280547579033733e-4
AGLIO,0.18772152149770968,0.001159486189730792
AGLPIN,0.2263049359899512,0.0013978016258059188
AGLTAU,0.2802234025721396,0.001730835989019683
AGLURT,0.2707541345745571,0.0016723478338925648
AGOARE,0.28302026064804847,0.0017481111436624761
AGOCIL,0.23081374119228623,0.001425650842680914
AGOHER,0.062617749557883,3.867666065410224e-4
AGRAUR,7.791310796037876e-16,4.812403604994519e-18
AGRCIR,0.011681975718823973,7.215522976097388e-5
AGRCLA,0.03142841324680659,1.9412164803527402e-4
AGRCON,0.0021521060323838417,1.3292760486260165e-5
AGREXC,0.7941702156554096,0.0049052947685553835
AGRHEL,0.002151593704598046,1.3289596027611492e-5
AGRINQ,0.004495739854954921,2.776851707174206e-5
AGRIPS,0.002736283728156208,1.6901009371058806e-5
AGRLIT,0.0021610354470626824,1.3347914167734143e-5
AGRLOT,0.002142245173230521,1.3231853617852457e-5
AGRMAC,0.00233462230906266,1.4420095809997972e-5
AGRMAR,6.225698313182493e-5,3.8453828617905483e-7
AGROPT,0.4452574749113853,0.0027501902228107326
AGRSEG,0.0027728550133070476,1.7126896630733624e-5
AGRSTR,0.0034404610037901723,2.125045113834065e-5
AGRTRI,0.0027756984969854685,1.7144459774424073e-5
AGRVES,2.0113458502797455e-4,1.2423337066337147e-6
ALCREP,0.3531820062180534,0.0021814742145920864
ALLOXY,0.07439608264538276,4.595170000177332e-4
AMPBER,0.12425005929514638,7.674465169285982e-4
AMPHI.,0.06245297693093274,3.8574886715839744e-4
AMPLIV,0.08856430651798053,5.470288621751666e-4
AMPPER,0.024034273109188837,1.4845078778387487e-4
AMPPYR,0.18443021214406555,0.0011391569929970616
AMPSP.,0.005738285554127187,3.5443260845418594e-5
AMPTRA,0.05690995524101527,3.515116787552768e-4
ANABLA,0.15210877066541745,9.395194409056159e-4
ANAFUN,0.09090792736279536,5.615045386018632e-4
ANAHOR,0.6617333309620004,0.0040872812686229805
ANAMYR,0.030369460199347012,1.8758088795456214e-4
ANAPRA,0.3168688767348578,0.001957181486695221
ANCBAD,0.26125535328151567,0.001613677386089439
ANCUNG,0.44157506647522154,0.0027274453521501135
ANGPRU,0.6218803781383767,0.003841124365299841
ANTCAR,0.12211956246237123,7.542872284508616e-4
ANTFAB,8.937064784938008e-4,5.520093334099383e-6
APAILI,0.3377760297923876,0.0020863172141461057
APAIRI,0.31321249300735177,0.0019345973610042763
APAMON,0.09335503352245034,5.766194054231387e-4
APESYR,0.09856801255286693,6.088180427711638e-4
APHHYP,0.24648309812489966,0.0015224346467987034
