x,y
448750,334950
516450,302150
718150,257150
477350,294850
560850,375650
617650,290750
529450,340650
533650,299350
576650,407450
571850,372150
714150,303450
529850,344850
399550,392350
507650,297250
467350,308650
591750,304050
313950,231350
653350,347450
694850,275050
469650,315250
564450,362250
676450,236050
618450,370650
566450,347050
529450,322950
577750,407150
604850,388650
534350,369350
707950,269550
324750,266650
581650,382950
437650,356450
590850,376050
694750,280450
619550,286050
466450,311450
644550,220150
460850,318250
586750,341950
315750,229550
522550,301550
331050,246150
691450,252050
629750,368050
614650,388250
621650,371350
617750,285450
525650,347050
468250,306450
702250,266450
563650,275650
654950,346750
566550,398250
617450,411650
514850,302050
569150,367750
697150,257150
521250,414050
410150,282350
471250,305250
525650,351650
730450,346150
505750,286550
536150,295950
645150,279750
339650,310550
538050,297750
448350,325050
452050,333550
522650,300950
646550,200450
591250,338250
562450,302250
634050,344850
483050,300850
723050,292150
530950,342050
579750,382050
631650,355250
529250,318150
613450,389450
524250,379150
532250,377750
413150,392550
468950,308850
533150,315450
591550,262750
564350,376450
444450,328050
703450,268350
675650,180850
533450,297150
629350,371650
470350,309550
460650,315750
582650,384150
636450,343750
584050,340050
706650,361350
459350,319350
569950,366050
580550,408450
529850,369250
411350,392650
539350,298750
534450,302250
566350,368750
471150,311350
646750,182250
362050,375150
630750,368950
590050,376750
530750,298750
660850,213850
402250,383950
368650,328950
395650,391550
567450,369150
423950,324750
527650,301250
535050,317250
536750,301250
718250,302950
646650,226050
436550,354950
523950,301350
508150,298650
512350,301050
325550,269550
675550,353550
619450,285950
469350,311750
528250,297950
335550,312550
531850,368650
466150,315250
465350,314150
524050,378750
432350,299550
469850,314250
675450,176850
531250,346050
531050,342150
587850,374950
625850,369750
646050,198850
712550,308850
399850,383350
472150,314450
529950,343850
577850,403850
407850,299050
584850,340650
471450,313350
357550,287450
634450,318650
537750,296350
529350,344650
592150,337350
450350,333950
582650,383250
522150,412550
562650,272750
524750,298450
564150,273650
575250,326450
567450,275750
586050,371950
586650,269350
529850,319550
672750,346150
635550,347050
471850,313250
521550,300350
459250,314750
604150,264350
472050,309050
570350,261850
614250,399950
618250,411250
403450,386150
620550,413150
616350,411650
399050,389450
610550,411150
730850,353550
702050,213850
619950,372450
461050,320550
451350,332350
409850,381450
538150,324050
512050,301050
721850,312350
569550,368950
379350,276050
590050,335650
535350,381150
534450,367850
560950,373150
565950,374950
398650,392650
651950,351450
545150,265350
464650,314750
629150,371350
529350,340150
532150,300550
589550,377150
719050,333350
443250,341350
618850,369750
436150,296250
653450,349750
521250,301450
333150,246450
515750,299550
474350,312750
569350,367950
496650,276450
630250,367950
539850,300050
646850,382150
525450,300150
538550,339950
476050,293750
537250,298250
524850,350250
703450,265450
523550,302050
514850,300850
326150,243150
456650,321050
619050,410950
585550,376750
446750,337150
666350,256050
533450,317050
529450,260950
613950,387350
585250,270050
453850,325150
399250,390250
714950,331950
516950,300150
713750,255050
583450,260050
618450,369950
520650,295050
446550,284950
537950,355350
316550,227750
606550,388450
410150,382750
425550,256650
571650,368450
724350,355550
530550,320450
419950,310250
569050,371750
649450,376450
665350,264950
588450,411650
574850,277350
571050,373650
577850,405150
538850,357750
618950,304950
571050,350350
616250,412750
319150,235050
652350,350850
451050,247450
654450,353550
473850,308350
571850,356150
663450,214950
582650,382250
534950,359550
546850,393950
597950,268850
478950,301150
536750,299650
613550,412550
588550,345050
376050,357050
618750,284250
609050,395250
534850,292350
468050,306950
632650,345650
618850,411250
719550,330350
515950,299550
420550,340550
578850,383550
338750,292750
461550,318850
525650,352050
464650,314950
539650,299750
419550,342450
397350,389750
718650,307750
534950,352250
560750,373650
380450,280650
611850,412650
435050,299450
324050,232850
526250,297050
622150,283650
509450,296650
621450,411750
621850,286050
635750,343650
522850,300550
534950,374550
434050,302550
358350,369250
471350,308750
477450,295450
455850,318650
398650,390550
584050,341250
602850,267950
584750,337950
584150,340050
468050,309950
397050,390650
515350,301550
619550,413350
529450,321050
512050,297750
322750,227850
365750,265150
606150,390050
396550,390350
608550,385050
538950,299150
416950,263450
479850,301150
567150,369350
467550,308050
511650,300650
606650,413850
471650,306650
404950,387950
587150,339950
686950,193650
521350,299750
469950,311350
635350,342450
583650,342950
571050,313050
474650,280350
365550,375750
654350,349650
618150,411650
451050,266350
592150,339850
629850,368250
587850,235950
568250,358350
523250,301850
634050,344150
361150,368150
618250,412550
490550,271250
709850,269250
374950,329750
414750,398250
411850,396750
529150,341750
530050,302350
535850,314950
584650,413550
518950,301850
525750,300650
708250,365450
624450,281850
609550,390650
728250,355050
642050,383250
533750,343650
400050,387650
468250,311650
534550,378950
620750,368450
566750,369950
502450,284550
437650,348050
643550,378950
365650,307050
583750,419850
533450,296550
642050,295050
567350,350250
582150,386550
570450,367550
530050,314750
517450,301150
569650,369150
564950,278850
410550,397450
531750,294550
623250,370050
377150,367550
611350,399650
569650,369050
480250,299050
535250,350550
639850,204850
568450,369450
390650,255950
583950,340850
470750,307650
337850,293050
635850,352950
512750,301550
586650,341750
616950,412250
558450,371250
588150,420050
630350,371950
728750,357350
400950,388250
456550,322250
527050,379850
530550,344350
608050,388550
538950,316350
642950,326050
474550,307750
567650,356750
510550,295050
584650,375550
538950,339950
475550,299550
536550,301950
465350,312150
530850,346750
705950,270450
572050,350650
531750,300550
539350,357950
642950,204050
473550,312050
331250,244850
399850,389150
623450,371050
531950,320550
401750,387750
610850,394850
570950,275150
624150,379650
636250,341350
613150,399750
455950,325750
329450,263450
675350,350550
670250,234650
537050,323950
474350,311250
620950,371650
565350,359950
671050,346550
469250,320550
562350,392150
614050,386850
583450,340050
326850,270350
529750,267850
527350,350250
703750,264450
517750,299550
708450,269250
567650,350650
647050,301450
505150,284050
325050,240450
639250,197450
624450,284750
616050,284350
584950,343250
519450,302750
570950,372050
455950,314950
341450,297750
539150,299750
448150,345950
398150,259550
622050,286350
516250,302350
510550,302150
516550,301450
643350,298650
621050,284150
586750,411850
620250,412650
525550,348350
469850,319250
469250,312650
583650,341150
611750,411050
534550,368750
692850,280250
529250,342050
654050,347350
537350,357050
337950,292650
688150,237550
487650,280850
618050,413850
616550,411850
621250,284950
562750,346150
477150,301250
723650,206450
703450,267550
572050,264450
538350,316450
467650,316050
529550,341150
515950,300950
540650,396150
533250,315050
589150,316050
314350,229450
665450,205950
712850,304050
533950,300150
535850,358450
352450,360050
567450,368450
529350,343650
640250,276650
451650,328050
569350,265950
396650,391750
523150,298150
466550,307650
545950,264150
530350,341650
539550,299550
370250,364550
570250,354850
470950,308650
460350,321650
698550,288050
583250,340050
531150,300750
459550,317050
562850,274150
592750,335950
574950,406450
535550,359050
589550,338950
523350,412250
527150,346150
591850,411350
620950,411050
469550,314150
496850,284350
566750,358550
468750,308450
462450,321650
433450,299450
568050,368550
474850,312650
630550,227350
667250,251150
326250,268450
451150,334650
317350,236750
460350,319850
631550,349850
398550,391750
517050,335850
475150,311050
338850,292650
618550,412250
614350,413250
625350,304050
562550,273250
720350,331450
467950,307050
674650,346750
571250,355750
718650,232850
590450,378150
735750,221650
591050,376950
708350,210250
329750,262250
579150,401850
631850,225450
571250,355950
644250,280550
323950,233550
429750,259050
401150,383250
465350,314550
381350,278450
661450,209850
443750,283350
449150,333150
646050,196850
426550,325350
605750,385850
525250,302650
538550,301650
539250,301150
523950,301750
635850,341850
463150,316050
618650,284350
632150,227250
523350,300450
640150,195550
472050,314950
525850,347750
509550,299850
363350,313150
591850,337850
464150,317750
569250,308550
472950,311950
515850,301650
730450,279150
472450,313650
417450,250250
341550,308150
332250,246750
400950,387450
525150,347050
636950,345750
581250,232450
573450,272450
712950,306150
396050,261550
584750,415050
655250,350250
577250,407550
518550,301750
529150,341050
573650,271350
747550,247850
529250,321350
580250,383350
523550,300450
397050,390250
318050,235850
462850,291150
467150,317950
646750,196350
581850,384450
629250,207150
570550,369650
569650,370150
532250,370050
452050,334050
474250,306850
458850,272050
712950,202850
517650,300250
651950,346650
634950,344450
565350,361550
530450,321750
583150,341650
516450,300150
748350,248250
580950,382450
