x,y
618650,402450
514450,307050
519750,243350
578550,294050
655850,224750
516350,331450
524750,307650
528550,341150
716050,353450
593550,381950
620550,328150
572150,332650
724050,259050
696150,304950
448150,275550
554450,333150
508750,314450
580950,360150
577050,354250
570150,344650
552350,292050
520450,321950
611750,408150
493350,310250
450650,271550
403150,307650
359950,273350
687750,321650
644750,378150
603450,384550
599650,386650
412150,384250
542750,287550
527450,321950
648150,227850
366750,295450
594550,356850
518950,323250
354550,311550
546350,333950
576150,357450
577450,355750
576450,417050
408250,325850
528150,333250
410050,360750
663150,329250
367350,273050
527750,314050
650650,294750
320550,269550
398650,278650
625150,247250
524050,324450
580350,359350
539950,332650
335950,254150
375750,276950
577750,260850
643550,234950
543650,346450
673650,345750
577750,306750
526250,239750
329950,252950
694650,303950
607550,313250
517950,316550
334050,253950
506650,311650
496750,317350
506250,314050
576850,239650
687650,296850
503850,297650
691150,303650
617650,364050
652750,201350
397450,386250
539950,336350
551150,356550
523850,314950
496350,316850
574150,413550
735250,266050
652850,335650
368350,290350
472450,298550
520350,321950
415850,322550
517550,333750
526450,322450
515950,280950
651250,223150
470050,258850
395450,387050
550150,337950
542850,312550
658450,197950
512650,327050
579850,367750
653550,199850
403050,391050
575150,351750
528350,343550
319650,270550
663450,336050
563250,341650
697650,367350
736550,239350
480050,306050
505450,257450
609850,285850
508650,305650
517550,268150
352850,314150
630350,307750
449850,316050
416650,386750
409650,278550
651650,199250
521450,314050
514950,265350
574350,365750
448850,347650
619850,405650
521550,327450
616950,391150
526250,308650
634250,231050
413650,321750
561450,335150
649350,213050
402250,395450
528050,344550
572350,373350
496850,312950
557350,288150
557950,253750
396550,339850
540350,328150
758250,234150
430350,370750
390050,377050
521550,307850
493050,248050
555050,414550
518350,317150
757250,235850
499350,247450
556950,303250
580050,346450
610350,300550
377350,282350
511950,314150
672850,224150
573050,344250
557150,288350
628250,303150
503650,270950
448150,313950
476950,312750
603350,307450
521550,309750
427750,319550
543750,341250
634350,278350
620350,401750
543850,337450
670250,201550
688650,310050
694750,198450
416050,324850
520550,322150
661650,204550
381450,304250
525550,306750
623550,393350
573950,416050
498250,309750
612750,318650
612650,366050
520950,321850
525250,321450
571850,341550
540650,322650
447950,317850
572150,344550
488750,303350
366950,276450
680250,310850
653650,228450
613050,366150
532350,328850
706950,258950
574750,399350
542650,336550
692050,304250
447350,313550
513850,305150
531750,278150
624650,232350
572950,340450
477750,282850
619650,395350
519250,303150
596850,387850
406750,328650
511250,281350
526650,240650
597650,306150
543350,303450
648050,198350
557550,348050
733350,265450
543050,336750
503550,314750
517450,316850
629850,304050
524850,308650
650050,228450
506050,309950
502750,319450
523150,372750
633250,285150
514250,313450
505150,303050
567150,437850
339850,291750
550650,336750
574750,415050
576750,411950
616550,391950
582150,354250
407350,326750
501750,320950
619450,403150
737750,214950
516550,303750
418850,320350
541050,376950
542750,338450
415950,400150
516850,332450
687750,216850
356250,320150
420350,320950
511450,320150
572650,367450
549150,335850
351750,314150
576350,415350
540550,337550
526250,326250
633650,282250
524450,310550
584650,362750
587350,362450
624050,397550
406750,266550
351550,355150
717650,352050
615450,244750
668750,337850
585950,327950
507050,312750
601650,305850
483450,303650
397050,382350
743250,253350
503550,317450
630350,394550
515550,280650
478050,312550
574250,282550
506150,306650
368150,272250
328750,256450
374150,278050
585650,363950
494450,294850
495550,310950
623150,401550
344550,338250
494250,246550
425750,337450
621550,395450
540750,341850
541550,362550
516850,303250
451950,317250
683250,375250
522550,323950
537050,304250
571650,315050
488450,312350
579350,429450
530850,326250
670250,339750
583050,352050
546750,305350
411950,286850
703450,370350
517050,311850
506350,310350
602350,277150
683150,370650
379450,355250
512350,303750
652350,227650
493650,248250
496450,301850
685850,360250
578750,350050
486850,300950
616950,392850
367050,270650
651750,191150
611150,331850
518150,240050
753550,235650
540250,297050
527850,324050
700850,195450
620050,400050
606650,309650
574950,261250
574250,283150
686150,358250
623450,401350
691750,298450
448850,347350
607450,294750
583750,355450
479750,313250
332550,253150
449550,315650
458950,250250
353350,315550
396150,371450
494450,247350
669850,242650
575550,347750
424150,320350
679050,328250
526650,321350
505850,251750
522850,327050
482050,304550
615550,409750
474150,267150
541550,337850
514150,304550
578650,354850
320150,246950
576450,416150
522350,325250
547150,336550
578050,365950
498550,318250
555350,409550
676650,301950
600050,307050
358850,366450
608450,252850
560950,335950
695450,307150
493950,313850
679550,317350
522550,311950
687450,358250
