x,y
521001,414080
474903,308082
394133,392697
351486,363313
535784,300144
529122,300125
535875,301224
527993,354694
453832,326275
460452,322606
529541,339408
520534,412405
675702,346547
340446,310368
534260,297695
467417,314595
583248,252127
517874,302810
472744,310508
475103,308334
397364,392852
529446,315348
496179,277509
475009,311675
534376,361278
459465,271063
434714,301227
465991,320581
467552,313838
506896,325790
472097,309506
471238,306102
503656,325192
445577,285288
470973,306043
453671,331903
471450,306104
414836,394897
472779,315205
366406,266188
338351,292167
652326,348801
539505,315401
468061,320914
521871,302809
396774,391508
529531,339313
574682,271656
704476,269760
515546,300518
414920,398111
515591,300608
