x,y
521709,307384
599275,306908
504499,270587
664020,195124
663711,194279
475724,307425
532693,327734
532184,327704
425896,320170
648082,198991
425659,320010
425051,376292
526421,323173
657718,214278
495789,317769
502217,318932
656030,203470
474750,262122
436196,314358
670990,197690
671105,196794
358797,365208
524041,361704
656636,268424
449225,315642
532281,327738
531692,327252
451256,273903
520760,400905
407653,304045
374351,385722
331156,255623
494514,317322
495669,317743
540909,326956
664209,195786
460260,312469
439544,361099
439830,276880
523376,322353
425772,319820
598885,306690
492679,314807
496826,315843
424108,319413
492226,314334
638164,235354
525357,309438
528204,318426
410799,327965
522777,313993
659191,191949
506893,278608
523264,322723
658859,202187
655870,202846
410081,399055
650411,295284
493973,313856
348659,251529
545810,301286
494268,315712
495730,317700
576207,419704
577886,354094
546997,305222
573918,353742
615543,338406
612669,340100
430067,310106
642819,378077
576505,421370
675805,227429
516124,334827
580230,355425
577893,354112
525382,309913
600660,273462
522349,324016
482116,273631
703842,244150
531704,309785
521405,307314
522807,323249
515758,334305
335025,253132
574745,341086
553108,390677
681558,198200
396460,319300
398573,388067
427161,375663
670832,197742
518772,317185
575501,341424
574575,341139
527980,338449
480767,274311
393087,327848
536328,279140
507156,314518
540048,327148
540831,315879
602863,274469
675926,200108
372018,381475
502616,319446
522794,323242
522619,323316
441922,335790
449173,315709
504973,313699
502820,318763
356269,369570
449182,315690
502618,319939
449096,315840
507621,270452
524893,310443
416882,402499
503280,319463
363608,383391
522906,323338
503040,318872
497788,307515
527378,323607
550583,336446
550633,336661
523705,321797
522382,323978
663800,195144
663805,195141
522934,329315
523329,322478
507545,270421
650508,181386
517157,332120
577909,354134
527473,323845
663815,195097
527516,324679
520212,326352
576658,353985
580830,354656
621074,395823
449469,315564
577754,353885
664829,195928
363930,383407
620977,395856
573205,366272
449381,315624
416250,402220
620788,395461
364288,330820
315041,264929
649833,200721
643329,378216
