sugas,parklajumi,svarots
ABRGRO,0.18353034266493035,0.0010797631972221209
ABRSYL,0.5899022962900392,0.0034705693905540515
ABRTRI,0.3115247260298097,0.0018327919476824903
ACHFLA,1.660331844866106e-5,9.768222492426572e-8
ACLCRI,0.1759644537878396,0.0010352508389649931
ACLLAT,0.02641148942172137,1.5538659083452712e-4
ACLSP.,0.2105600044319643,0.0012387866784929482
ACLVAR,0.004718334401655327,2.7759354475765326e-5
ACRACE,0.17138925027118135,0.0010083335657481715
ACRALN,0.19175445358971255,0.0011281480701401893
ACRAUR,0.3460046952861308,0.002035647787778079
ACRCUS,0.07510164693860479,4.4184516433407256e-4
ACREUP,0.1564627674805481,9.205166601222725e-4
ACRLEP,0.15019881603619376,8.836639842072692e-4
ACRMEG,0.02647738928064814,1.5577429916295959e-4
ACRMEN,1.909329617342289e-16,1.1233149909910461e-18
ACRPSI,0.16889131495007684,9.936374746843954e-4
ACRRUM,0.2258388196287632,0.001328676459698124
ACRSP.,0.24423527103396847,0.0014369082152672344
ACTPOL,0.5030023522045031,0.002959311360400808
ADECRO,0.2499257700063091,0.0014703871009650695
ADEREA,6.20659196393976e-4,3.6515213155090423e-6
ADSSTA,0.16914514161455627,9.951308118993697e-4
AETPUN,0.12325048199374947,7.251189779539818e-4
AGAZOE,0.13735449397836746,8.080970449757041e-4
AGLIO,0.18076627915601073,0.0010635013954492943
AGLPIN,0.2933891878582744,0.001726095221707366
AGLTAU,0.12390637306904688,7.289777788160581e-4
AGLURT,0.2954759340359341,0.0017383721656277207
AGOARE,0.2892148123055991,0.001701536137755828
AGOCIL,0.16995718810743551,9.999083211913624e-4
AGOHER,0.029829187672759983,1.7549391879510996e-4
AGRAUR,1.0398368267151239e-16,6.11766708599826e-19
AGRCIR,0.013363889305785696,7.862370676483773e-5
AGRCLA,0.04875695476017749,2.86851561405183e-4
AGRCON,6.627702319666977e-5,3.899272971982274e-7
AGREXC,0.5921079007161532,0.003483545612645545
AGRHEL,4.823559727347278e-5,2.837842613687649e-7
AGRINQ,0.00944595524911186,5.5573343854204195e-5
AGRIPS,0.0019524567692550006,1.1486879678842298e-5
AGRLIT,2.7361951726256504e-4,1.6097844121676948e-6
AGRLOT,8.51259929188823e-6,5.008213516421642e-8
AGRMAC,0.00158336258174101,9.315389590613084e-6
AGRMAR,2.0742112212555902e-10,1.2203197070611134e-12
AGROPT,0.76514025634667,0.004501546052385273
AGRSEG,0.0019908473785488264,1.171274296898003e-5
AGRSTR,0.006526355943274983,3.839647906278735e-5
AGRTRI,0.003531513260080627,2.0776935265133208e-5
AGRVES,0.0012712539750502354,7.479162500598676e-6
ALCREP,0.4859595317349412,0.002859043415315055
ALLOXY,0.016853604790734892,9.915473337717078e-5
AMPBER,0.17078121056208323,0.0010047562886026022
AMPHI.,0.09652538991159963,5.678873700701495e-4
AMPLIV,0.10403684772117607,6.120794942851344e-4
AMPPER,0.0638605906023815,3.757107107417634e-4
AMPPYR,0.2391588844998574,0.0014070423343735543
AMPSP.,0.006824562493753233,4.015091625121909e-5
AMPTRA,0.11586365235559175,6.816600780706309e-4
