x,y
504050,316850
589450,259650
571550,345250
515050,303750
585750,343850
620150,354950
708050,262150
575650,402250
613250,340650
584950,340850
527150,320550
618750,354650
693850,303350
655450,347050
654750,348550
397050,387950
520150,305050
410350,284850
518650,306750
551550,261250
521350,304550
586850,357950
401550,387150
583650,365150
633050,276050
690650,304750
571550,372950
512450,306650
615750,356750
510350,315050
326050,266250
614750,354150
529150,318450
514850,309650
406250,367150
530050,356450
721950,282850
675150,222550
691950,305750
499750,300750
466350,300950
542450,353950
558150,249850
401550,281550
516850,311450
502450,315550
553050,394550
526050,319850
589550,338950
583150,354750
445250,315250
585650,365550
410050,370950
581950,372550
518150,311150
588350,380550
583350,354350
705550,254350
551550,253650
551450,254250
468850,293850
581050,353850
574350,409850
660550,177350
428450,326950
617550,352650
634850,278050
530150,313350
654150,348250
571750,345850
555850,395750
423250,324350
513550,311750
504150,318550
523550,321950
583350,355250
693250,346950
399350,279050
579450,407550
584950,342250
696050,305350
503150,314850
709350,256950
400350,280650
462650,300650
654450,267850
575550,246050
586250,366150
614050,351450
403750,380350
514650,310550
396750,392650
619750,411950
586950,343050
576550,403950
574450,343050
617450,413650
555950,347050
611650,214550
501950,251350
618650,413850
709250,259250
617150,355250
575450,351250
694350,306350
398550,391850
549250,401350
686650,337950
542850,395850
520350,338550
587950,376150
516050,333150
518350,304250
512350,306650
416050,401750
551450,336050
584050,341150
531250,312950
552750,351650
615250,412150
333950,256550
397950,390450
501950,251250
514350,304850
693250,202150
560850,420150
574050,344150
508950,316850
326750,267150
552450,347450
595650,285550
603650,237550
729750,353850
575250,408150
596550,284250
667550,181450
710550,239450
631350,229150
589250,359550
398750,386050
653950,350050
420050,322050
537250,406450
436950,279550
477250,283650
512750,308050
401250,277250
398750,391150
448850,315150
630150,370850
421550,320450
504550,313250
633650,312950
405450,377650
337550,255450
395950,355650
628950,366250
514350,310450
508450,314950
565950,425850
395150,336750
640350,319450
397350,389350
662150,253750
632250,228450
417150,379450
692050,306350
324450,265050
588650,347250
574750,344850
552750,338750
596250,285650
637550,319250
707650,194450
503350,318850
555650,393950
546050,394150
718250,350850
714350,353850
702750,257750
573550,371650
586950,341650
665650,180350
550450,312150
552650,336350
452250,329250
554350,416750
432050,250350
588850,361550
555350,336450
614850,353950
736550,283850
505850,315150
524450,398550
397050,389550
531250,314150
523750,319650
448650,348050
552250,335250
755450,232650
616150,335950
531050,359150
576550,350550
521650,318550
545550,348050
400450,392850
527450,257750
554950,349650
601250,351550
503350,317350
421350,320950
398150,388450
586250,233050
582450,357350
621750,370550
551150,339250
638350,278050
516050,303950
432050,257650
398050,386550
699050,311050
708450,258650
345950,320050
560350,348450
513450,309450
640050,230050
705950,257150
571250,350450
554950,396850
464250,298850
502550,320050
504250,314550
420450,321250
728750,290150
727850,285050
502250,319850
517250,311750
359150,289350
443450,267850
554650,416650
629650,256450
506350,313650
581850,359350
676650,353350
447850,317050
582050,364550
696850,302850
421150,378350
528650,314850
552750,333850
424150,249150
399250,388750
632350,330650
554950,350350
399950,279850
560750,415350
655850,344650
514250,304750
417950,318950
360150,363750
614950,412650
401250,391850
529050,321650
417450,367550
694450,306150
584350,363450
508150,315050
528450,318150
675150,238050
502550,251050
448250,316250
475850,297350
399450,387650
613850,413350
426250,324750
502650,317950
531150,315450
652750,349950
677750,352750
