x,y
632050,368550
510650,326450
588050,317550
423450,302450
536150,357150
478250,272450
566250,291950
415850,382450
698850,302150
577050,363250
528050,341250
339150,243250
332450,253150
630650,253450
479650,305550
321050,300750
659350,200950
524250,336050
491350,293950
715950,325950
648950,199050
531950,311150
527950,324250
688450,366950
624550,398950
651150,199650
528950,239150
468550,308450
557850,288650
717550,330550
553050,303350
527650,342650
519250,323950
704950,190650
371550,274550
584050,272050
523150,371650
564150,367550
579150,363850
605450,390450
707150,291450
523350,311850
682550,222650
529550,337450
508350,305850
337950,291850
606850,300650
613350,388850
680650,221150
623250,397350
498550,318050
407050,325750
633350,386350
383650,329750
650150,227050
706950,281250
498950,316150
593250,346250
548750,337050
402950,388550
381450,361950
496550,259750
723150,324850
405550,274950
675350,185950
529650,337550
545950,286950
458950,312050
521750,300150
609150,396050
516150,329650
497150,279850
518050,315650
523350,306650
594150,351950
650250,226450
581450,309650
543150,284350
621150,389350
563950,321850
614450,409250
567350,347050
529250,338650
653650,205850
510250,328750
619750,393050
525350,344550
596850,346150
702750,339550
513350,279050
432150,362850
543350,338350
320350,300650
516550,330350
526650,306150
401250,259450
629150,227750
468450,308650
380650,384150
332150,260150
528750,377550
566750,340650
685850,358550
564050,272450
426250,321950
430950,310750
640650,338750
717450,325550
534450,331550
591650,380950
708550,309250
538850,330650
667550,198750
530250,322550
325250,255250
501550,315550
668750,239750
621350,402650
581950,249650
330850,258950
601250,307350
458250,318750
567350,341550
541550,340150
431350,365450
599750,389150
574150,418350
467750,289050
411950,327850
598750,353650
581150,284750
377950,281850
576050,415450
538750,300350
401350,327350
523650,327850
538650,309550
536950,355750
538950,338250
581050,428650
329150,259950
592250,345850
685650,373050
603150,259450
507250,310650
515950,301650
478750,281050
523750,371550
473050,310250
652150,290050
413050,284950
592650,311550
532850,367450
574450,361150
523150,306350
511850,325650
538350,298150
412450,385050
568950,366650
690250,335450
590250,280750
399750,320750
469450,313850
563850,383550
590850,385450
620250,285750
516850,269250
528950,345650
519150,325550
668450,198350
708050,331750
672650,345150
542050,339150
610550,408350
516050,275850
651050,294050
487050,277250
321350,263350
611250,285650
521450,329250
540050,333550
696650,283150
573350,367550
494550,314150
427650,321550
514350,320350
509750,261450
404050,388450
514250,316850
501050,316350
633350,344850
479050,309750
723650,281650
337550,243250
554550,282550
616250,393550
649450,197450
648150,195750
570550,371250
575350,412350
532250,311450
531550,328250
521450,304450
617950,408650
656350,194650
370450,254550
534750,313250
691550,275350
485350,304750
517050,330850
580250,381950
630950,369050
510550,307450
599350,306550
654550,225750
468750,311750
619750,286750
469850,291950
526650,325750
427550,321550
577350,363250
509750,271750
649350,201950
669350,340950
756650,257850
572950,351950
611750,306950
411450,326550
653950,225250
524750,326250
728450,355150
548450,301450
653450,225250
377650,331550
507750,258450
493850,249250
514650,330150
636650,209850
383050,369450
359350,340150
701950,266350
695650,368050
629050,395150
578550,386350
471950,309350
523150,325350
693650,301650
559950,423250
651550,314950
529450,347150
540450,350850
628250,302650
487650,300750
540250,413950
378250,284050
550050,332950
428550,321250
547950,327250
569150,367750
386150,377250
491250,312350
599450,308550
745050,276250
523950,306150
323150,264550
592350,224750
546750,416450
460850,290950
465450,313450
494150,306450
696850,328350
517550,267550
575650,363150
653750,223250
529950,339450
453050,275250
650050,228050
465150,317950
432450,300350
520850,270550
353550,298850
682450,369150
516150,329350
547650,314450
522850,266550
683250,371350
408850,257250
620350,401350
424550,373750
545550,333550
597550,271750
504650,307350
485850,301550
576850,413950
499250,304650
617950,405450
546750,365550
572650,264650
518750,318250
625950,389750
526650,322350
608050,221350
520750,330050
378750,278650
574950,396150
595250,350750
537950,302250
600350,390250
413050,279750
642250,194550
405350,388350
721950,223450
512150,301550
571250,369950
347950,340250
559450,354650
522250,377750
655450,375150
669550,340350
600650,312350
519250,330650
602350,355450
535850,313850
524150,328650
645750,232250
428550,320250
636450,343850
581450,408150
665050,196950
470250,315450
517750,266150
374050,288250
543150,338750
514950,316650
380650,299450
452550,336450
575650,368450
619550,401650
521950,331750
359150,352250
527750,343950
613950,364250
574850,354750
521050,327250
368450,286950
533950,319650
670350,340250
542350,412850
497450,304050
586650,283450
430450,300450
463950,316150
496650,314150
676550,181850
483450,303550
406550,324950
534350,366350
712250,279750
567750,370650
668850,243650
385650,302050
337150,251850
429750,363050
578750,364850
618850,394650
577650,353150
520050,316050
500750,312150
653750,202450
572750,355650
618550,370050
507550,324950
578950,418250
581150,313950
591350,378250
436850,301950
441250,270350
473750,278350
573950,355350
693750,277950
529450,403650
539650,338650
485950,251850
457250,321150
562150,374250
474150,281950
541450,331950
539950,339150
469350,315550
687350,349950
719750,270650
594050,247750
662950,320550
368350,270950
514650,315050
724750,326150
577250,357850
474950,310450
424750,319450
531150,328450
682250,370250
652150,229250
655550,220850
534650,317950
629450,301850
619250,393450
708650,322650
572550,420650
497950,251750
689750,320850
525950,323150
629150,309550
407550,328850
619950,406150
529250,344450
328250,253450
618650,393550
518350,326550
608750,410750
631250,357150
712950,283750
520650,326950
652950,229850
408150,260650
503350,253750
355950,316450
507650,300250
675050,280450
450350,335050
633850,250250
531550,335850
378650,300150
533850,323350
525750,324650
411550,385050
504050,304250
520450,327050
428650,308350
670250,341450
430950,305250
652950,222750
703050,269350
687050,236950
674450,314750
680850,290850
618050,365150
631250,370950
615450,409750
579350,369550
594150,338750
710550,277550
451150,331950
523550,307950
650550,227050
366550,262250
649450,226050
630750,301150
599550,306050
696050,262450
525150,238850
384550,287050
603250,341450
625150,399350
539350,310450
471550,305750
576450,356450
647750,197050
482850,298050
338550,291250
691050,323350
513250,325750
525650,295850
509250,308050
573750,352750
676950,348350
340850,312450
458250,310550
459850,293850
635250,342650
613650,392950
404450,328350
621750,395050
