x,y
455676,247801
421847,316630
629861,367642
587086,368241
577815,351528
674828,353541
563488,414472
617443,352928
463400,298639
585411,354650
617122,353860
529703,315046
333724,261474
582887,340222
582498,346912
446361,318947
720326,288784
582941,341114
580728,345893
585419,376648
586318,350478
579018,348209
512439,305448
582312,359045
506745,313818
399556,340643
512689,305191
656546,348153
513330,304949
516055,334030
584859,362333
582263,359028
410862,381277
581756,339849
506784,313731
502936,318379
555512,350783
687441,308494
506751,314051
504990,313877
585045,341783
398832,388670
449067,315920
572524,344363
504273,314461
516144,332445
512951,304954
503829,315305
572985,344013
583331,355261
551069,253072
583770,340813
584611,341389
704127,256754
511795,306137
693894,305466
512287,305411
693540,305388
580830,354656
512022,305506
718053,234187
717381,236255
448028,247853
399641,388991
503643,313238
617802,413430
399101,281984
614446,411925
693387,304847
698307,303169
693609,305378
571718,372037
574088,351731
617780,413454
450853,321494
450683,321450
402086,282057
583112,352331
399695,280655
619742,411393
402010,279547
