x,y
577730,354697
480925,303660
687420,217989
535873,301235
475487,309104
630519,368097
632369,369020
540317,350343
517014,325876
670429,197570
418462,344090
448225,333969
753067,259994
722837,254651
534201,299386
721431,353812
683039,371543
544221,299810
707372,243200
515472,248355
534463,298202
674793,345334
533373,304204
695399,205260
537621,358050
544122,299842
683124,371190
431715,302464
424247,303429
416963,303515
358062,270459
358162,270298
650471,295591
542202,298611
529549,339351
656077,324034
621796,208016
632190,286205
373969,253103
372364,254814
683118,371518
649660,226313
371894,275772
649415,225778
598088,352682
598997,315830
538296,376088
475570,312011
598856,307850
708797,214717
510570,299545
495502,313330
494154,313804
693047,273907
659283,192377
495244,257445
494999,257986
617141,304370
703564,246145
610858,410856
523270,322723
457151,320455
639262,341181
338941,291428
603020,309473
463161,290567
604575,310180
601595,307640
339254,270699
650530,295272
486525,302165
370459,280534
521657,311501
674440,344859
625126,304508
625301,304097
573896,418171
687245,199706
432835,304585
434727,301227
536276,296562
650806,292180
563631,339145
475776,311911
440112,313280
431926,310403
352150,276109
363545,255705
681080,294253
680976,294137
442782,284386
431583,294081
433056,301649
582171,403804
496424,277591
703815,318898
524038,342501
544633,415774
675765,227438
656664,317382
491202,252578
569976,360407
566459,341889
648679,344921
574902,419583
576835,416317
357036,319449
675304,281222
338769,292003
575311,341325
576799,416269
681786,197462
574065,414155
681560,198173
398407,319148
523007,302762
523143,302732
579032,353427
431456,367103
595406,352810
430982,363996
467734,313643
626733,285207
478264,280575
538520,310807
609914,341739
574363,355474
600677,312559
521402,326788
431476,288662
566213,364070
629299,302436
572405,313602
480687,274379
541908,334652
494898,304946
393588,327880
339502,291074
425404,320004
604113,317031
719410,311323
539505,315401
470973,309560
597298,304141
583868,428753
566252,341999
687374,210475
660277,240735
585300,269902
603936,341534
590768,357480
333087,260493
668318,329787
578768,366216
449303,304259
704424,270131
704502,269679
578136,365154
573987,355627
568643,369087
577421,364913
518525,269491
630405,369322
630389,369317
666035,340713
714370,331713
714656,332157
590863,357622
570072,370094
375592,301668
704110,265927
713727,286517
524429,324747
580901,383942
371831,379982
608925,302240
523826,302140
577016,415862
619184,284874
578076,365213
440049,360903
709380,271177
518725,269597
541883,338576
667799,329037
694821,261864
620530,395043
718697,231962
611366,400494
541922,338610
464489,248179
619349,328418
538920,299871
422853,319664
724896,324748
594331,352998
594327,353006
577163,369295
648573,197335
642627,382896
609880,299266
610643,297580
631668,387899
648636,197159
434131,365974
599169,390620
579359,365059
611355,400655
534286,310960
717144,325909
577160,353810
620863,399187
574277,354161
569354,370079
699410,358775
498295,303319
580966,383720
706122,290648
620720,394930
390294,286045
623948,395345
569143,370091
620213,394054
515607,315008
614791,410921
367824,273557
569243,369081
445737,328124
445627,328211
628181,398202
410135,359253
578250,357953
616842,392511
683055,370928
377847,283282
438016,356659
526195,380788
577373,369555
523642,303309
522751,303539
610669,406833
694109,281332
710757,283564
754462,233283
