sugas,parklajumi,svarots
ABRGRO,0.0697359032321536,4.7041967540584385e-4
ABRSYL,0.46158917994065973,0.003113756646639608
ABRTRI,0.18791593439124732,0.0012676304279824332
ACHFLA,0.0012194057334919267,8.225783602854498e-6
ACLCRI,0.202703802451211,0.0013673854145860207
ACLLAT,0.003955773612740938,2.6684586455984822e-5
ACLSP.,0.21952861892060513,0.001480881108130662
ACLVAR,3.980452380971401e-5,2.6851062798905947e-7
ACRACE,0.06647964927281752,4.484538606735039e-4
ACRALN,0.07809644623840248,5.26817653275625e-4
ACRAUR,0.21752971930140022,0.0014673970681103462
ACRCUS,0.011379042257321694,7.675996318995897e-5
ACREUP,0.045579959487557956,3.0747016606020314e-4
ACRLEP,0.04944363727531683,3.335334988134852e-4
ACRMEG,0.0012700010124160508,8.567085766953816e-6
ACRMEN,1.265993042819527e-16,8.540049080408628e-19
ACRPSI,0.06200695473436669,4.182822644734362e-4
ACRRUM,0.10896727424064238,7.350639685198428e-4
ACRSP.,0.1710318878737159,0.001153735184439475
ACTPOL,0.5637048006080175,0.003802601200187398
ADECRO,0.5183894289334676,0.0034969158724578496
ADEREA,0.03666115969366844,2.473063378226314e-4
ADSSTA,0.049930328106554574,3.3681658445864677e-4
AETPUN,0.3209610460193941,0.0021651170213386893
AGAZOE,0.036569374053844785,2.466871765457061e-4
AGLIO,0.13534520458378152,9.130024027377007e-4
AGLPIN,0.17257144654141068,0.0011641206337583748
AGLTAU,0.30904821325867526,0.002084756250763948
AGLURT,0.20443285037213352,0.0013790491075192542
AGOARE,0.22983103586044853,0.0015503784460600605
AGOCIL,0.18536665794275578,0.001250433693677195
AGOHER,0.05304276586231792,3.578122537039832e-4
AGRAUR,1.217501434770034e-16,8.212937715082078e-19
AGRCIR,9.965402150688791e-4,6.722392666815317e-6
AGRCLA,0.02458613426566922,1.6585145907177247e-4
AGRCON,9.551168910591358e-12,6.442962047410793e-14
AGREXC,0.741483024264512,0.005001845354067599
AGRHEL,4.3966173037060975e-12,2.965839960526265e-14
AGRINQ,6.553676149388933e-7,4.4209339293236155e-9
AGRIPS,2.0730801960200288e-6,1.3984442270081258e-8
AGRLIT,4.698373731749146e-10,3.1693967431194054e-12
AGRLOT,4.267657459452103e-14,2.87884711285009e-16
AGRMAC,3.022040155663242e-7,2.0385871311623723e-9
AGRMAR,9.757620805653737e-7,6.582228951488672e-9
AGROPT,0.3038409394588585,0.002049629380140299
AGRSEG,4.2654703967014736e-6,2.87737177905278e-8
AGRSTR,1.2438148448856896e-7,8.390440913172444e-10
AGRTRI,6.01155606791067e-8,4.0552342811653217e-10
AGRVES,1.434318599871404e-12,9.675528083917714e-15
ALCREP,0.2764269264648874,0.0018647018106032148
ALLOXY,0.06712471317255658,4.5280528850718486e-4
AMPBER,0.08012733642629445,5.40517493081135e-4
AMPHI.,0.028610383352642436,1.929979626876222e-4
AMPLIV,0.05069348817626598,3.419646573398598e-4
AMPPER,0.0018332968602111964,1.2366928281291156e-5
AMPPYR,0.13310127907706212,8.978654838826922e-4
AMPSP.,1.9446177280031593e-6,1.3117868959843184e-8
AMPTRA,0.022558769670432695,1.5217540196750697e-4
ANABLA,0.1014445100062058,6.843174212565579e-4
ANAFUN,0.1575831877039923,0.0010630138647856574
ANAHOR,0.6175895826736439,0.004166093469072775
ANAMYR,0.003855457786640471,2.6007882833244734e-5
ANAPRA,0.30324517217762437,0.0020456104940562887
ANCBAD,0.21629124634804311,0.0014590426621628437
ANCUNG,0.6539587487054865,0.004411430096068554
ANGPRU,0.5279344950060314,0.00356130432482556
ANTCAR,0.1249494267273793,8.428752771375672e-4
ANTFAB,2.3567281196668415e-16,1.5897854988452018e-18
APAILI,0.23137916281236826,0.0015608216947233019
APAIRI,0.21580076217390537,0.001455733987645193
APAMON,0.055688302343320555,3.7565833233760396e-4
APESYR,0.06520463747688353,4.3985297350659984e-4
