x,y
505350,305050
488250,306250
503650,253650
406150,376950
562950,377450
415850,322650
686850,361250
543350,337650
613650,368350
410550,376950
619150,368850
629450,370850
508350,304150
333550,253450
685850,358850
616850,364950
405450,377850
651050,221850
466250,309150
698650,313450
751350,233350
650550,226250
558850,283450
454250,315150
392150,341350
481150,272750
543950,342350
495550,305850
503150,307350
503150,317350
446950,324050
500050,251550
459250,316950
559350,373850
462750,320550
504950,314450
474550,308650
590750,378850
433150,301850
356350,326350
554150,394150
623650,369150
633250,356050
552550,285750
397950,279050
492950,314250
487050,299850
593950,286250
530550,276250
561950,375750
652450,225250
632850,226150
442350,294950
516650,281550
589150,284450
549050,338050
686750,358250
652250,228650
571650,346050
415850,323250
572250,347150
521650,270050
475150,311050
586850,377350
573450,341650
502350,313450
507350,309450
687050,366750
550850,337150
502950,252050
561650,257450
573850,341950
651850,268650
503850,314750
466350,311850
589850,379050
501850,252650
504550,305050
615650,366350
652750,245450
544350,339050
441250,299450
572950,419750
548650,280950
584150,248750
657150,193950
633350,276950
445250,314850
502550,311450
524450,277750
493350,309950
495750,310750
453550,323550
572050,343350
614550,365050
507850,308850
494550,311750
474450,310150
720750,241250
613850,338950
724150,344750
449550,305150
468850,307750
734450,263150
543450,350950
414550,320150
698150,328350
503350,312550
547850,338350
470050,306550
552050,337550
500350,317650
506250,306350
733550,266750
347850,308750
626050,275550
485150,282450
356250,311850
651850,227250
557450,372250
506950,318350
617150,393250
461850,320850
617350,369050
591550,378150
388650,337950
458550,322650
653550,228550
476750,280250
579250,335450
558350,412950
653150,225650
612250,239350
735950,263350
606750,226450
551650,336350
487250,303950
502750,318150
445950,317650
567250,339950
502450,253250
446350,255050
550350,337850
389350,357650
617050,393050
668950,329350
474850,308950
620750,366350
546350,346550
478450,300450
502550,252750
543550,341250
461050,322150
589350,374250
662850,332050
447850,315750
508550,304650
507450,323250
469550,313350
719550,229250
568350,342750
689450,346850
425150,337550
468450,314450
636650,279550
653850,226650
456350,317850
652750,226150
457050,317250
512450,276850
503350,310950
446550,323550
570050,341450
658750,267750
469250,307850
506350,311650
522750,374050
316150,250350
503150,313550
727450,288450
553350,417850
405450,375050
493850,311050
612550,399250
625550,390550
654950,229650
