x,y
519050,309050
414350,300650
603050,381450
672650,336450
581250,408650
523150,324050
583150,351850
530250,324150
631950,304450
724850,323450
471650,296250
655750,196950
396050,259250
502850,275850
617350,407950
543150,315850
524450,320650
482250,312750
704350,257550
576950,364250
602350,307650
594350,345950
491850,247150
707050,270650
649050,297050
431850,303550
578250,394750
633550,300850
671250,337150
400350,388850
675150,177550
580150,361050
640050,238250
378050,317050
501050,303550
366250,265350
514750,313950
450650,332050
316950,229550
614050,407550
450250,332950
507650,280150
496450,246550
527650,343450
512150,314750
551750,310750
577850,410150
419950,292850
478650,311550
534350,369650
570350,371050
514250,248150
577650,358450
664850,227350
533750,368150
518050,326950
552350,312350
498550,282050
535450,289050
693450,265350
650950,199750
726150,361250
574950,409650
576750,349550
407350,326550
570250,356950
517850,328550
542450,335750
512250,302950
620550,394450
697650,367750
630550,255250
526450,303750
665450,230950
615050,354350
406850,366750
525950,350450
353650,324950
591850,396150
575850,372950
528450,340850
424950,323050
538350,356450
343450,265950
656350,338850
492950,302250
535250,296550
325250,268050
619150,403750
425950,320150
573150,352250
674150,239650
719350,317950
528250,306350
652250,350750
615550,412050
411750,282650
695750,303050
611850,402650
619950,401250
629450,302550
534850,325150
447250,354850
584450,341550
513850,315350
569850,359350
472950,284950
427650,317050
538850,316250
549550,252250
329950,240550
681750,227550
705650,273450
520350,325250
409150,326350
633750,246950
413550,393550
618550,407650
333150,237650
528950,299550
403250,391850
650350,197950
518450,312750
726150,275250
422350,270950
561650,279050
470150,317750
426950,319350
615450,410050
519650,324250
708450,277250
576650,282650
518250,267150
692950,275050
733650,258350
581750,339850
575350,275350
511650,303650
635650,303750
429450,308750
377750,280750
725250,222750
540550,340050
628150,342050
526350,344150
682150,293450
448450,303350
627650,399050
683650,296150
521250,300550
495650,316050
462750,295550
494250,249150
523550,300950
337050,254250
493250,247050
514950,310950
513350,268450
326750,274650
575750,356650
737250,289150
572950,366150
335850,257150
704950,314850
525250,302350
523350,308750
509450,311750
554150,352050
711750,348350
483850,305750
630350,302250
512050,305950
678250,296950
476550,311450
584750,351450
410250,279350
397950,392550
406250,271850
406950,281350
541150,295750
464650,297150
610050,401850
575250,270150
691050,193850
512550,312050
657750,202150
496250,246650
511450,299350
582250,363050
376150,359550
374550,285950
501550,271850
432050,371050
671050,195150
531750,300650
618450,407650
583450,367450
581350,360050
685650,314550
576850,371150
432250,366850
624650,395850
713050,333550
495650,246350
427250,321450
535950,320050
523450,398450
540350,337550
575550,351850
647450,198950
540650,298250
579850,362850
526750,345050
514850,301150
665650,237250
539050,363550
426650,321250
541650,315150
752150,243550
525250,311250
577450,367150
649950,196650
580050,358550
527550,320250
577350,356250
534850,298750
660750,346750
506450,295850
511950,314150
516950,317250
368550,281750
619450,357750
528350,336450
522450,312950
552250,333250
617050,412050
377750,382250
610150,403850
519150,333650
555050,349250
403450,354350
531050,301650
586350,270150
606450,389250
527250,307650
413050,266650
703550,260750
644950,202450
333850,237950
609950,353150
671350,241750
519250,325550
641950,220550
425750,322950
402550,280350
658650,202750
684650,369350
562350,346050
728850,253750
516450,333850
616550,387950
577050,358750
568150,364950
406650,328050
404750,328050
524250,308050
597050,390250
618650,326150
514150,312350
324750,242850
625750,399850
421850,302550
516150,318650
540550,339450
529450,324950
540050,300250
570350,303250
629450,395550
573550,274850
618650,406350
335450,233950
485150,305450
551350,312750
462250,295550
568750,428150
512150,303150
708650,271450
663850,193550
397650,390450
523750,401050
659650,298250
520350,331050
601350,307050
520250,245050
439450,278550
574350,413150
682150,385250
541050,335750
532550,394350
636150,344450
524650,325450
602350,315650
614450,306650
520350,303350
700750,288550
534050,402150
531850,299350
527750,324150
351450,319650
497950,262850
403350,393850
334850,262850
632150,342150
468950,319450
530550,367350
556750,350250
336050,257250
650150,197850
479450,310350
546850,333850
575850,414350
357450,361650
598450,351650
547850,254550
513550,312350
507950,297850
507350,300950
537150,395450
448950,337050
512950,314750
599250,312250
674950,194350
578550,353850
432350,368850
530050,314950
575950,342050
635150,343950
326050,228350
582750,355350
729150,346850
544350,299050
528150,321650
408050,389050
377550,311550
645150,382750
416450,401450
619050,395450
704150,271350
574850,354750
602650,306450
665250,194650
530150,324550
506450,297050
714650,332550
338150,257150
615250,409550
511150,312150
431250,362850
409150,399150
717750,330750
605450,273950
516450,317750
435650,320850
630150,267250
317750,233550
529150,326050
574250,354350
512950,284250
528350,320850
515050,314150
582250,255450
510150,309050
569950,373650
462950,290950
534850,315350
511350,306350
474750,280450
406450,272350
702150,267750
461750,259250
511250,300450
388250,372950
371250,254050
599450,346950
526550,323350
580250,409450
317050,227650
515250,300550
519550,337250
668550,340050
675050,328750
567950,372050
514250,319550
582150,283650
630850,263150
578350,385350
510050,303850
521150,304950
576550,367350
529450,342750
630550,300950
712950,332550
489350,302050
475350,245650
396450,391450
599150,308250
617450,413850
440150,266450
697450,303350
367350,295850
590850,304250
589950,345150
576650,364750
439150,307250
675150,330350
598950,304450
528050,344050
719050,288150
528250,301050
519650,317250
584750,334950
540650,412450
575950,357450
405950,329850
516950,300150
373950,358450
618550,413350
352450,256350
315950,226950
517550,326350
585750,356150
364750,253250
622850,282350
515950,315950
644750,209950
526250,304550
651350,200250
730650,280150
411450,286550
676350,238450
517950,317850
583750,429050
445450,358350
587550,276750
371750,381950
634150,345050
525450,327450
432250,302450
399350,329250
519150,261650
647150,196550
635550,251250
324850,289650
687550,286750
587250,337450
397250,388450
626750,399150
617250,355150
527150,350350
552050,314550
572850,314750
680450,295150
523150,323950
443250,329450
581050,367050
575750,280750
581950,353950
530650,345550
321950,264950
531950,296950
690250,297450
546750,299950
426150,314950
494850,302850
649450,224850
617850,412550
530150,343550
547550,307350
558950,384150
574750,364250
578150,354150
601350,382650
444950,328350
361450,294650
444450,333650
530850,321850
572550,368450
707450,273750
493150,245650
666350,236550
372650,378150
570150,266950
624150,400950
648650,373350
398750,387950
606450,277650
591150,357150
578850,349450
583650,414950
678050,225550
622250,283450
599650,304150
496850,302950
521350,303650
528550,326650
535250,345150
370150,271050
325250,269050
542550,330450
552650,333350
512750,320950
576550,364950
403150,392350
534750,314850
507250,298450
464850,292850
598350,306450
429550,249050
641250,341350
553650,307350
333950,237150
321650,267450
583150,371350
552850,336550
709350,273150
436750,335650
600750,252850
673950,199950
714450,331250
580550,366650
689450,356150
653250,203850
525350,322350
647150,198350
554650,336750
611250,386550
583850,364450
600950,348450
497450,314750
602250,314650
480550,309850
524150,323850
550850,425250
535450,328550
575750,365950
673450,195150
515050,305050
619850,395250
514650,312850
618750,391150
586750,356250
537150,294350
530150,340350
620650,398150
382150,308650
621050,402150
586850,353350
554150,338850
376250,381250
409150,382550
369350,272650
510650,312750
611550,402350
424350,306650
618950,392950
530750,341750
618150,394250
611850,388250
651850,297850
416450,291350
411750,276350
401650,392650
635750,246050
425050,319950
657550,358750
544450,333550
525750,324250
516450,334150
638950,315350
547750,308050
656250,198650
450350,270350
568450,371250
337250,290050
628550,303050
580250,368650
527350,325350
541350,333850
525150,321350
338250,291650
479550,307150
673750,173950
665050,196550
481350,309350
694350,364350
540250,341850
687050,208250
576650,363850
662650,311550
371750,254050
525750,306850
526850,346050
515550,315950
508950,309650
459250,314450
512250,318550
683850,272050
563850,260850
700750,251650
726350,360150
451550,272550
597050,357150
575850,365550
574650,420250
617050,410450
528850,401650
399250,292350
326750,246450
559250,306450
548650,299650
584150,341050
339850,302250
590450,336250
659250,324150
396850,390550
574750,349550
529150,327950
582650,337950
578250,363350
564450,375850
747650,244250
535050,357650
439250,272850
421150,271850
575950,366250
521250,326250
528550,344050
539750,298350
568150,262750
495250,317650
496650,316150
425350,319450
531750,368150
568250,354350
573150,353250
575250,351850
528050,308650
669850,340750
400750,276450
721250,300950
430950,370250
579250,365950
575850,342850
487250,278150
639750,355050
655350,204850
704750,335350
471150,290350
686750,222050
681850,314150
633250,367050
597350,308150
578650,365550
528050,325650
425450,320850
521250,314750
618950,394150
573050,355650
576650,364950
684550,369150
558950,354050
575550,367150
572550,355350
522950,323950
578850,351850
526350,320950
518050,332250
672850,196850
718850,271350
577350,363150
426350,320150
545750,333950
400250,389950
667550,365450
683750,372950
756250,240750
569150,239150
569350,369650
408050,357450
528850,293750
407550,395250
571450,312350
521850,315150
405250,397350
520350,315250
600450,347350
524650,333950
518250,305150
644050,304950
585150,338950
682050,371450
596550,258150
398150,388950
577550,360150
529350,337150
495150,302550
706950,260850
659550,327350
566550,316850
529550,324150
542950,335750
