x,y
564350,435759
425938,320106
407770,365046
425938,320075
407384,365791
534572,401516
425861,320180
371791,256273
404191,379731
708517,349680
390491,292246
715020,353317
588250,310102
333124,261029
374973,256509
374005,253033
387895,288040
411470,372388
590248,337047
596908,332103
425606,320015
527365,331854
425466,319975
616765,357452
584716,341417
516680,331271
406653,388534
537206,357240
407360,326903
399156,387849
400321,385307
574020,414256
584735,416816
527298,331830
399414,388865
589395,324894
361706,354077
647053,306940
584662,341348
619808,328260
648940,284255
609395,353144
620499,394990
619410,328511
426106,323037
425518,319973
425506,319896
618914,413046
414581,293119
333097,260482
384635,309547
727134,344887
398234,294055
681269,339239
319398,275299
425432,320010
