sugas,parklajumi,svarots
ABRGRO,0.10126294799691073,6.087059762170901e-4
ABRSYL,0.24813054476737967,0.0014915479794891417
ABRTRI,0.3267744921475261,0.0019642879274221004
ACHFLA,0.0077304790771920715,4.6469008718288005e-5
ACLCRI,0.40996329510991064,0.002464347648368544
ACLLAT,0.3894553879609304,0.002341071703037876
ACLSP.,0.22932695490211769,0.0013785169276411423
ACLVAR,0.3129057327805523,0.0018809208432478252
ACRACE,0.6187158168466282,0.003719188733336805
ACRALN,0.35580302231800726,0.0021387825490492432
ACRAUR,0.57212010285368875,0.003439095272355698
ACRCUS,0.5607299935055815,0.003370627705816251
ACREUP,0.25999850334019314,0.001562887965650603
ACRLEP,0.580345682002295,0.003488540397987988
ACRMEG,0.48323639223960335,0.0029048026519117942
ACRMEN,0.02587174846620686,1.555187580263404e-4
ACRPSI,0.5891632363672056,0.003541543970802241
ACRRUM,0.5594523413537738,0.0033629475570973364
ACRSP.,0.7279797288408638,0.00437598964157995
ACTPOL,0.1563009227469153,9.395470667829615e-4
ADECRO,0.07954631738462688,4.7816422231318967e-4
ADEREA,0.031102798642187738,1.8696334429404575e-4
ADSSTA,0.19045215723506448,0.0011448349923207585
AETPUN,0.12245091467445522,7.360698560530134e-4
AGAZOE,0.44737901462242513,0.0026892588574755987
AGLIO,0.3396180031673295,0.002041492098029526
AGLPIN,0.22852633995490582,0.00137370431737592
AGLTAU,0.14296210385797362,8.593655301598731e-4
AGLURT,0.29650158871197757,0.0017823132011952534
AGOARE,0.46944698315194894,0.002821912553547153
AGOCIL,0.47407334875576046,0.0028497222948879954
AGOHER,0.14063329634190214,8.453667371113512e-4
AGRAUR,0.01475010300788312,8.866496609391662e-5
AGRCIR,0.35891127630833447,0.002157466705662682
AGRCLA,0.005549892563603891,3.336119318718172e-5
AGRCON,0.15104669463168768,9.079631546274073e-4
AGREXC,0.15339468724061936,9.220772719965151e-4
AGRHEL,0.15340768974757038,9.221554319142684e-4
AGRINQ,0.17353956162458578,0.0010431709757669902
AGRIPS,0.253755212176112,0.0015253586549005796
AGRLIT,0.16724388733593779,0.0010053267826082722
AGRLOT,0.12935735084144578,7.775854256899676e-4
AGRMAC,0.20339305131339305,0.0012226245463372114
AGRMAR,3.024338702618056e-4,1.817972988940055e-6
AGROPT,0.10635076708806894,6.392895800718178e-4
AGRSEG,0.22488188450816965,0.0013517969775801943
AGRSTR,0.11156102797378702,6.706091989602931e-4
AGRTRI,0.21807378027668833,0.0013108724951867135
AGRVES,0.08596225447703147,5.167313322821658e-4
ALCREP,0.1499543231910398,9.013967546032688e-4
ALLOXY,0.19983316024017836,0.0012012255350126175
AMPBER,0.529132704280063,0.0031806919083277193
AMPHI.,0.6224373488119932,0.0037415593910434092
AMPLIV,0.26115791697712376,0.0015698573658474923
AMPPER,0.06140283192407853,3.6910115188410646e-4
AMPPYR,0.7063899841459403,0.00424621061696374
AMPSP.,0.26803312792835865,0.0016111852362734802
AMPTRA,0.28983663879043664,0.0017422492397100185
ANABLA,0.29817069804993146,0.0017923464547106782
ANAFUN,0.037752578948820247,2.269361190675138e-4
ANAHOR,0.1602330856435129,9.631838569610541e-4
ANAMYR,0.13044655644879072,7.841327954400586e-4
ANAPRA,0.20586294420800405,0.0012374714236532036
ANCBAD,0.7908816503005381,0.004754102033777044
ANCUNG,0.11755811504019502,7.066585418781799e-4
ANGPRU,0.08044825546606144,4.835859003425884e-4
ANTCAR,0.09598144740822617,5.769581253464593e-4
ANTFAB,0.027517989301632326,1.654145457220202e-4
APAILI,0.16103261284894557,9.679899286558053e-4
APAIRI,0.1099379388910123,6.608525797411111e-4
APAMON,0.11988161517407944,7.206254314978639e-4
APESYR,0.020631446596354783,1.2401855851153007e-4
APHHYP,0.13025680681010118,7.82992183386587e-4
APHSOC,0.19936715128709945,0.0011984242889465989
APHSP.,0.04937726159829701,2.968137390690517e-4
APOCRA,0.11600264252223957,6.973083754426756e-4
ARALEV,0.33894082486623617,0.0020374214829922016
ARCCAJ,0.4147336641574146,0.002493023014881331
ARCL-N,0.015508873726377569,9.322604475163253e-5
ARCNOT,2.4917553809754783e-4,1.4978295829557893e-6
ARCOPO,0.6340566430203511,0.003811404620359347
ARCPAR,0.009267697582815655,5.570944769062689e-5
ARCPOD,0.5429762147650997,0.003263907217883223
ARCSP.,1.0109788443392432e-4,6.077137556741074e-7
ARCTI.,0.32311749595905354,0.0019423052034449723
ARGGOE,0.5832639708549953,0.0035060826471532067
ARGLAO,0.2906786514226802,0.00174731069734517
ARGPAP,0.322433333820174,0.0019381926075658737
ARGSP.,0.4087110828297269,0.0024568204223345607
ARIAGE,0.6478771167228893,0.003894481452540282
ARIART,0.18656116057683125,0.0011214456582537753
ARIMEL,0.19823245276256082,0.0011916034548038635
ATORUB,0.13037921603721508,7.837280026527871e-4
AUTGAM,0.5647840537667703,0.0033949972383821524
AXYPUT,0.6480407845071293,0.0038954652828587927
BENBIC,0.4076863399529544,0.002450660547222132
BISBET,0.1504382719445202,9.043058393598701e-4
BISSTR,0.13037663969068697,7.837125158675464e-4
BOLAQU,0.09044023585629696,5.436491149545695e-4
BOLDIA,0.4261682566799385,0.002561757976106042
BOLEUN,0.13637279272659236,8.197562441952977e-4
BOLEUP,0.1307349444073749,7.858663364571008e-4
BOLSEL,0.2202769674711201,0.001324116166623343
BOLTIT,0.08490664797183024,5.103859315115975e-4
BRANUB,0.004729506206233118,2.842973416473855e-5
BREDAP,0.10772306464415701,6.475386557709017e-4
BREINO,0.12707570957829423,7.638701556930262e-4
BUCTHO,0.14129373415514146,8.493367226963135e-4
BUPPIN,0.07831262736812933,4.7074833623939765e-4
CABEXA,0.2678815247912542,0.0016102739282640437
CABPUS,0.17673956161236026,0.0010624066306139375
CALABI,0.5358892465167354,0.0032213064442402147
CALDOM,0.155171688147222,9.327590770692373e-4
CALLUN,0.5180576879721202,0.003114118410847158
CALMI,0.14794460251582536,8.893160379173651e-4
CALPHA,0.6232043569467699,0.0037461699859814507
CALPOP,0.4588901772230159,0.002758454092324973
CALPUD,0.3392750663956311,0.0020394306563420515
CALRUB,0.13361357975647675,8.031702227749425e-4
CALSP.,0.027311754640054378,1.6417483985241196e-4
CALSTI,0.28961017516227766,0.0017408879346464884
CAMBIL,0.40238930250436594,0.002418819302077858
CAMOHR,0.1405671785757237,8.449692938193767e-4
CANHIR,0.08458764302903793,5.084683474498892e-4
CARFLO,0.10702783237763863,6.433595157808077e-4
CARMOR,0.143358886247743,8.617506455124075e-4
CARPAL,0.12860511643465697,7.730636377311335e-4
CARSIL,0.13161865183043955,7.911784274073194e-4
CARSP.,0.007993544737816643,4.8050333802410174e-5
CATFAL,0.3480101520352329,0.0020919384979245018
CATFRA,0.38672529486608387,0.0023246607253275217
CATFUL,0.3345325593531067,0.002010922772302133
CATNUP,0.5855854758102687,0.00352003754347062
CATPRO,0.594338232581302,0.00357265160873628
CATSPO,0.2333056862959142,0.0014024336476761976
CAUFIB,0.04987703319292657,2.998179371732175e-4
CAURUF,0.06777693861505021,4.0741681336334935e-4
CELARG,0.26348075353848793,0.001583820266638422
CELHAW,0.07392028752358669,4.4434535700723943e-4
CELLAC,0.3343575205650079,0.0020098705892628954
CELRIV,0.3519233846405525,0.002115461495430542
CELRUF,0.21521144946393173,0.0012936666177547388
CELSID,0.009714567106909149,5.8395643928102564e-5
CELSTR,0.03153641423794313,1.895698692840677e-4
CEPADV,0.17543877413814365,0.0010545874121830447
CERERM,0.45461478662441634,0.002732754111635992
CERGRA,0.21826114697883564,0.0013119987830698652
CERPIS,0.5918921606499106,0.003557947922616651
CERRUB,0.47974712996436486,0.0028838282003326113
CERVIN,0.2850439669238004,0.0017134398077808
CHATRI,0.11900654273767396,7.153652466800259e-4
CHICLA,0.3039240645072398,0.0018269307583993026
CHLCLO,0.4704003120398686,0.0028276431490201863
CHLSIT,0.6010732983837365,0.0036131370467494244
CHLVIR,0.09770914632088877,5.873435691247065e-4
CHRCUL,0.11297378328079481,6.79101471951736e-4
CLECIN,0.01829966067136268,1.1000186182356784e-4
CLELIC,0.247279829514904,0.001486434209166587
CLESEN,0.0025531894185839717,1.53475845632473e-5
CLOCUR,0.3658667572022429,0.002199277090125467
CLOPIG,0.023181984410236493,1.3935020390195294e-4
CLOSP.,0.17266977884121396,0.0010379425878055285
COEARC,0.11588439371574466,6.965975650562726e-4
COEGLY,0.12728900004829125,7.651522750301138e-4
COEHER,0.12816369927006444,7.704102164017399e-4
COEPAM,0.3837969415529801,0.0023070579772600276
COETUL,0.1077542202896972,6.477259367854124e-4
COLCOR,0.4896671997195671,0.0029434591498944023
COLHYA,0.7380978253788415,0.004436810958285014
