x,y
478750,312850
707650,208950
534450,374050
616650,371450
482450,289250
418350,264550
480450,312350
657050,202350
372850,279150
524450,328750
543850,291250
521350,324150
576050,263450
654250,212050
482250,312750
521750,324450
619950,391850
588450,377950
618450,393750
535050,293450
523050,322550
645550,268350
534950,327050
574250,334750
490550,311250
521750,319950
569750,370050
481050,298050
345150,331750
535650,371250
625150,392550
655850,206050
520750,320050
347450,285150
474550,312850
686250,361150
526450,317950
469550,295950
620550,387150
724350,329450
530750,296250
521850,316850
653650,190750
535150,293950
500850,316550
617950,409050
498050,310250
342350,321750
503850,250150
363650,367350
572750,328750
498050,254150
612550,282950
475550,308650
387550,368150
360250,374450
331450,248550
355250,295050
687950,365150
527050,317850
668150,201650
591350,310850
541450,405650
434750,353350
567150,370250
756450,234650
664750,255350
456750,289150
522650,318650
654250,206250
553250,292150
574050,365350
655950,189850
534550,328350
705850,253650
617850,282650
400650,386050
396250,387350
494450,313550
711550,208550
583650,378550
524550,301350
475950,310050
524350,323650
758750,235550
653250,190750
623750,351950
617250,390550
521550,320950
519150,332250
533150,312750
614050,358850
522950,321450
730050,215950
493450,255350
419150,268350
481850,293150
520850,305550
617250,392050
584150,301850
672050,325150
501550,244150
578950,367550
540150,381850
395850,387650
602850,312850
659550,212950
526550,326450
674250,318450
650150,209350
519750,321650
520250,321250
527250,318750
666450,377950
689150,211750
589250,376750
665550,197950
659450,191350
574550,362750
620350,412750
500250,316550
714550,346650
359450,370050
406850,398950
588850,376250
536450,296050
499350,318450
577250,367050
678850,268950
522150,329650
460050,259050
448250,312350
548850,400550
520750,327750
653450,208550
496050,313150
521550,328750
500750,309450
453550,315550
608150,282850
682350,365250
449450,314650
656450,206750
525850,328350
583350,303250
665950,260150
357550,286250
498650,316250
374650,275450
518850,327650
732050,214150
600350,341350
335350,251750
438150,292250
611150,285750
506150,251050
656050,324550
368050,273550
650350,210850
569450,369950
668350,195650
522950,319350
446450,298150
577550,368250
486450,310350
648850,215950
523050,319150
371950,279850
567850,407350
498150,313850
544050,273150
484950,310150
558450,288550
421150,269850
576750,262950
682550,367050
615150,285050
526050,323150
472450,291350
622850,388450
371350,377050
668950,195850
409050,399750
571650,408550
611350,354350
519350,302850
667950,197950
623850,344250
330650,306050
529650,376050
578350,361650
659150,201950
599550,316350
530750,313950
432950,293350
629750,256850
467950,298050
464150,249250
653350,202250
572750,342750
568350,406850
520750,328650
400650,384750
528450,326050
523950,306150
522550,317950
342150,288550
731150,216550
600050,308750
480350,310450
752450,229450
519550,306250
494650,309350
751150,242150
564650,374750
619450,406150
526550,331550
526450,306750
486550,313150
661550,209550
572150,372550
384150,366850
500650,316250
571250,412750
756850,236450
410750,399550
690350,263250
520150,300250
618350,407050
659850,319050
325950,304250
679250,263950
499750,254150
538550,400650
448150,348050
492150,309550
525150,324550
524650,302950
525850,322050
498150,312550
710550,239550
493750,308550
655250,319850
735850,233950
363250,368950
578750,335650
354650,273850
619150,406550
530250,328750
649650,266850
596650,307850
524150,304750
657450,203650
573250,265350
521650,306150
613450,287250
482150,298350
499450,318750
530250,372850
618950,406450
663350,197050
476650,312950
449050,312150
656250,208350
479450,312550
524950,300450
524550,300650
670150,199550
527750,326150
628950,288950
416750,325550
390050,301350
501350,250050
497950,316350
619150,408450
501750,244250
660250,204650
474950,310650
572550,367950
413950,381150
600950,310650
429950,336450
750050,277450
567050,412650
401650,387150
522050,329850
498350,309650
461450,254650
579250,268650
618750,407750
499550,255750
580450,368650
499350,319050
538050,400450
566250,424150
355350,288750
483650,310350
489550,312050
521450,323250
687350,367650
653050,205950
611750,287150
401450,386550
521350,317050
576650,427250
496850,317150
518950,328850
496050,308850
726350,293150
523450,319650
452650,314250
526850,324850
595550,313150
577850,364150
617850,413450
567050,373250
470950,293650
578050,362150
496450,311750
411350,399050
363850,298750
494650,256550
490450,310050
500250,315750
730750,218950
503350,250550
565150,431350
714550,202050
648550,271050
575350,362950
528950,313050
450350,311550
580350,361850
369350,279150
494450,310950
572350,339050
518950,303950
662350,199750
598550,311050
482650,292650
434350,325650
434750,356050
630650,390150
519250,329050
387950,388250
573250,367450
620450,411750
620450,392450
524550,327050
714750,325750
520650,303150
616650,286250
624650,388150
489650,268750
519350,331150
616450,284950
521250,319650
508950,249650
728350,297550
528650,374150
526050,304350
580650,364550
572350,363450
648150,210750
751950,236250
491350,313950
496750,310050
577050,364450
500150,321650
501150,248550
669950,195350
488450,309050
526450,332450
573050,341650
519550,328150
366150,299550
534450,293650
360650,252650
372650,314650
541750,382750
651850,269050
499950,318750
620150,409850
529350,297250
520250,320750
664850,197650
626450,391350
579750,343050
635850,374550
499150,320750
497350,313250
490450,269250
499350,258850
387650,366950
580650,368350
593850,310450
414750,325550
591250,290750
563450,410650
729550,294950
628850,396050
525250,302050
399650,384650
575350,363450
608750,358950
374850,278750
436850,290750
708250,205450
515450,297050
628250,261650
398350,379150
580750,362550
641250,189950
656550,213950
576250,250650
627250,281450
496850,311050
716550,299450
602550,314550
682850,365550
519650,322850
655950,207750
579150,365850
474750,313050
685650,368950
577550,340650
598850,293250
666150,224850
533250,295850
690250,380350
500850,317950
577150,364650
500550,312650
577450,392450
584050,371850
579950,330650
518850,330450
668850,204650
632550,305050
541150,294650
513950,296150
636550,376950
620050,407350
523450,320950
521050,322650
474450,311550
391650,391250
477250,310350
618850,407750
474450,312750
537050,297250
653150,207050
487550,263850
571950,411350
629550,387950
595150,417050
549850,345250
409450,396750
527350,306550
620750,412250
682850,363350
632250,303350
578650,365850
522750,329450
542950,296850
643250,190950
603850,307950
492550,308450
538850,274950
626750,390650
481750,310950
448950,310850
447850,347950
448850,351850
592850,414950
525750,330050
356250,274450
502150,247350
384750,365050
417550,381850
458350,285450
580450,368750
499950,257250
318850,270350
493750,311750
653850,188750
488850,311250
418550,328950
519850,302350
627450,307150
550350,397950
579050,361350
500850,321850
613950,281850
578050,367650
541650,295150
616750,359150
605750,231550
579650,336350
523850,325150
579650,363150
527150,317350
608550,375350
414350,399850
498750,319350
617350,396550
483250,310850
596550,314550
630150,302350
526750,317450
448150,312750
527350,330550
635050,341050
708750,205250
534250,314450
668050,193550
504950,252850
500850,314050
525350,303350
481350,309250
470150,295650
578750,366650
579450,365150
500850,319150
336050,265850
523750,299350
575950,365050
491450,313550
501050,251150
413550,398950
481950,298450
569750,374550
570550,435650
478950,309550
315650,268950
606050,309650
527950,327250
499250,318050
638150,374250
466250,289950
449750,309850
497950,312850
542150,248250
692550,211450
607550,313150
580350,267850
618650,392850
526250,318550
502950,241050
559250,317050
522750,329150
667650,371050
521550,331550
579050,363850
531950,311950
566250,372350
526250,302750
525050,319250
568450,370250
587350,425050
322150,264750
474750,310450
514350,295150
579650,364150
580250,363950
468150,284050
645450,184250
663950,258850
480850,293550
574750,367950
572950,369650
607150,341550
496450,316850
522250,333650
575550,365050
578650,368950
623250,393050
500250,312250
474850,314450
430250,261350
664850,222950
527250,257450
640750,371050
399250,380950
423650,290450
521650,331450
624650,395250
498550,314250
546650,347150
489550,311350
601250,312650
414950,398950
534450,308350
530450,290350
372550,326150
506150,244450
530350,325850
476350,311650
532750,311150
412650,399350
660550,211650
603950,385950
542750,402550
630650,333850
416450,402450
530050,330150
497750,313250
439550,285750
527750,373750
431150,371250
392350,388650
449750,314750
660150,205750
549850,279650
575950,336950
668850,201250
618250,396650
568950,374050
570650,430150
457450,261750
575150,362350
515250,297350
361150,365650
654750,207650
599350,308850
500350,310650
578850,362650
604150,309150
683050,366850
418350,263350
626150,306050
519150,305950
524650,325950
626650,393950
578850,364450
623850,390850
659450,369850
601550,310350
574550,338950
528350,293350
487050,310550
622550,392450
335550,308350
573150,363150
589050,301550
520750,317450
519650,304550
529750,378850
530950,372950
410650,396750
450750,310250
612550,284650
668750,224550
619150,395150
