x,y
543950,333850
402750,390150
487250,298450
667150,380150
669350,303650
440450,354750
704250,256250
577550,356450
509250,320950
518050,301550
467750,305650
497750,285850
494450,305450
710750,262550
473050,253850
445950,345050
516050,305650
467550,308550
510350,315250
471250,304550
640650,220650
463850,313350
689150,369550
507750,253950
699750,275050
628550,363250
542250,371050
590050,366350
501350,297050
587150,417950
483450,299350
601250,302850
587950,406150
503750,313850
411950,394050
531050,359150
600850,389350
642950,381450
598450,305350
575850,356950
493450,243950
463150,295050
717350,331150
532850,342650
627850,231450
579250,371850
647450,230350
607450,289350
615550,261250
468250,306250
426650,324750
532950,320550
591150,355150
666450,298150
391350,341050
415150,375750
657550,280550
523650,341750
531850,346150
709550,278950
517550,300250
694450,312550
518650,309350
496150,249050
578850,354550
721550,328750
636450,294350
540950,355950
512550,289450
552150,342450
567750,343450
352450,319950
539950,372650
573950,373050
512050,326150
587950,364550
501950,320950
587550,343750
715050,342150
707050,265250
476950,256350
685950,301250
507550,314650
623850,373150
520150,314650
685950,374150
412950,322350
563250,368850
477250,302750
505750,299350
422450,326550
578550,348550
547150,303250
575050,351550
510850,308550
562250,274950
413850,305750
479250,298650
455250,322350
627750,214450
505150,257250
505150,294650
537350,315750
541950,335450
492950,248950
423450,330350
517450,329450
368850,249550
623050,366550
681450,370350
530650,336250
514550,328850
498550,299650
529850,343750
576150,421650
605350,319250
702750,293450
679950,370950
515050,318450
526750,348050
517650,277150
525750,406250
502150,256150
619550,310050
534150,411550
524250,375350
342850,254550
580250,348050
567250,360750
502850,323450
529450,359950
431950,309050
427150,325450
577750,358650
634050,311350
580050,348150
462750,292050
504650,319450
411450,289350
626250,397050
578850,277850
528350,344150
611350,409150
512050,325450
511350,301550
533950,336750
520750,312750
512550,326150
572650,354250
721250,343850
698850,287850
614250,395850
623550,396850
573350,346350
610450,386750
667550,268150
431350,319950
621850,399650
578050,354050
499850,247250
615950,412450
546150,315750
534450,303150
615050,391550
531450,366450
380850,371150
586150,362250
447150,316350
527850,320250
402350,278950
614150,323450
404550,286150
608150,385150
650350,227750
579050,358850
576950,407950
396550,390350
616450,274650
521450,340450
615550,396050
683750,370050
378650,273050
595850,361750
518650,302250
512950,307350
572850,355750
462250,314750
504950,321350
480550,307050
517150,300550
568650,369250
517650,334150
431750,367250
371950,286650
505950,310150
334850,254750
610750,393150
513550,317950
517450,326950
514150,301550
523950,309750
543650,336650
713450,319950
546350,332250
579950,358450
578350,354250
658750,235450
703650,260250
576450,358150
611750,367750
581550,384450
615150,401250
721150,202250
582550,357750
722650,229550
502350,317550
468350,319950
573250,350950
470550,313950
386050,307550
677450,298950
584750,354850
465250,304950
515150,308150
539550,332550
585150,325850
631650,368950
709250,285350
585050,352850
477750,304250
621550,325550
729850,206050
513950,262250
623550,307050
465950,311950
562650,379450
675450,214450
528250,341750
533150,301450
506950,280150
573450,355050
654450,197150
495950,302250
516050,301750
684950,257850
505250,305250
431350,318650
651550,194950
623450,398650
394250,388850
569250,363250
623450,290350
602350,387950
575050,352050
589250,282950
573350,411250
699350,333450
714650,266350
513650,318950
504050,300050
520250,314950
573150,345950
426350,320750
519550,249150
656850,345550
625750,299650
533250,339950
479150,303650
565950,358250
572650,359950
578950,370350
648350,200650
641450,297150
517750,334050
603850,387850
567050,345050
645550,226850
657650,300650
551650,338550
469050,315750
631650,249950
441650,262750
512250,320150
578250,350150
615150,409650
723650,323450
509650,299450
540150,332250
461850,274750
574450,256350
694150,259150
685050,298150
615150,411250
600450,270350
507450,311550
681350,352150
429050,322450
696750,367150
575050,306550
367350,265350
536750,325950
616650,409750
559750,376850
599650,289550
439250,355450
523450,298150
370750,250650
592950,331450
373650,300050
518750,316450
625150,402950
489250,252750
518050,331250
586750,273050
509150,307250
719350,337050
582450,366050
684350,371350
411350,324750
577150,415950
581050,417350
670850,379150
395250,391550
528750,301650
515550,327350
514050,308950
669550,344850
579550,400950
389550,272850
435950,362950
574050,355350
401950,281050
511050,313650
394750,389250
553950,337250
641850,249750
518450,324450
617050,352950
521350,399150
590350,304850
481150,304650
619350,403050
315250,249950
627050,401650
533750,350550
554550,309350
471250,310850
600050,332450
678850,273650
410850,382750
608550,395850
511950,312950
562750,267250
508250,309750
584650,319350
617750,397550
533850,301550
649550,205650
426750,315350
582650,311050
511350,306950
521250,411850
652450,219750
710950,287150
609950,241350
670250,180250
519050,277150
591150,351150
624850,227450
508450,311850
652750,219150
427050,309350
583750,403250
610650,406850
614550,395950
438650,357150
669650,326850
400450,388450
518350,308750
555850,338650
583850,271250
723150,343450
631250,240050
336350,258150
505750,310150
528150,306450
586950,359150
505050,316750
685950,372750
507550,325650
515650,332950
397950,392950
587550,396150
722750,323750
686450,370550
522550,313350
578350,344850
447650,333150
505250,284950
515650,315150
677950,352650
630250,342150
540950,331250
502350,319150
503450,310850
517450,246750
673650,194650
575750,359850
535150,299050
689850,375250
584150,312850
649850,345450
577650,348050
623350,400450
405750,337950
574850,360350
693850,306650
494250,249450
582750,367750
322250,225350
456450,312450
447250,338950
385450,356850
441250,317050
400250,388350
680250,197050
576150,354450
613550,366550
584250,362350
429350,369950
386650,337650
680450,285350
494650,287650
709150,286450
720550,333850
722150,324050
564350,341250
502950,302350
613650,364350
540250,365750
384850,302750
446850,307550
389550,296850
473650,304950
653150,195250
599750,247050
701350,284050
325750,267550
431050,364950
614150,402750
525050,343750
501450,315350
514550,333050
589250,338550
575250,419050
328450,259650
477050,307050
643350,204950
484550,301350
687450,280850
507850,299450
532550,320450
586050,422950
574650,409650
573950,356850
502850,317550
543350,373450
337950,258350
576050,418550
529450,257750
572150,357950
730050,276150
494750,247450
582550,364850
339750,297950
724850,289450
338850,291650
577550,343550
688950,306950
528250,321850
572150,367650
619850,352250
656950,274550
539650,331950
711650,302250
438250,362250
425050,317950
623950,368650
656150,236550
515250,325850
579950,346050
426050,306250
669050,340650
407450,390450
490150,306450
524750,298250
520150,311150
578150,414550
498350,248950
682850,224650
707750,304350
501850,321750
538050,326950
482450,277150
587650,355650
508350,311250
682450,239350
574850,356850
646550,208650
542550,349850
617150,363850
524750,404350
584550,327150
641350,252150
608350,401750
588350,345950
599650,264650
442450,332150
457150,318350
515750,305650
569750,314450
610450,395650
506550,309850
586650,363150
519850,296350
509750,312450
417050,317850
653050,294850
619750,398150
322650,240150
528050,304650
446350,320650
494250,253250
507150,308050
699350,266650
529850,236450
503150,316750
655150,265850
526350,343450
497050,250650
513850,305950
518150,313750
687850,374350
486050,282550
466550,309850
513250,321850
394250,388550
562450,377750
450950,260050
418250,318550
588450,353850
469350,313350
508450,297950
494950,247550
351150,333850
565250,342350
493350,288050
518550,305050
642150,381250
521150,309450
697550,308350
599950,278150
359250,312850
677850,298050
533050,304450
506250,311250
485750,250950
510450,309150
677050,203050
641150,357950
486450,258350
591250,281250
463050,308650
600350,255250
524650,407450
526750,336550
574950,353450
515050,332250
584450,363750
523350,298150
407950,382550
581050,386350
638450,217850
506750,277750
509350,316550
381150,298350
407950,285950
676750,345350
574350,372850
675350,376250
504050,315750
536450,299950
616250,368750
570050,362150
558550,400750
472050,304450
562350,368150
707950,235350
401650,319750
470650,307250
570050,269750
528450,307050
531050,368950
379450,376350
651550,242150
576750,354450
587750,362350
531450,341050
372350,270150
652150,296750
655450,240050
505150,260850
625450,403150
400750,283550
439050,276550
578450,290050
473950,302350
321350,250750
515850,331050
506950,302550
537750,303450
590350,366250
503650,316150
680050,199950
448450,265250
641150,206350
511950,307650
505950,309550
578850,348050
431950,301350
572350,359550
512850,316650
475750,306650
408750,276050
515950,317150
506650,307750
395750,389550
537350,327150
651950,220650
654050,219850
574150,352150
585950,339650
578850,348750
648050,208550
513550,311950
496450,249650
581450,381650
447950,307250
703850,363050
658650,275250
471950,302650
665050,325250
672050,292550
498950,296150
511750,313250
505650,307450
506150,314350
543850,340950
572350,353450
505550,296550
517950,314050
510650,314950
515650,320850
542650,359650
684950,195650
575450,347250
515250,326650
506050,317550
504850,317550
