x,y
513861,300476
432481,280151
494466,247334
502862,314312
513720,316305
500973,323278
486847,283171
503479,311805
406594,283597
390485,292241
419374,274567
453661,331016
314806,228598
447768,357582
507058,303759
521675,394041
507639,284581
374150,252440
510851,250917
500965,322937
501291,324013
511768,251752
465428,312834
487939,282177
594627,282746
410887,328019
461489,275368
375755,317363
486558,302162
513515,300893
500776,251557
595456,352854
421729,365221
577798,353988
515507,315568
661011,193791
504006,312884
656970,196474
514235,313263
655609,256484
544363,264813
325499,267844
577801,354071
574013,355061
518476,331323
416032,388277
579061,353612
577822,353991
561553,413958
415549,317502
503829,308283
566741,360391
567498,359919
562027,363742
425833,323091
686647,279796
563129,357884
580654,354452
501004,313841
461501,275405
707026,269973
576052,414377
613657,366913
522075,382836
532092,368479
575168,421403
579220,422693
716272,289621
681569,224536
577277,353971
525782,366003
