sugas,parklajumi,svarots
ABRGRO,0.20751581845581432,0.0010369307732497892
ABRSYL,0.33926377619959325,0.0016952589561994949
ABRTRI,0.4263460913336165,0.0021303984700941016
ACHFLA,0.020426689710037357,1.0206963167230821e-4
ACLCRI,0.4850407871071517,0.0024236885755280265
ACLLAT,0.259838221367765,0.0012983793226350898
ACLSP.,0.3471708592464266,0.0017347696681968504
ACLVAR,0.1906646462218999,9.527275583589743e-4
ACRACE,0.5888679327759718,0.002942499928049628
ACRALN,0.46670935733275293,0.002332088697541911
ACRAUR,0.6080578643317566,0.0030383896328192305
ACRCUS,0.4463756506648695,0.002230483690583599
ACREUP,0.32453082843962,0.001621640245940784
ACRLEP,0.5655272394346947,0.0028258693821247155
ACRMEG,0.30929361564925795,0.0015455017859503427
ACRMEN,0.015552539982490409,7.771411080874248e-5
ACRPSI,0.5684997440471883,0.0028407226185153565
ACRRUM,0.5841958818292864,0.0029191542696952
ACRSP.,0.8126746985863091,0.004060834542042739
ACTPOL,0.2761717268034375,0.0013799958208245895
ADECRO,0.09600906710828205,4.797453848887172e-4
ADEREA,0.04851931205407474,2.4244497667772798e-4
ADSSTA,0.27670568134102824,0.0013826639253366419
AETPUN,0.16883727745931532,8.43658907412664e-4
AGAZOE,0.44411692300066147,0.0022191971089589478
AGLIO,0.46544736391386765,0.0023257826731558255
AGLPIN,0.3838088683143445,0.0019178452494023296
AGLTAU,0.1978207796139616,9.88485868192541e-4
AGLURT,0.4071544717462687,0.002034500330440417
AGOARE,0.5736600966498976,0.002866508259602319
AGOCIL,0.5118060311586738,0.0025574311760540374
AGOHER,0.15893214986385656,7.941642149447553e-4
AGRAUR,0.003478544652055056,1.7381855622767365e-5
AGRCIR,0.23072344944259077,0.001152896423114394
AGRCLA,0.013709838791153499,6.850636180233051e-5
AGRCON,0.09249543936077526,4.621882233949783e-4
AGREXC,0.23343144147535516,0.0011664279229941805
AGRHEL,0.08997445360643855,4.49591170664019e-4
AGRINQ,0.1379622721746618,6.893803403995955e-4
AGRIPS,0.14850248276180375,7.420484637054238e-4
AGRLIT,0.1002005338800481,5.006896238052488e-4
AGRLOT,0.08033159339752383,4.0140699575545117e-4
AGRMAC,0.12040563361250177,6.016519978790276e-4
AGRMAR,0.0016183569315069374,8.086728601554595e-6
AGROPT,0.17949173328434248,8.96897899983987e-4
AGRSEG,0.13830901789719371,6.91112985712428e-4
AGRSTR,0.09462067738883838,4.728077738860103e-4
AGRTRI,0.14997619804793128,7.49412435968192e-4
AGRVES,0.06241314248757209,3.1187072186676516e-4
ALCREP,0.2236969033075191,0.00111778564471045
ALLOXY,0.15983342400180148,7.9866776988203e-4
AMPBER,0.4688954113315234,0.002343012137885778
AMPHI.,0.4778851499200394,0.002387932745168968
AMPLIV,0.21822620148270475,0.001090449227103174
AMPPER,0.0972227538022578,4.8581002656968486e-4
AMPPYR,0.7048123142063452,0.003521859602821433
AMPSP.,0.19407785735577743,9.697829505052362e-4
AMPTRA,0.32654625057708425,0.0016317110600646265
ANABLA,0.3897338092456117,0.0019474514434121917
ANAFUN,0.04147500952511284,2.0724547177869678e-4
ANAHOR,0.2629159203792491,0.0013137582023733003
ANAMYR,0.1716099589939159,8.575136526992791e-4
ANAPRA,0.3227626692702556,0.0016128049741607287
