x,y
541150,372750
503750,318150
586350,405850
576050,414650
492550,316350
425850,323750
395250,329350
395850,361050
450150,329750
576750,269250
541750,375350
508350,285950
500350,311350
585450,365850
505150,310850
492950,316550
492950,312850
508450,326550
524650,351450
576950,269750
580250,385450
627050,370050
503850,320950
651050,226050
591950,275450
512050,285250
330450,255850
500650,316450
468350,309450
646850,238250
564950,365950
578150,366250
506050,325250
588250,257350
616450,286250
468950,312650
503550,324250
507650,286450
490650,305950
580150,382750
620450,286550
582250,365550
504450,324850
572250,262150
582350,367550
355150,292150
469250,312450
346450,276350
426150,320950
650750,227050
465750,293550
618150,392150
469450,312350
579450,367050
472550,308650
509250,257850
410950,356150
448450,329350
510950,325950
683850,352950
467550,317950
615550,367350
416150,402550
468850,310750
513350,328350
646450,198050
585350,366550
408450,327850
469550,311550
407350,328450
476350,294450
585750,341050
731550,263750
577250,367050
507350,251550
585250,365950
426450,321650
470650,312950
414750,399450
646450,196550
504550,307850
320150,266750
315950,268650
485550,313250
684950,351550
584450,336450
510450,327250
504650,309750
500650,312850
580150,381950
578450,368250
476750,290850
552250,335050
500350,317850
593650,281750
467750,312350
520250,248850
580650,365650
678550,275250
426950,321350
607750,239550
498650,317750
681650,304050
629250,391050
321550,262950
583350,365450
593050,261650
574350,418350
476950,285650
677950,298850
576050,414250
622950,392050
541750,368550
398950,320850
451250,262250
585550,365750
413050,400550
504650,313850
647950,238950
316250,273850
492950,314650
629650,367850
494250,311750
657550,224150
483350,304550
577750,365750
718950,310150
496650,317050
617250,282750
470450,306050
543050,317250
663550,366550
469250,309350
614950,302550
426050,323550
472850,305250
647250,236150
604550,294750
581650,337750
434250,315350
425650,322950
583650,373850
502050,309350
494250,312450
512350,325750
425350,322250
595550,281450
600150,298750
505250,313750
594050,277650
468250,309150
490550,309250
550650,333450
666850,271550
583150,338450
427750,321550
425850,321650
422450,283150
563150,347550
395150,329750
503650,305350
471850,315550
577850,335850
496250,316650
465750,316550
466450,306250
627250,389750
542650,315650
496150,313050
645450,377250
629750,394750
501750,322450
584450,371550
501450,317450
583250,381350
503850,317450
613950,367850
503150,313650
512450,329850
468450,307750
315250,263750
476150,294050
444850,316750
646550,195950
594350,413550
583850,374150
502450,318350
555450,407250
429250,320850
513950,292950
607650,294750
504550,310450
446750,327150
703250,253850
488750,305750
482950,297050
499850,313750
576550,413750
601850,387150
704150,248750
621250,394750
472750,309050
603450,415750
408250,397350
613950,304450
399650,375250
618250,265950
506950,285450
427050,320850
426950,319050
504950,309250
729050,235250
579350,365950
583050,337150
466950,309350
499750,317050
530250,265550
579750,383850
611950,373550
408450,330350
372750,278650
683650,302050
414950,400850
660050,275350
578650,384050
535050,411350
551350,333050
606950,361750
584550,341850
505150,314450
485850,313050
559550,354350
503650,320050
633850,203050
577750,365650
491850,315550
416250,402250
388250,307550
484950,252450
