x,y
580650,355750
399950,390850
576550,292050
557250,320750
672350,190950
496150,275550
505850,312050
401150,279250
522550,324450
663550,238850
538750,296750
591450,348950
697650,364950
699550,364950
620550,228250
665250,197250
707850,292550
364550,312750
543050,337350
481350,283450
508350,305050
496450,302650
574150,353650
618350,365050
338050,259850
451150,335750
535650,328350
496650,277050
675450,288250
605750,293050
494450,245750
750050,230850
572450,367050
591650,360650
405850,390250
446750,354250
582950,363750
583250,305250
464050,317550
527850,290250
505350,304950
534750,328850
557450,343550
651850,349850
368850,383850
589950,379350
506950,324150
695250,307550
511350,307450
360350,317550
403550,394950
641750,191550
626150,396950
613050,389850
573450,331950
389250,318450
623650,399650
319550,285550
526550,347150
520850,297050
521550,414650
737350,287450
514850,303150
591750,338450
685050,369650
570450,368750
615950,392650
524550,322150
545950,304250
668750,226050
582050,358650
653550,347650
675750,179850
487650,284450
334050,254150
711150,318050
477150,279550
527750,343150
581550,261550
530650,312050
723850,284750
532550,328850
572450,367850
542150,335450
597150,271050
569550,368950
495050,278850
570050,344050
679650,199350
510150,312350
534150,368950
659050,195750
533250,308750
574450,369650
516250,317450
576050,364450
706850,259250
321550,219950
596650,355350
702950,255250
461250,317250
692750,349050
523250,401750
518050,328050
592350,335650
552650,338050
432750,308350
515050,311650
554550,366350
525950,353950
493550,250650
523150,327450
578050,402850
529350,315150
514350,302650
482150,308750
494850,246350
531250,326050
527350,342650
514150,306850
602450,359450
654050,202650
425250,374250
670150,288750
539650,299750
632050,276650
725350,268850
488750,291350
431350,368550
402450,395350
334750,243450
709950,289850
455150,313250
657950,267250
447650,356250
519950,326750
674550,246750
626250,400350
630950,321850
408450,392850
726450,232950
520550,337550
587650,359750
617050,404950
606550,330150
575850,415550
427350,333950
520850,401850
453850,276250
684750,367850
587050,337450
620750,396250
668450,199650
737450,267650
684050,369450
727550,273150
415350,371050
406950,390850
654150,312250
398250,388450
691850,306150
544350,300050
533350,346750
520650,410150
518650,302150
630050,300950
638750,369050
618450,365850
417650,319350
520450,316750
592250,304850
503750,301350
529750,307550
395450,389650
585150,353050
589550,359350
393350,364950
521650,315650
481050,311250
405850,388650
384250,324750
706250,191250
718950,276250
515650,309550
574850,348950
510050,313550
615750,392550
532750,369750
697050,359750
673850,175350
519750,316250
591550,376850
684450,368250
521450,338550
510550,308650
522050,312050
586450,364250
518350,303350
510550,308850
580950,360950
521650,269250
518350,331650
578950,402650
463750,286850
514050,320150
576150,364050
506050,310250
549450,335450
476150,312350
540950,334050
683750,368750
597950,371850
511950,310150
523450,399250
