x,y
416024,400347
415494,400275
503146,313847
453049,327655
685651,222786
482405,297483
502936,319679
502773,313422
673500,382300
502968,314558
565048,346247
416737,402105
416430,402064
504492,304997
683037,295246
503520,311908
453243,334427
416390,401586
416653,401934
495133,308048
453220,326207
415379,399384
495230,316846
505074,324485
576263,414475
511223,328010
494545,315738
481231,292343
496456,315443
490334,312635
681373,294984
490015,313556
485120,313073
593994,278210
498505,317442
409622,398791
408287,398056
495108,317779
452319,326916
493472,314186
493607,314173
491523,315530
497747,306969
449229,315631
365780,277963
512595,326167
582608,340125
561287,355723
416687,402468
626101,275799
384802,291016
416970,402687
416026,400275
466738,310724
498071,314567
576506,416454
493160,305315
484668,304647
493197,305194
553471,333001
501513,324730
410198,383301
500515,321946
500493,321926
480600,299974
504309,308101
488626,306180
469949,318476
616181,366702
504298,308112
494239,316015
503270,319483
415893,400921
496201,317304
615408,367242
622544,223428
624629,222454
599188,390650
582685,340022
557325,357503
332203,264681
577660,365575
415275,398675
497895,307393
502786,313879
316380,270070
580957,383929
416168,401946
500730,322132
585781,377470
415531,400384
630415,368669
620486,395025
415915,400291
414694,396471
505253,307558
580856,383837
577574,375545
620378,394315
668204,378817
623186,394947
580962,383713
535153,409926
624566,395360
631969,392423
617866,393384
415821,402051
719244,328179
624207,392007
624884,392376
550499,334801
585854,377812
661670,365615
560318,375340
577984,367593
616869,392494
505107,307784
415776,402032
585230,270416
619622,395575
400239,268734
617624,391805
612261,369529
504830,307804
597040,388414
620837,395276
617910,394024
631937,392397
416863,402368
495056,311254
502155,314944
503749,311875
502827,314186
502198,312102
