x,y
521082,324304
531108,298148
594307,357157
456255,325841
531794,327350
531888,327495
533366,300022
530705,326537
572126,344604
683010,371470
577718,355066
573940,355566
578234,362309
527279,324140
654690,196487
530339,321588
657039,199224
654425,204052
657967,202442
674895,345260
654601,204312
447241,358425
507801,314094
320521,301048
320607,300976
510601,307419
682489,371488
575871,357460
476265,311384
538785,299710
653698,205651
419944,381387
666874,199332
682455,368195
683378,293382
515517,315645
520690,413220
537900,308125
513851,320386
509356,284447
481214,312686
514795,318280
517560,313166
507513,314032
535754,296637
458222,323999
541558,299607
657529,197023
476196,311318
526182,323108
518547,314497
481315,312702
476314,311573
518903,312844
573916,355624
663905,195207
512951,314534
438134,353645
523570,321797
586053,265740
499156,288328
686826,293527
661546,240309
531935,324736
490072,273761
632118,277468
511880,301696
512145,313803
524981,310441
536376,326563
659851,201955
536208,296866
582158,404232
515950,299355
518307,323327
518493,329999
519871,337391
507747,314586
516161,334071
574914,354039
448490,348397
358079,367117
475678,312007
396167,392223
572887,351387
514986,314903
484402,313008
522818,372072
400321,393797
398924,393263
479430,312318
515035,314916
521091,414003
701322,301981
464356,248343
507938,314523
515722,300588
523278,326688
512118,313917
574932,353977
381234,287305
532679,320621
531902,318841
524815,326718
666985,340190
526632,323329
524370,322232
514475,313223
517031,331694
512151,313772
512210,305443
521402,321786
518492,331527
512291,313828
561096,338111
447793,357393
513568,316237
512801,312444
459841,312527
527426,324264
572049,344557
658839,347043
514254,313261
516747,317790
728043,288164
594274,353082
588773,343756
524915,321079
684920,367607
523615,308683
550649,335179
523410,322364
523247,322738
403883,396923
538424,300591
714233,227017
371543,261213
313119,251176
518755,331428
519764,331010
529961,320551
523970,326562
683613,369550
518687,331140
524229,326409
481989,312839
519209,330792
447413,356825
517520,331626
516168,315020
518245,332178
447646,357334
596578,334780
366531,265474
578941,353612
516017,332182
523330,308280
551465,335997
518435,331868
581519,356446
610511,281549
509827,308263
600783,312610
402306,385747
541263,334534
339005,291407
527109,323447
506666,311259
524549,303338
653203,349020
649561,345470
415000,317129
541081,339659
530456,418338
529659,419079
520769,405860
569888,434786
600195,306058
502460,252898
514366,300585
347165,321790
573878,353729
507154,314723
479144,310105
515139,312764
374563,384295
522682,302740
518935,330837
506976,313580
516830,330199
541428,338818
456652,316040
689263,299719
668271,329659
514229,313144
514584,312112
505614,323628
542700,340018
693593,305277
529654,282901
679573,197656
534205,325448
505640,306002
583940,428858
447631,357418
567526,348778
697238,365713
515813,334856
447654,357806
513174,316572
522909,323286
401275,390216
505599,323636
514596,316689
516520,319583
453408,335323
567349,360982
527255,320302
481348,312595
541876,337315
678937,286325
379107,379463
507170,314558
516548,331411
512384,321458
505833,323993
709482,271236
527740,279843
522639,302933
695010,303204
515255,312869
718982,230813
511506,321658
541510,334840
693565,305382
578127,365129
506334,306209
517555,332302
513047,316089
515045,314638
527465,324449
574266,354910
513993,316439
690696,302903
648407,197504
513479,316216
527488,323852
703898,267847
510662,307378
704320,268267
523369,322379
527900,334717
525734,321910
522345,303381
378543,282373
593394,383041
652466,205868
527517,313610
522729,375361
659898,211166
665971,238427
551196,337377
515371,312939
569501,368275
463758,294571
518867,315850
515713,314378
578748,365015
668798,227692
581768,362942
578187,359800
511661,306406
666059,238574
541426,335546
483238,312465
693609,305302
648382,197538
415596,389592
528428,313935
318489,234168
512229,305317
516150,324502
425391,376689
423315,378157
568796,371093
378317,385798
516267,332286
376544,385732
525447,321781
447692,357735
697322,365739
525598,321771
367313,265879
513049,313202
529943,320605
567380,358327
525893,322068
577899,364864
578101,365006
523053,302886
620056,367147
569284,368218
522254,303084
573875,355120
390892,335134
643630,223342
534286,310960
478220,310905
505651,305556
577644,404956
649941,200851
615637,388592
551136,312199
571959,372579
574286,351619
575970,353369
589903,379261
590608,379717
338104,296238
588878,378598
623834,398180
607773,390396
525800,322017
648631,197156
616105,412898
623990,395654
618210,407356
693573,308405
697155,365646
610479,406773
584424,362136
723398,349131
685729,369340
569386,368242
573691,355110
573909,355096
577772,403945
610445,407120
576567,354127
621774,411288
573214,366004
570971,371077
609942,393374
545677,373823
609640,393312
588724,350157
581576,364749
612735,400133
609271,398660
580099,399518
575662,353787
463968,297952
525685,321777
577376,364971
590192,379217
510887,307105
527540,323821
516186,316578
620372,402885
618787,408889
541839,338503
619160,412817
624057,402533
487529,296019
522385,315825
523724,308567
424452,319617
527668,307454
664339,197130
548215,282903
548199,287760
516166,316674
423840,329356
520365,410008
524468,319849
649833,200721
576074,365068
576676,365321
527606,323911
459590,319996
614457,388082
606974,389737
610125,393199
668915,339234
614085,391223
615306,391539
515211,312908
510727,305778
521799,337014
575163,353705
314837,228474
378388,385832
377791,385947
377985,383938
520732,413153
693891,308630
668821,339246
619089,406665
516530,316413
550063,337956
516526,316399
529006,319530
622963,401446
515984,315359
525254,321984
