sugas,parklajumi,svarots
ABRGRO,0.37696521861970866,0.0019739319129989975
ABRSYL,0.43932712409959856,0.0023004823460413787
ABRTRI,0.49657682024394584,0.002600263324887671
ACHFLA,5.533472409733788e-7,2.8975346370859916e-9
ACLCRI,0.15206560644148892,7.962728087315041e-4
ACLLAT,0.06307916037144914,3.3030624989303795e-4
ACLSP.,0.1807524044608955,9.464876914190989e-4
ACLVAR,0.02650256400198886,1.3877741042363933e-4
ACRACE,0.3097400396318455,0.0016219155475446516
ACRALN,0.45352432810893206,0.0023748242552816905
ACRAUR,0.43731341544835256,0.0022899378088431428
ACRCUS,0.19808206402008052,0.001037232318126405
ACREUP,0.4119555122925792,0.0021571542738814853
ACRLEP,0.33571790064813534,0.0017579454154440508
ACRMEG,0.08343072532312772,4.3687471179168675e-4
ACRMEN,7.13687129216789e-16,3.737134702814211e-18
ACRPSI,0.3679931013337002,0.0019269505264857536
ACRRUM,0.343635700086575,0.0017994059964745483
ACRSP.,0.3423848636113073,0.0017928561454153052
ACTPOL,0.38995003297250797,0.002041925293208473
ADECRO,0.1040645030513836,5.449209461171439e-4
ADEREA,7.309866481260466e-7,3.827721501722475e-9
ADSSTA,0.45259340023923933,0.0023699495662124572
AETPUN,0.04020194881226642,2.1051255077551582e-4
AGAZOE,0.3715867022022275,0.0019457679745859802
AGLIO,0.20663584346320077,0.0010820231300781129
AGLPIN,0.6071754448985676,0.003179399393565126
AGLTAU,0.05816893283710074,3.0459444850821396e-4
AGLURT,0.29081095463947865,0.0015227957266574156
AGOARE,0.29779628771342587,0.0015593735624802533
AGOCIL,0.16173556543180262,8.469083573326816e-4
AGOHER,0.020746447348695008,1.0863621490834657e-4
AGRAUR,1.052109597658184e-16,5.509242254217469e-19
AGRCIR,0.04272905984374103,2.2374545627004604e-4
AGRCLA,0.04993678211210891,2.614878057039284e-4
AGRCON,0.0010740686255800206,5.6242279978679395e-6
AGREXC,0.3863531258626036,0.0020230905323827117
AGRHEL,8.775331314145975e-4,4.595094102198037e-6
AGRINQ,0.06761551714430623,3.540603231082786e-4
AGRIPS,0.01285651514960498,6.732155724255864e-5
AGRLIT,0.0023460003736467338,1.2284541853503374e-5
AGRLOT,3.644525341538696e-4,1.908410782760922e-6
AGRMAC,0.006661693798801407,3.488313864135931e-5
AGRMAR,7.0446870313769715e-12,3.688863550659193e-14
AGROPT,0.5412904494288245,0.002834400733949476
AGRSEG,0.011575255141779204,6.061239710423809e-5
AGRSTR,0.05409889537485944,2.8328219889739664e-4
AGRTRI,0.03570684265047898,1.8697448130173234e-4
AGRVES,0.016696402781602348,8.7428655629204e-5
ALCREP,0.5315764547760529,0.0027835345980284543
ALLOXY,0.0021117013101696436,1.1057663680825652e-5
AMPBER,0.24101449876669614,0.0012620427220129903
AMPHI.,0.18376945183243076,9.62286088182359e-4
AMPLIV,0.10875432087534653,5.69478599215137e-4
AMPPER,0.17275481571879084,9.046093035325818e-4
AMPPYR,0.34602073541936645,0.0018118949400812438
AMPSP.,0.04965497512181306,2.6001215812697685e-4
AMPTRA,0.34923179487362194,0.0018287092572071067
ANABLA,0.5514437637217098,0.0028875673130275676
ANAFUN,0.001120338977033975,5.866516991253243e-6
ANAHOR,0.42612230140522134,0.002231336919263371
ANAMYR,0.24582645367324016,0.0012872399308926817
ANAPRA,0.7330556959939217,0.0038385558159090083
ANCBAD,0.3323098147449602,0.001740099393598449
ANCUNG,0.09002653179361547,4.7141283955778076e-4
ANGPRU,0.31626442076408856,0.0016560796653289384
ANTCAR,0.009623290695001487,5.0391175823818015e-5
ANTFAB,1.3538767348646372e-4,7.089408680730916e-7
APAILI,0.6993496958597001,0.0036620584998751675
APAIRI,0.6516223266433561,0.003412140012528808
APAMON,0.41769128803816863,0.002187188956740241
APESYR,0.18381161705756863,9.625068811876744e-4
APHHYP,0.7206777727247156,0.0037737403460701645
APHSOC,0.16943641899053957,8.872329279988626e-4
APHSP.,0.289037564635428,0.0015135095884401908
APOCRA,0.3738318427339954,0.0019575243763066785
ARALEV,0.34131043375122333,0.001787230025857473
ARCCAJ,0.35479264655210196,0.0018578279717447453
ARCL-N,0.16464436539687272,8.621399298915672e-4
ARCNOT,5.638715278804928e-16,2.952643768542672e-18
ARCOPO,0.4294965581672839,0.002249005798980381
ARCPAR,3.8314393164818407e-7,2.0062859823553914e-9
ARCPOD,0.5331527728059843,0.0027917887931388427
ARCSP.,9.167248990869606e-17,4.800316963921428e-19
ARCTI.,0.10192487759058565,5.337170610627114e-4
ARGGOE,0.35500353037458604,0.001858932238893478
ARGLAO,0.38302063077096615,0.0020056403325064945
ARGPAP,0.4882739218069811,0.0025567862204080444
ARGSP.,0.5844888019193365,0.0030606035833323103
ARIAGE,0.19359394412307476,0.001013730831367217
ARIART,0.7284764336759558,0.0038145770730941557
ARIMEL,0.561621076419098,0.0029408595567934604
ATORUB,0.4108114733536282,0.002151163654960255
AUTGAM,0.4058443219419843,0.002125153778706835
AXYPUT,0.36792597554490325,0.001926599030564786
BENBIC,0.5749611508280051,0.0030107132125072192
BISBET,0.27398899417542255,0.0014347096036968086
BISSTR,0.11820748284253635,6.189789169211293e-4
BOLAQU,0.5842238768889234,0.0030592163360578816
BOLDIA,0.422450585972842,0.0022121104338757736
BOLEUN,0.2790408353595664,0.001461162947507406
BOLEUP,0.22167175622002874,0.0011607568343186445
BOLSEL,0.48667448980117356,0.00254841099181137
BOLTIT,0.4882726330415602,0.0025567794719467355
BRANUB,1.3210185728742643e-7,6.917350964656266e-10
BREDAP,0.3629982492109418,0.0019007955988722062
BREINO,0.6356227468819116,0.0033283601847735344
BUCTHO,0.3884785505932355,0.0020342200570636184
BUPPIN,0.262470909657521,0.0013743965735192366
CABEXA,0.6749413966146979,0.0035342474487703585
CABPUS,0.3828656441824354,0.002004828764335012
CALABI,0.42516420296164514,0.0022263199548322905
CALDOM,0.482491396350052,0.0025265067384469342
CALLUN,0.4466465475321792,0.002338809604856466
CALMI,0.20877832832390794,0.0010932419880277996
CALPHA,0.26469963958162185,0.0013860670431152038
CALPOP,0.28687306144013625,0.0015021754341948226
CALPUD,0.05799528490152397,3.0368516249260633e-4
CALRUB,0.05609517387097966,2.9373546523627506e-4
CALSP.,0.00217185182828776,1.1372634456462526e-5
CALSTI,0.0900364915122714,4.7146499239716314e-4
CAMBIL,0.5646131507107477,0.0029565271851013904
CAMOHR,0.4402905053908104,0.002305526973453086
CANHIR,0.005435436403184797,2.8461992903771864e-5
CARFLO,0.5470891016079843,0.002864764661504213
CARMOR,0.7856158488167186,0.004113780579055364
CARPAL,0.15585142307832564,8.160967710152856e-4
CARSIL,0.14127031088851452,7.397445738978032e-4
CARSP.,0.0016392902152719182,8.583941198714766e-6
CATFAL,0.3169350119429396,0.001659591133398477
CATFRA,0.05064449606352953,2.651936625973016e-4
CATFUL,0.25656916294708604,0.001343492804156056
CATNUP,0.17279736854162714,9.048321261454805e-4
CATPRO,0.4330977076689385,0.002267862774567743
CATSPO,0.3484119394111922,0.0018244161851107942
CAUFIB,0.005352768604357016,2.8029113162555846e-5
CAURUF,0.0011236261122691642,5.88372966983097e-6
CELARG,0.35804247558032315,0.0018748453009670145
CELHAW,0.01983785573741215,1.038784869037273e-4
CELLAC,0.41729411717101067,0.0021851092204386606
CELRIV,0.6302044431421894,0.0032999879049506863
CELRUF,0.017069629737994883,8.938301259272517e-5
CELSID,0.06432392002458515,3.3682428042204935e-4
CELSTR,0.09643263193334055,5.049575935007896e-4
CEPADV,0.1468746026078674,7.690907568562546e-4
CERERM,0.5356226967717234,0.0028047222456109443
CERGRA,0.06999076196896302,3.664979999256342e-4
CERPIS,0.13205023807749736,6.914647988339887e-4
CERRUB,0.32404496972844626,0.0016968215511656017
CERVIN,0.5543957805535495,0.0029030251853835775
CHATRI,0.42346387841608585,0.0022174164148844287
CHICLA,0.32618025843491927,0.00170800272734044
CHLCLO,0.4232397290347504,0.0022162426842715164
CHLSIT,0.4135181018388379,0.0021653365814789144
CHLVIR,0.1434335357971567,7.51072034552657e-4
