x,y
632150,276450
648750,220150
606550,329450
667350,203850
395750,390750
697050,368550
593250,349950
681650,372850
381350,377450
436850,352050
659250,204950
399450,387850
555050,288750
579450,364350
565450,367150
469750,310450
401450,386950
399950,390850
658550,190050
620550,302850
681850,372750
702450,249450
571150,342550
519950,333150
496650,246850
556250,353150
538150,358150
524150,413850
591650,396050
338650,289250
632950,251850
725050,322950
593950,305850
472350,310750
449650,321350
470050,305250
517050,302350
472250,304150
584950,270350
567650,370450
542450,306750
698150,364150
494950,247450
584250,351650
568350,369850
641250,281550
645350,263150
648650,270550
501350,324850
625450,306150
517750,302550
585050,342950
568050,347150
570050,372350
672150,198750
577050,363350
379750,381050
573450,366750
652550,347450
468050,305450
642450,377750
584950,359450
503750,325350
709550,279450
453250,263250
586250,269850
375450,285950
397150,390550
569650,365450
520550,399850
580950,366150
628050,214150
568950,370550
660850,327850
570950,368950
681550,373350
366150,271650
660850,241550
672750,194150
574250,422950
340250,285150
534350,358450
529550,242650
430850,368050
373450,285050
672650,201450
601150,308250
396950,388350
712150,296950
447450,316350
500750,252250
500850,252950
358550,373850
578650,366150
398450,374650
695950,366550
724450,326350
398150,389250
603650,255150
578850,368450
570650,342850
641050,311350
497150,244850
531950,359950
653950,205850
321850,303150
644950,240550
484750,284350
515950,300650
648750,238450
576150,364550
634550,240550
514950,333450
430350,366150
658250,203850
422850,340650
578550,366050
600850,304550
451350,315850
523650,372950
554450,296550
679750,357350
609450,285650
599150,305250
584250,343550
585550,270950
520850,402150
436350,300350
730950,237450
501150,324750
685150,190750
653650,205450
468950,311350
463150,249350
580050,278350
693950,299850
543350,331950
677250,199650
584050,352050
451950,312850
421450,272250
615850,356050
434950,352450
515750,300650
377050,283150
592250,351850
753150,235750
497950,250550
654550,344950
396850,389650
521150,301950
449350,312950
610150,367150
580550,364650
452050,334150
641350,218350
499150,244850
640550,222450
517750,297750
675150,198150
677250,190550
731750,233750
569950,418450
568950,368350
317450,218450
468250,308350
635850,216550
496450,285050
571750,346850
725250,323850
604250,259650
649650,181350
399850,390050
696150,253950
367150,263550
466650,305550
391750,326850
646150,377650
577450,365950
643150,221750
561650,411550
567350,363850
572750,370550
560850,249350
586250,361850
515350,299550
706050,300050
691750,299650
574150,365150
620050,303050
589350,356450
577350,363550
579450,367750
659550,185150
707250,291850
385650,275450
530550,413150
525650,402750
513750,301050
362350,311750
542250,331150
486150,249450
653050,204550
400250,391050
676850,190050
569350,369050
393850,329450
661950,266150
582950,397350
488150,245250
501450,249850
512850,300050
633250,249950
671450,260050
661350,192850
588550,344450
587950,318650
384250,278250
681150,196050
569850,369150
494450,247150
584350,404750
579150,367150
537450,359250
721950,333150
696650,325150
690550,316050
608550,262550
545250,310050
578250,365650
569150,368950
574850,364350
577250,363850
465950,307950
485350,284650
593550,350850
695850,363350
401550,387050
430350,364350
530550,242750
392750,327750
545950,307450
660850,208350
575050,366850
576550,365350
366650,267250
679350,255950
629850,306950
430050,364650
492750,247050
709450,287850
575550,280250
451550,334350
491850,246550
575250,367050
697450,365650
701650,237750
570950,368550
570350,370050
620450,325750
417550,267750
495750,247850
334150,263650
656650,191850
522050,400450
566750,421750
687850,343250
448850,317250
564250,346650
396350,385950
755450,233950
578250,362550
672350,198350
674150,281950
680850,292650
494150,245850
527450,402850
571350,343250
526150,290450
629650,308550
515150,333350
471250,308750
587850,318150
532450,265350
508150,325750
598750,307750
398750,389850
675550,290250
450350,332750
466750,307850
578250,362850
553750,288250
399450,389150
465050,263150
467250,312350
576650,366450
398250,389850
486250,250350
517650,299950
518150,333450
518350,332750
598550,308050
487350,285250
446550,330450
741350,287350
582150,383550
690150,344350
620050,303950
620250,303050
446550,315850
353150,340250
570150,370450
555750,352650
579850,365750
585150,354350
598250,306850
536750,356350
521350,402250
697050,259750
677950,289450
512150,330750
322750,276050
520450,302450
599950,305450
497150,247750
649250,178350
526850,410750
400550,388550
457150,272150
450750,327250
569650,370050
512450,299650
401950,388150
541050,314950
583150,353450
577150,365050
511250,329750
553850,288250
508450,326150
520650,402950
574850,366450
590650,349650
339650,319450
470350,307150
652750,204750
376950,378550
543550,324450
365850,272250
496650,247450
582250,384250
558950,297950
343150,288650
652150,347550
530750,415150
465650,310350
572150,372250
571950,364350
401050,387150
601950,299650
525250,240650
588450,321050
579750,362750
495950,248150
501650,252450
495550,246750
498550,244550
567550,367350
451250,315850
580950,364550
679250,186550
468850,308650
582050,267950
657250,189350
524250,241750
676050,290550
434050,300950
321650,275950
512750,247250
566250,255850
738550,294150
527050,353050
336850,291350
578450,365750
659050,325050
600450,330750
398250,390250
571250,371550
402850,390450
657250,203550
352250,337150
360350,290850
321350,293650
637350,234550
492150,253050
367650,266450
552750,290450
685750,350250
527650,368450
578850,362950
571450,344050
570050,369950
716350,301950
571050,412150
587250,342850
608450,284450
623550,309650
448250,317750
581950,407250
566950,270150
570050,368650
512250,323850
559850,381550
580450,365550
657350,349750
398250,388250
656350,204750
565250,270650
652950,349150
371650,384550
488350,284150
470450,311850
693550,294250
673750,273350
501450,245050
721450,363050
611350,283950
722650,233150
566950,420250
448550,323150
661250,286050
471450,308850
578950,365750
557250,284650
611450,284450
538850,355150
467350,272150
501050,250850
504450,323250
673450,358650
580550,364950
640350,214550
618350,355450
721750,248350
399550,388450
427650,334350
524550,355350
399550,390250
680450,196750
466250,311750
471650,312050
493850,248950
516750,301050
571150,370550
414350,323050
531750,358550
489250,244050
490750,250750
447850,316350
341750,269550
679550,189950
582550,353050
567750,371250
421750,324050
437950,297250
647350,236850
551250,312550
749250,245950
583750,404750
535450,312750
568250,369150
586650,362050
591450,307150
479650,288550
466150,247250
430650,366550
591550,238250
368750,271650
495650,248350
583050,356250
580450,363750
698550,363650
523250,374550
422550,325750
419050,294750
627450,308750
577350,364350
579050,362950
437650,269150
513750,298950
648950,239150
448450,297350
584450,362050
527850,377850
594850,351550
626650,308150
522050,300350
616750,352850
577350,365050
530450,242950
725550,230450
628050,302850
469950,310550
476150,266150
563450,264550
501350,323750
375650,284550
461350,299950
601350,305550
336450,292550
399850,388250
542850,346950
447550,317050
654750,209250
579050,364650
320550,274950
567650,349850
384950,343650
561350,369350
530450,352550
569250,367750
584350,352250
390250,321550
447850,342750
522050,411250
571450,418850
430350,370150
569450,370250
537650,359850
514650,300350
562250,347250
559150,362050
568850,271650
648750,263550
610950,286850
579050,365650
579150,363250
465450,246250
659550,215050
582450,352250
561450,367450
496350,243150
637550,252550
609950,295650
466350,308750
682850,372950
366450,271750
582150,353650
658350,208550
682450,372450
672550,199850
673950,183550
523650,372150
527150,291350
540650,315250
448450,344450
654050,350650
464250,259750
393350,327550
501450,324750
450850,337850
413550,324050
500850,252750
567950,342750
395050,390750
514850,333050
492550,245550
577350,366050
500550,253050
578650,363050
640550,251050
609150,324750
537350,357950
706450,287650
529250,292650
463750,260150
469150,312050
423350,337950
566750,368250
571050,351750
510150,326950
599250,304650
575450,368850
543150,311150
429850,368650
619650,330850
598250,305550
610450,287050
604250,362750
631450,306150
428850,337750
569150,367950
380550,367850
656050,324850
491950,247050
561550,302050
588750,354150
692650,261750
575650,365550
520950,403250
397850,390150
461250,297750
550850,312150
469350,306450
527750,409050
708850,293150
566850,386050
656350,191150
365050,270650
446550,345650
650050,271650
527050,241350
457850,270950
378450,284750
535350,358550
679450,199450
725250,232850
557450,250350
632750,281150
368550,263550
451550,334050
554350,301950
724350,325550
513650,297350
432250,369750
418750,325650
607650,287150
462350,298650
448750,345650
569550,368350
399750,391250
449450,320850
471250,310350
583050,352550
569550,369650
513450,298650
374050,366250
493950,246550
608750,412350
578050,366650
611150,285050
397250,389750
674350,198950
553550,364050
530050,238850
686350,320250
666850,191450
622450,327250
415250,323350
632750,304350
628150,304050
569150,368250
563050,371950
500150,252950
591750,310750
560950,243150
449750,348350
654050,348450
492350,290650
581350,362850
653550,203750
375050,288650
470450,308450
471850,310950
582350,362250
584550,348350
592450,317250
569150,345550
459750,292850
451150,334750
610150,364650
579450,364650
535450,358250
521050,301050
401250,390050
430650,371350
520450,245550
576650,364050
499550,252450
337050,270450
648750,342450
518350,334650
560950,251250
523550,371950
495150,248150
569350,366950
561350,293250
495250,247750
678950,195950
400250,390550
514650,300450
650950,237150
518550,334850
459250,272650
471750,308850
676250,199050
645350,374950
674650,304450
582050,359450
449650,316250
582050,383150
400850,328650
560750,356650
588850,357250
579550,365350
709750,291250
469550,306850
652550,222550
565850,345650
452750,294050
500850,250550
668050,185350
608850,283550
450250,345150
374750,380750
582950,386050
449050,331250
572550,367650
450550,336650
565850,343250
522550,402950
654450,203650
362350,309450
479450,286150
594950,352150
724250,327950
525550,402650
701750,279550
635950,279350
577350,365250
317550,274650
560950,376950
470550,311450
570450,371650
654750,204650
596550,311850
643750,218650
568850,345650
320250,294950
564650,343650
515150,301650
488850,252550
644050,190950
710250,288050
636950,273050
525250,353950
563250,372350
430050,367850
532550,241250
501950,253050
536950,319450
676550,195250
577050,236950
676850,286550
544650,304350
565250,345550
559050,360750
552350,252550
468550,308550
611050,292750
398750,385850
548650,303250
576250,363950
654050,350150
571150,369050
577550,362650
628850,303150
599250,305050
708450,273050
465550,305050
579150,369050
578850,365750
568950,390750
399450,388250
536850,356650
574050,371450
656050,346950
442950,341550
593750,305550
341250,289850
724950,326550
569450,371350
647450,238950
413050,326450
567450,348250
535950,360250
649550,220650
679150,188150
644050,218150
653550,203450
497750,243550
489250,282950
456550,300250
448950,338550
687450,320050
353550,362350
558250,251250
601050,305950
472250,310350
611250,261150
395250,391950
515650,296550
512950,300450
574650,240250
470750,312650
477050,265950
543550,307650
608250,292450
470150,309150
648150,216450
665850,204450
658350,349450
701850,250650
529450,369350
612150,376050
574250,363750
707550,274650
709950,273350
570250,371250
696650,366550
522850,407950
606150,288550
571050,371550
543950,281450
584050,345450
529150,240450
687050,340750
566950,369550
482650,282950
617850,354250
573550,422350
515650,299750
681050,191150
569850,371850
575250,364450
568250,369350
470250,307050
561550,374150
570050,366050
541250,318450
518750,334250
583750,359150
645250,190850
589950,308550
599650,311050
398050,387650
551750,332450
501550,250850
600450,307850
755050,233450
647750,378750
577250,366550
583050,269450
666350,269250
582850,343450
569150,371050
587950,408550
587250,387150
706750,274350
567750,368850
466450,311450
575350,366250
577150,366850
583050,385750
568250,366650
577350,363250
608350,327450
727750,230150
526250,363350
645450,192150
367450,272850
529350,239550
587850,399150
678850,222350
724450,327150
493750,245150
677950,183550
376750,381250
532150,321150
448650,334950
579050,366450
627950,310050
580050,367850
578550,364350
378950,292150
421850,297050
598650,306750
535750,320450
336350,264750
470950,308250
584450,352550
649450,268550
517150,333850
555750,359050
679050,292350
398850,388950
590650,344250
632050,278650
569450,368550
390050,315750
561150,358550
388250,282550
471350,310350
735850,262250
577550,422850
360450,360350
501950,247950
654250,350750
516350,300750
399550,390950
400650,373150
