x,y
522250,327050
495050,311550
525450,308550
756850,248350
416450,380250
502350,253150
529550,345650
619050,408250
680250,272750
611050,389550
726050,317750
583850,246250
514250,311150
667150,194650
523250,320350
615250,413650
607550,391050
526650,324550
512450,321350
575250,350150
491150,315650
526350,400750
617850,284750
581350,340750
551350,342350
639450,207050
535950,412350
651350,294450
560550,320050
514250,270050
509350,259050
628150,300250
532950,296250
530950,299850
473950,276750
668250,330650
366550,252950
401850,393050
536150,299350
582150,363450
628150,302350
631450,300550
670650,201150
352650,359150
439950,359950
611550,399750
402350,278750
409450,329250
504250,312750
489750,281550
585650,338750
697050,309950
459450,314250
667150,338250
373350,302950
637250,346250
615850,388350
321850,235750
440050,289650
487350,300450
743050,273150
576850,350550
682350,200150
540950,337450
536450,298150
621650,395650
652750,225450
559050,340350
727650,277350
549750,395950
707650,270650
584550,417350
574650,348750
531250,323250
620750,392150
508450,307350
476050,312250
505650,318450
573850,404350
631750,338050
562150,377650
521750,312850
501950,315950
525850,323750
665650,198050
615850,385950
708750,317650
615650,386750
542950,336550
562550,336250
531950,323350
530550,325050
512750,329650
526250,320550
513550,314350
457750,323050
672250,350550
612550,409950
405850,394450
732750,308350
545250,337550
578050,407750
683250,311550
534150,298250
586050,339650
570350,333250
538550,339550
582850,341050
634350,289450
320750,270750
623650,392150
611950,390150
526950,351250
334550,253750
569850,374150
565350,341250
504050,310450
544950,392150
661550,194450
648450,205250
684550,206450
470350,315850
516150,303950
580850,375150
512150,308850
327450,264350
315250,257350
655950,200650
615050,364550
666050,274850
629850,229650
561250,412750
405850,398150
384250,358050
615050,365650
621450,396350
541450,292250
472750,315250
639150,208850
469050,312950
565750,278150
494450,258150
506050,302450
504050,250150
529850,342550
382150,383650
484450,310250
579650,353350
538750,287150
621850,392150
456750,316350
463450,298550
589650,379250
529750,317950
614350,397650
584650,340150
479050,311850
571250,339950
423450,274550
620050,403550
573450,308450
367850,324450
396050,272950
524850,349750
425950,343850
508150,276050
630550,395550
533650,299350
649950,200850
636150,342750
545550,407450
623850,396250
511650,318150
542750,339450
529150,309850
572950,263150
513950,309750
620750,399750
612150,409150
583650,339650
529950,309250
580950,352250
424650,317350
473050,311250
666850,339650
427350,354450
619850,371850
615150,368550
554550,337650
620150,405050
539550,338450
602150,387650
496150,302250
678250,320350
521950,318550
519550,324850
648750,227250
585050,278650
679650,296150
574950,416150
503350,313750
524650,341250
540750,335550
526650,325650
510650,305050
628850,367750
505750,311150
487150,303150
501950,318750
512150,303550
485250,312650
717250,311650
514150,314750
523350,393350
610450,390950
525750,320950
621050,395850
513450,327950
512450,326650
523150,308450
508550,311850
514450,326950
462050,292450
324550,232850
512450,315050
693650,304950
459950,274550
509750,300750
705350,257550
593950,354750
473750,256950
525150,308450
745250,278750
576750,416350
545650,299650
551750,334450
529150,320850
595750,357650
544850,289350
590250,378050
523050,301850
516550,265950
598850,229050
397350,318050
525050,310750
543650,333250
754150,266650
610650,307550
520250,324850
406250,376250
570850,244550
452950,334750
577650,404150
628250,274850
521950,322450
620550,286050
599850,391850
539950,338950
576350,271750
618550,314450
509350,305850
740050,286850
335250,255750
381950,310150
609850,393450
496150,276450
541350,340850
536550,296350
560350,430250
503750,313550
677650,209350
654250,224650
426750,320050
428050,331950
609250,388450
540850,337850
614950,365050
480450,297350
609550,393050
604650,277250
507650,313350
408250,374650
375150,301750
414750,394150
503750,249750
483750,302050
524250,386350
581450,382550
526950,342650
400250,277750
689750,223850
680550,371450
530550,320350
565050,275950
715250,226150
617950,408750
542150,415150
518550,263250
516050,330750
391450,304150
582850,413050
549750,253950
622250,394250
658050,200750
667850,326650
524650,349750
573550,372650
528250,341850
554650,339150
525350,319750
448750,259750
654650,361050
677950,239750
539050,340550
638850,289450
536450,262550
466750,317750
360450,368050
415050,379950
724850,233250
438350,356050
703950,267550
523850,300250
377750,317450
716150,229750
462850,296450
490050,306450
620950,393250
682950,367650
623250,336850
569350,279550
717250,244950
648150,198450
668450,328550
539550,374050
584250,362450
408850,385850
720650,290850
652550,226550
734350,266250
391150,287850
523950,323750
318950,235150
697650,304650
528950,346150
645850,210050
738750,276650
648450,199150
516250,331750
325350,268450
663050,197650
615950,393450
524950,320850
634650,354850
462950,314650
707750,311250
316750,228950
522450,321450
598450,389050
414650,395550
527250,323450
646550,198150
418650,343150
706750,270350
537650,325850
530350,338850
341550,295150
527050,400150
502350,310050
512950,304150
494250,315550
708050,272050
601750,305750
318050,237450
667350,321050
542650,301050
619250,395550
575250,354050
533450,284750
510050,307450
518550,313350
476050,307950
581050,343350
546250,302550
569450,337050
552250,336550
326150,269350
601050,253350
525150,400650
329750,259450
496050,303750
693950,194450
534250,412650
651750,229650
584350,252650
660550,199850
323850,270650
677050,236850
522850,325650
485650,310750
622450,403850
685950,358750
719150,307750
456650,311650
426050,318950
450650,304650
611950,412950
670450,322450
601750,391050
528750,322850
614050,366050
600050,390550
513150,304250
524050,321050
499850,312950
649950,294850
616150,391350
392950,297650
738350,288650
527350,342250
619650,403550
356150,266350
528650,327250
531950,306950
328250,244150
487350,293550
573650,355150
639050,314350
337750,241350
510950,304950
424950,320050
547050,264150
507350,249150
455250,277550
524150,302050
459450,313650
577950,305850
525950,326750
330750,262450
617250,364250
504050,309950
360950,366950
525650,312750
470250,316250
698050,310050
484050,295850
485550,304350
658750,270650
515950,313750
333050,260550
647750,196850
697550,351350
505250,298650
613650,403350
509950,298050
545050,337850
578950,383050
527150,311650
625850,296250
544050,288050
705450,366950
347150,285850
501850,311150
718350,248350
683450,369750
709250,335050
614450,389950
403050,396750
577450,419550
517350,329350
368050,274650
426450,321850
573450,346850
474750,308350
517450,306050
513450,307450
327050,269450
630850,351150
469350,289150
610550,401550
516050,266350
615450,386950
620050,283650
552850,335850
575750,373850
729550,289250
491150,271150
526850,344450
629250,302350
514050,315050
396550,333950
687050,369350
611550,407350
626750,301950
542350,339450
522550,307650
477150,294950
562150,321550
457950,315150
425250,326150
578950,383550
431550,301050
476550,308350
554250,351850
625050,224950
478950,281250
446450,356750
562250,374050
693550,305850
493350,315050
607750,275250
615250,340350
524050,309450
602550,388150
457150,320950
317350,234050
646050,198050
538350,296250
576250,353450
506850,312750
589350,376350
680650,369050
397350,392650
660950,197050
577550,396950
331350,243050
629950,226950
397550,304050
407150,279550
522750,323950
408250,325650
660750,194950
624250,376750
407650,394450
420550,379850
521750,321750
460650,315950
496450,300850
574250,352550
582050,341050
577150,359750
337750,240750
716250,331250
430550,283850
507550,316450
691450,305850
483550,302050
409750,325950
425250,321650
573050,308450
428350,324750
582150,364350
486850,311050
432750,369850
581650,338550
358250,321650
618250,412450
652350,225850
623150,402850
464750,318650
603650,315650
542950,334850
401150,277350
489950,314350
363950,361550
618650,414150
561050,346750
539250,301350
526950,317250
551650,337950
507250,311350
528850,313550
614350,401650
664550,195750
685050,303150
519150,311650
400950,279050
704650,272950
605550,242850
668250,195450
392550,387350
525750,323950
574650,322550
506050,251450
579750,349950
544950,413350
707150,188750
538550,373450
706250,270950
519350,314450
512350,308450
577650,352450
503850,314450
565250,340750
337450,253450
641150,289450
364650,367850
540950,333050
524350,340750
336550,252950
667650,374250
754950,232450
584550,363250
596350,352650
669050,337850
659850,201950
515850,304650
580250,348950
661650,339550
574550,418550
352050,363550
522550,327950
630050,229250
566650,273350
389050,362050
514950,316150
526150,319450
609850,404050
572350,263050
327350,239350
463350,300950
517250,316650
502450,297050
419150,365050
332550,257250
491050,282550
651050,227850
513250,327450
517550,324550
368250,275250
515150,316350
469750,294550
485350,304450
505350,249150
578050,355050
667550,345250
540750,333950
578350,354050
648650,200450
517150,328650
574650,418250
577450,354150
574250,341650
357850,320650
610050,407750
536750,303750
469950,295450
586250,340450
602250,388150
584250,365150
629750,369150
514350,307850
588150,365750
468950,317950
387150,354050
662650,354450
514850,309550
510350,295050
507250,251050
672750,240750
407550,328050
516250,313050
503850,312750
528250,323150
580350,362350
540750,340250
583050,369250
527050,322350
