x,y
571196,348806
494458,247327
726308,233096
538048,362302
653771,295180
656071,324022
656145,324050
520800,401001
648893,269165
487578,284719
542323,303677
586992,342985
492945,245797
612364,303903
382227,283231
361554,290415
538824,315373
598991,315886
526867,402562
534298,361205
530152,357299
653778,205622
652760,206007
677515,196410
320912,275122
431954,366580
610463,364436
565062,346296
471692,305725
525766,374498
598406,350301
477518,287730
338556,291855
338408,292013
659342,192391
434692,301231
501133,251231
472090,309565
582778,345945
433121,301633
586318,350478
588134,349067
338373,291783
517952,332819
643294,188002
429419,366050
529263,411854
447019,323435
560888,366549
562090,414310
397749,388643
365726,265079
399225,388838
449203,315727
449215,315624
659065,192338
378909,288056
399449,388892
494494,247517
520996,400219
521233,399260
526279,404133
528203,412721
560038,364816
513753,301005
513805,300825
594003,310639
561482,355772
494314,247387
565259,372342
566213,364070
607279,287495
607146,285838
582220,352126
339349,291195
657287,328550
652599,348906
652419,348707
621509,358857
529762,353706
642639,221271
519826,302600
585806,269686
398145,388385
654545,295450
496733,248506
555020,364406
619519,304822
526238,292011
706065,273774
705932,273775
705750,273794
399704,389032
577486,364883
708904,274634
709039,274671
709110,274595
707850,274642
449030,315892
583682,355100
494607,247376
578735,364999
546910,307450
562676,351588
679564,285807
730582,232560
730477,232544
701186,250516
606349,322675
647053,239021
575790,365083
583331,355261
338725,263522
724879,324733
577808,365048
577404,365055
532126,368491
578036,365030
516272,300616
443174,323167
579436,365467
577752,365225
701450,250664
516089,301786
589068,345755
559409,369182
652466,205868
578662,364937
642544,189778
706451,247924
723786,232759
746899,240732
446994,314421
574703,365157
709202,290468
697239,365714
515792,300627
578255,364797
581768,362942
532060,368497
619481,328400
449176,315625
398577,388564
623215,223048
576961,369180
642972,382004
610498,297294
532075,368570
568835,370563
579384,365034
526108,240075
468814,311802
619668,304799
576824,365083
521602,302265
570499,370114
568822,370753
495882,243650
425022,337899
449115,315830
501623,252947
568890,370325
572092,372261
595647,307280
706148,290962
705953,290535
579139,422641
575620,367544
445626,328200
531990,368862
577431,364942
526263,240526
577321,362561
582602,351657
449158,315724
655484,190770
655424,190813
468637,310702
576444,239505
569487,368332
754903,233527
547848,282747
576674,365324
579171,431947
