x,y
523006,326555
672018,345813
577712,355071
655257,200288
739697,271500
594918,352849
415084,317265
577549,351052
476771,307737
622116,339041
595451,352886
685153,259578
688006,225406
534338,330029
476579,280585
328060,223401
431667,302454
640225,207475
641464,206002
613493,351414
614190,351362
639060,332135
652641,225452
594484,282303
531410,298093
673944,345070
463440,298569
663633,195199
663880,194792
360116,262070
620583,285021
574353,354055
663991,197113
694885,205311
500279,257767
514701,279128
683138,371292
603113,384610
326505,258507
688454,194819
574870,354117
319909,271172
328085,301477
337193,256182
332994,260564
496473,277500
334493,253015
636093,314625
635249,314683
423547,280072
649435,225820
418747,279257
564368,327274
683902,368811
675123,345249
683074,371509
575882,357466
574868,360464
575229,418733
660797,379689
545569,315352
397825,305816
538731,299509
580061,420232
327262,264077
526057,401928
429769,322755
425999,320995
711245,203911
684980,367627
352868,313368
419614,381326
577632,350332
574917,413194
682525,368052
577589,419905
562752,428686
685784,226324
327241,262052
600731,340527
618639,337934
675146,345069
319686,228360
452702,332508
406184,386959
333770,261278
462900,290739
559104,308659
663874,276674
674399,344860
497542,317219
450930,264537
510570,299538
369516,321889
521477,326832
574371,354170
693648,271509
572489,313669
615687,338370
545992,320130
442445,312722
432015,310270
427821,313178
424675,307526
359515,272872
352291,276112
320741,270386
323077,255275
646995,383419
680873,294065
580657,345896
584118,370815
506162,301863
645139,303141
428372,290036
587525,340948
495889,304355
637891,344751
458859,314584
459387,315224
461980,302936
579212,347533
640125,190167
572413,419156
663987,242531
708798,361279
671326,313982
592553,338170
723156,301787
425399,320039
519457,304207
358074,367116
719647,304391
416675,320058
595497,282771
400244,393758
522001,324624
649258,343119
402915,394034
518579,331096
577462,404408
576003,402406
352411,361769
357204,319087
349714,319895
718845,223284
516275,327989
575221,341137
581301,408581
512327,326162
512719,326177
577822,353989
650850,227425
652708,225948
398508,318947
577920,354155
407264,327831
584025,364724
567798,406456
576071,419705
512236,305635
580201,352256
581039,354640
581099,354568
613958,351190
437427,279384
462224,260809
461246,261772
425965,321006
506708,292152
463283,299763
474685,310395
595035,368441
594813,362615
669357,198376
478309,280883
661640,355386
728997,288637
627830,372843
516308,312302
581684,339704
526561,323260
610194,342365
581807,339952
669210,241324
581652,339633
699722,270357
729607,264596
518473,331656
629299,302438
356764,253038
572508,313555
734601,264042
620395,285197
527310,331883
527830,334688
730716,274626
521204,414009
576395,419591
568410,316594
541263,334534
480691,274391
493158,305318
723366,221706
551150,335374
447944,284178
474954,295448
408390,282050
453512,334421
497926,314726
629758,302010
631019,301987
458813,317338
551976,336024
412898,383904
414617,281872
429038,289473
436179,284660
484561,304564
484249,304682
429096,319381
412464,277198
523324,308276
439643,276433
474705,310424
552075,336519
542079,336723
493081,305082
495296,304712
550427,335697
428296,303655
541251,332333
566371,342055
618972,284848
502734,318876
687318,199810
576549,416450
552950,338417
555581,350725
719907,222472
516887,331027
596654,244552
690963,287794
528924,344235
549110,336170
598365,395339
666148,217387
339101,235858
542639,336429
668261,329591
610453,342293
683797,368794
688051,239042
576437,353219
565607,245203
646752,209628
646205,209519
669382,289037
475784,295409
561340,344292
704191,315357
624795,232179
619581,285018
557151,343853
551902,411726
533170,340683
534942,337326
507585,270246
437072,359891
495016,302245
518074,331172
709382,271209
566403,342006
503919,314846
503700,314501
566403,341991
572492,344370
445819,266932
693618,305323
574802,412788
333806,261357
722755,292832
722903,293195
578673,360765
521851,302833
407774,278855
630922,277041
517467,332320
515913,314548
449314,304261
440533,331645
425516,310824
425851,310260
415149,317295
415060,317131
515516,281999
525803,346658
718947,328845
718771,328991
719499,328073
719299,328040
427031,321272
713834,228994
714104,225811
714665,225989
679874,297288
541835,335522
502839,318749
496201,317304
704180,270942
709387,271173
551195,335936
460262,312450
552055,336212
709485,271236
707791,270775
549346,252639
711398,283356
633361,203824
632301,202709
703871,257475
626099,275806
701301,268787
681789,220929
694974,303551
663871,194635
561462,388466
707965,303691
514103,316490
329798,253492
704099,265685
522832,323351
523294,324580
552871,417049
527900,334717
648427,197528
454353,278275
714273,331680
693605,305287
503098,319124
517234,332292
517513,332336
517592,332180
532253,368221
680166,272403
713727,286517
580965,383986
685717,369276
522396,303127
667874,329022
685705,369360
401155,279269
696693,312762
648611,197181
648519,197670
453394,333453
649886,201029
424432,319604
498008,303267
551140,253106
619983,284848
511873,305905
515181,312843
527988,345001
518853,315890
666051,238394
666039,238549
541713,373761
574675,271647
551272,253139
514491,317232
625530,397356
434499,367089
506068,306158
699799,313538
518217,316289
427565,329097
577588,350943
707241,259997
634247,285946
510996,307034
719912,223474
579198,352867
573822,354346
648553,197763
509407,315695
375606,301517
712016,240202
462981,297834
552020,336447
503699,315867
648525,197362
576594,353147
670209,226219
528855,344285
707203,268017
464076,298877
551619,336186
582954,417647
515728,314378
678905,336031
576859,416263
648539,197296
668219,295314
511642,306451
605691,311971
545638,352613
562121,374970
552141,336724
425982,323166
494319,309990
517202,326004
542721,338072
518636,269507
423008,319911
422924,319867
422841,319788
422876,319544
499376,315216
522085,302961
429389,322628
430417,320477
430476,320514
577752,353884
594308,352953
430197,319420
552088,336620
624262,223459
509827,306165
414425,394284
433262,365945
532683,368864
515693,312355
674766,239628
693400,304818
551018,335434
598340,390526
401165,279301
598276,389350
641370,213108
641117,213218
580855,383831
676263,239101
510652,305669
453499,334428
424802,316525
424836,315120
688234,303649
541049,374517
620340,402871
551397,312715
614421,395379
619972,409737
636908,300110
498178,303250
375099,277866
716981,325788
404988,323478
532280,369095
620582,395020
573731,404193
576356,414468
574730,392772
440037,360776
637127,254252
622329,394575
648679,200532
649887,200753
723497,221749
619578,405786
580989,383728
467959,317586
574085,351732
605827,359607
605839,361297
585659,377464
607868,387899
574865,354086
623029,398340
424792,318290
458260,315847
672255,240097
535185,409899
502795,313915
636869,299762
626098,398279
628345,397074
538592,331238
534909,331931
394694,273053
526391,323159
648385,197534
629560,395675
624038,386629
620456,394298
531856,318969
624894,392498
577810,403942
576567,354127
693583,305354
588450,378134
532877,329961
584833,416921
367798,273595
648648,298848
620531,402497
565071,281624
517433,331996
542616,338198
665353,202507
402090,281908
512517,326172
522901,323286
578933,359048
616186,392231
548239,287768
495023,313016
523078,302794
399233,393713
553078,395381
576849,416314
619167,412962
623944,288504
615013,387816
533034,368354
452881,256962
626121,398196
415926,402094
664315,195835
609922,393011
694165,281438
675789,239025
692229,279888
424310,319567
701474,272224
729753,276657
620596,394960
738033,284192
579684,307219
546760,285142
610253,393194
624774,392266
375213,277931
400254,268678
648711,199944
606880,389697
606974,389737
410753,378548
569856,326928
610504,393551
