sugas,parklajumi,svarots
ABRGRO,0.13094142635599698,8.736029437256966e-4
ABRSYL,0.5710818705290459,0.0038100914056501153
ABRTRI,0.23445100886462902,0.0015641886391763663
ACHFLA,5.340783374370136e-4,3.563214642985538e-6
ACLCRI,0.1749143664599181,0.0011669775539473596
ACLLAT,0.016221877488632457,1.0822762758287216e-4
ACLSP.,0.1938849795208104,0.0012935439422591794
ACLVAR,0.0028526337302962135,1.903193888680175e-5
ACRACE,0.12654761923594496,8.442887462172273e-4
ACRALN,0.14790717087250116,9.867934348069581e-4
ACRAUR,0.2915162263667422,0.0019449110994515211
ACRCUS,0.040386365914743864,2.6944603500485325e-4
ACREUP,0.10758046462303758,7.177454316600201e-4
ACRLEP,0.1080750210017009,7.2104496733992e-4
ACRMEG,0.012312368833451139,8.214452795020142e-5
ACRMEN,1.2804642034715228e-6,8.542883093749575e-9
ACRPSI,0.11280574016014477,7.526069435438461e-4
ACRRUM,0.18027212604790332,0.0012027229607150637
ACRSP.,0.1855343936521165,0.001237831272863845
ACTPOL,0.4207070932697657,0.002806834821911316
ADECRO,0.3014110241568364,0.002010926299663986
ADEREA,0.002118070572339758,1.4131148090476253e-5
ADSSTA,0.1199376797517655,8.001891609910166e-4
AETPUN,0.15564901476106385,0.001038444755547313
AGAZOE,0.08889535659820524,5.930838495420202e-4
AGLIO,0.1510606120734171,0.001007832273260545
AGLPIN,0.23107075628812362,0.0015416365814849905
AGLTAU,0.15068411243870222,0.0010053203776874485
AGLURT,0.26573656651445754,0.0017729167401265087
AGOARE,0.23311990346964898,0.001555307892847071
AGOCIL,0.15723231767633053,0.0010490080900555682
AGOHER,0.03432468271498637,2.290042555419994e-4
AGRAUR,1.6014442056555666e-16,1.0684367897975695e-18
AGRCIR,0.008011308908013,5.3449112629247904e-5
AGRCLA,0.03568773300338536,2.3809812886787967e-4
AGRCON,0.0015384487486526795,1.0264080612197651e-5
AGREXC,0.6052576773252459,0.004038102404554235
AGRHEL,0.00153844436831438,1.0264051387860178e-5
AGRINQ,0.0017274561426106913,1.1525082728508257e-5
AGRIPS,0.0017144251227748939,1.143814357101542e-5
AGRLIT,0.0015387482077331518,1.0266078515699287e-5
AGRLOT,0.0013504314689052955,9.009684248650707e-6
AGRMAC,0.0015748796321845768,1.0507136824289508e-5
AGRMAR,1.2195529570121692e-6,8.1365010518416e-9
AGROPT,0.6902667285027724,0.004605257959665646
AGRSEG,0.0017507517151118574,1.1680503982722065e-5
AGRSTR,9.792145842998378e-4,6.533033640994045e-6
AGRTRI,9.158511547268194e-4,6.1102913497267285e-6
AGRVES,2.1887975554029166e-5,1.4603017859458518e-7
ALCREP,0.39901418707556113,0.002662106089098375
ALLOXY,0.024309935332928027,1.6218878669374296e-4
AMPBER,0.13082322953085312,8.728143690380803e-4
AMPHI.,0.06247840029841959,4.1683763449757187e-4
AMPLIV,0.10399394996783544,6.938172536365e-4
AMPPER,0.02615327541709504,1.744870132262518e-4
AMPPYR,0.1898810759597203,0.001266831067390592
AMPSP.,0.0024304898037608305,1.621551793309534e-5
AMPTRA,0.07301137772022866,4.871105827765355e-4
ANABLA,0.1826491825374272,0.0012185819871854534
ANAFUN,0.041724511783610356,2.7837375331913147e-4
ANAHOR,0.6037339128276901,0.004027936292975532
ANAMYR,0.033582952695369546,2.240556495383861e-4
ANAPRA,0.35785651230519144,0.002387514106737148
ANCBAD,0.18320268229398268,0.0012222747758630693
ANCUNG,0.26652754554653835,0.0017781939211537906
ANGPRU,0.6833927015871482,0.0045593964602467195
ANTCAR,0.048657894523741654,3.2463125745909785e-4
ANTFAB,1.0484219542232182e-4,6.994764995043934e-7
APAILI,0.42194061963551593,0.002815064549464099
APAIRI,0.39033655486152063,0.002604211462029441
APAMON,0.12137792313574194,8.097980440995796e-4
APESYR,0.136695962116079,9.119955252003692e-4
APHHYP,0.3023065023940064,0.00201690066885947
