x,y
585150,355950
577850,425250
488250,306550
383850,258450
467450,312650
584550,364750
620450,390950
605450,237750
471350,312250
435550,347150
615950,388750
684650,309150
662050,241850
450450,319950
614850,387250
572850,366450
615450,390650
653950,223150
714450,224850
614050,366150
483350,250850
486150,304150
585950,364150
467850,246850
713750,240550
398950,385350
698950,302850
469850,311850
462950,295250
593350,293150
638050,259750
493650,304050
655550,198750
615750,354750
581450,339050
470450,309550
701750,269850
380150,265750
565450,275450
449250,330350
492750,248650
567450,366650
496550,278850
653250,349050
369950,267150
568450,274750
362250,255450
541350,360350
527350,350050
589050,351150
576350,346350
583650,357650
487050,251050
639450,301250
653250,228050
441450,349450
573350,415450
605250,308050
591950,223150
693850,306650
616850,363450
369850,272350
470350,307450
587750,362950
471450,312050
653750,227450
493850,300150
574550,339450
649150,200950
511450,305850
617250,392150
586750,364250
585850,363650
628150,220150
399850,386950
498050,251750
452250,321950
470650,304450
475750,262650
697050,299750
573150,410750
573650,413850
614550,387450
469150,290550
583350,359950
449050,313650
476950,313450
463450,295350
648650,290350
510550,308350
526050,348450
618750,392950
674650,345150
651850,224150
417250,376450
561050,311250
729050,231850
352150,263250
488750,285650
449650,322750
652450,228950
709950,280950
700950,259050
614350,387550
491550,311750
587150,357750
520350,409550
575150,343950
449450,314350
592050,358350
493850,311550
617250,391750
652150,228050
615850,366750
573950,421250
548350,302450
592450,363250
671950,238350
612050,354550
381050,368250
516650,307350
464450,298450
465650,298450
517450,300050
577650,340450
526850,341250
696350,196550
468050,309350
647150,294850
516150,299350
471450,309250
656450,191950
753850,247950
572150,360650
437950,346350
716150,332150
691850,256350
513250,306750
619250,386450
588350,357450
471850,313550
573950,272050
619550,392950
695350,302550
446750,245150
526350,349550
517250,300450
568550,368250
489250,306850
673250,226150
614850,392350
675050,294050
515750,300850
545450,318950
655850,325350
631550,393950
514350,311450
483750,307150
590150,356650
595950,352350
656150,194250
472650,314850
650350,225650
667050,237350
724750,298550
649850,198150
620050,358950
465650,290150
691150,254350
522650,412350
574450,340950
465950,307750
571150,367850
450150,330550
592550,322850
617350,351350
517950,325550
655750,185150
511950,305350
465650,301050
584350,365850
462850,298750
451850,322350
611250,392050
627250,373250
655050,225450
481750,312950
463450,274850
592550,306550
475150,265950
752650,243550
586750,366850
717250,190950
652050,228650
603350,238350
690650,211050
584750,356050
650950,226550
593350,353350
517150,331550
516450,306350
575450,342450
575750,342450
327450,256850
614450,363850
437150,349050
653250,223450
584550,364650
513350,299850
498550,303650
513950,304350
566650,241150
651050,348650
647950,295950
684250,304450
639650,287050
517350,325950
547250,299250
495550,248650
599150,281350
471650,314950
517050,301450
674150,345750
397550,356950
646750,287850
703650,268650
602750,308750
614350,365650
605550,306150
652250,227650
717150,225850
513350,310750
621150,369050
512550,324250
618550,363450
581750,340650
440950,360950
468550,296750
470150,308450
400750,385650
604750,316550
511150,306850
737550,280750
619050,396650
538250,314550
464250,300850
466350,310650
651350,348550
470450,306950
704450,191450
580950,344250
517650,309850
571050,363550
652850,198750
448150,316350
589350,356750
451750,321750
332550,257150
710450,289350
512950,324450
379950,286150
618650,368150
445950,326650
540250,319850
717250,222750
650650,197750
583350,354450
511850,300650
369550,273750
512250,303150
585350,364950
570650,367350
592950,358550
656750,324850
611550,352750
512050,329950
510950,306350
343350,320150
651850,227850
614350,366650
583150,343450
512050,300350
521650,412750
728350,233250
614650,364450
664750,380350
651150,288950
512450,312950
468050,311950
449550,315550
671650,343950
512650,301850
448650,317650
484650,304450
583550,363050
546750,299150
693350,303850
332650,256750
493750,311850
692450,304750
649350,199850
632150,390650
397650,387250
618250,394250
582850,342050
716650,239550
471350,311850
707450,286450
617750,395050
617750,366450
489750,290150
606750,316950
610250,402650
585250,363450
572950,414650
570250,422150
584050,358550
703850,257450
513850,299150
389050,289550
474050,314650
344450,346850
580750,338050
728550,228950
574150,342350
357750,369250
691650,305950
723250,221950
469250,311950
511550,327650
559050,327850
398450,386950
538350,322150
648450,197750
510650,306650
539250,320750
617050,393750
384850,261950
587150,351950
593250,282950
561950,404050
715450,332850
568750,367650
336250,254850
583250,340050
631350,258050
610850,261150
482950,304050
595150,287750
617350,392550
469650,305450
469650,295050
445950,357250
538050,397950
610250,399650
597350,339550
573250,413450
536850,374250
619950,392350
435150,346450
390050,286650
554250,300550
619250,393050
654350,225150
471950,315150
525550,347050
469450,312150
450050,316050
636550,274450
469650,310350
694050,312750
513950,323450
586550,365150
497850,301750
462450,298250
393050,303750
496750,300950
651250,227250
416050,402650
595350,280850
606050,258150
651350,348650
416350,401850
365150,316550
516850,299250
623550,241350
654050,198950
659650,249250
649450,226650
540150,388050
650550,191550
594450,281950
514850,300150
596950,284650
338550,256750
397450,387150
650150,196750
582950,341050
315450,228550
611050,401950
703650,269350
631350,389750
403950,386850
542950,314350
466450,307150
692950,305050
578150,343650
730350,233750
636650,250250
667750,226250
510550,326450
470150,307950
554250,296550
581850,339250
601550,354350
596050,284750
615450,391850
618950,238350
486350,303850
547550,301250
675950,238450
616650,392050
450350,320650
333550,253950
516650,331350
587350,366650
653450,227450
492450,310550
513150,305450
497550,307050
636250,200550
566850,421750
641050,352650
494850,257050
511150,306550
513450,306950
616050,393550
618350,392650
719650,188850
481050,310450
443750,329950
627550,371350
573750,420450
320450,226850
681650,310950
335750,253050
572850,415250
542150,318150
638550,252150
446550,318350
516850,329450
684850,310650
451350,319750
361750,315550
554650,395450
670750,343250
662350,380350
337950,253350
584350,364950
713050,216350
653050,229250
604050,312450
486250,310350
610650,399250
587050,328850
651150,225650
573750,413950
582950,339450
573250,416650
652250,224650
557450,250550
615950,355150
573450,414950
652250,197550
317150,227050
587950,227450
579650,341650
638050,250350
694050,307450
561450,431950
495450,311550
494950,248850
497350,256850
524750,347450
512450,305950
595850,283150
498150,311050
589950,307450
368550,252150
630850,391650
575050,338250
452750,318050
485150,307850
651650,224550
451550,320550
471250,312550
463150,293550
437250,256450
620150,394450
558850,287950
594050,356450
602950,305950
619150,395050
513350,303750
583950,364650
616650,394250
657450,226350
335550,255550
513450,326150
649350,195650
521550,412950
604850,315850
498250,254050
696550,261750
650750,348150
653050,223650
387250,356750
452850,331550
484250,311750
558850,299850
596250,254250
465650,293650
470750,311750
452950,325650
335350,251250
463450,301550
582350,343350
575950,271550
693350,304350
606450,237650
572250,361950
633050,256350
723650,220450
426950,255650
710750,287150
607550,312350
515750,329150
647550,295250
653050,225650
624950,374350
510750,308350
573250,412750
654250,201250
653850,225650
616250,391450
580250,340950
440150,252350
698350,195850
677150,236850
711050,280050
617150,368850
674550,316850
565750,360350
513150,301150
670050,342050
616450,364850
541450,373150
331550,254250
447650,357250
711750,277450
572450,270150
570450,367750
442950,341650
581750,341250
631550,274850
633850,253850
690550,306450
682550,215950
345150,343650
648650,227750
494150,309650
720750,333450
629950,253750
587250,278550
656750,347050
581150,342450
489650,312150
346650,343350
518050,302350
558450,251550
613750,366550
573950,272150
584650,357250
614150,388850
469750,311850
475850,266550
464050,291950
578450,350250
481050,312750
653850,226750
337050,252750
449250,319150
704150,257650
481350,311350
595650,353150
512250,323750
562050,285850
498150,281750
629450,226250
585750,366150
603350,305850
636750,259850
513650,324650
546750,298850
582350,341550
595150,278050
580650,347150
578850,348850
671650,347450
743750,236250
579250,343150
566750,367550
341750,321250
512350,295150
540150,374350
515650,323050
573450,412150
329950,255350
568450,362350
620150,392850
334150,254750
483850,310250
514250,307650
509850,308450
607850,304050
662250,302750
511950,325950
650850,196950
586250,365350
626750,304150
584250,363750
649050,226350
615950,390950
654350,198850
495550,280250
611950,389250
496750,312350
649850,226150
526050,343550
616850,391750
443950,355750
718950,223950
332550,255950
448450,247950
374950,369750
665550,296550
437850,359750
583550,353950
469650,310750
613950,391150
442550,270450
514050,299050
583550,354550
604750,311950
651850,224850
694350,304750
630050,393950
657550,195750
580550,340250
617950,394950
462550,301750
640550,291250
518050,329850
666550,242750
605850,306350
370050,273450
734750,279450
509850,306950
468950,294150
544650,404550
511750,312750
517850,302850
651950,227150
694050,306150
572050,368050
481850,311350
489350,312850
599050,359250
559850,304350
380850,355450
399950,385250
713050,190450
576050,426550
635750,248250
496550,300850
655150,226150
583750,367450
759450,243950
657050,201050
592050,356250
655350,327750
566950,366150
449750,315950
547550,414850
650050,225650
509350,295350
614250,362350
713650,332150
468050,312250
637150,257450
511750,312150
510650,309650
630150,307850
651050,293450
654150,225250
513150,307750
542150,373850
468950,309650
491950,254550
570750,368850
335350,253150
594750,340850
376850,271750
515450,286150
702650,270750
615350,392450
690250,255250
351850,358750
606250,305750
584250,360550
608750,402650
527350,343350
