x,y
626250,399650
478550,305150
686850,320250
501250,314650
629450,279050
592950,362650
584550,341950
493450,245150
615550,411350
562850,371150
630250,226450
528650,378150
596150,342950
451350,259850
574250,367550
549450,283850
344250,323850
570350,372750
482450,301450
573050,343150
588350,380750
530450,321050
644550,231250
430950,366650
497850,245750
694250,200250
544750,331650
584750,342550
726150,291950
607150,301150
714550,351950
457550,318750
417050,321250
561450,356350
525550,321950
503650,306150
596550,361550
669450,195050
495450,243250
630650,302750
523750,303250
503050,253250
615550,409950
551650,254950
545950,310150
726450,272550
499450,314950
469550,319350
545350,339350
625350,284550
572350,354150
477050,268050
630450,226650
505450,304550
680650,199650
576950,296250
535750,302250
520650,247250
637050,322350
586550,337350
678150,315350
427750,324650
567150,373850
521750,304750
546250,286850
501950,323150
424750,323050
520450,312950
502450,252450
527450,328450
617050,286650
400550,277350
507150,283850
645350,198750
562250,375150
620550,400250
692850,319350
509850,322150
551250,333950
700750,350250
621750,353350
535550,304950
541950,299550
724150,322950
502150,316150
526550,322250
507950,293350
493450,246750
405050,389150
415350,317850
501650,314250
591750,346950
601050,387650
522950,307350
334650,262050
709750,259550
570550,369850
413750,391850
592350,338750
361850,309450
548350,332350
517550,264450
494950,315650
539250,299150
584350,259450
666950,328050
619150,411450
701650,311050
621250,402050
551450,345250
637050,301950
554350,349050
426750,325950
664750,195450
423850,320250
629350,397150
493450,313250
478350,308350
526950,403450
584250,340550
413650,400450
492650,313350
467650,320450
595550,366250
605550,385450
537850,359550
617950,402950
335350,309750
446750,312850
420450,278550
615950,314850
500350,314150
517150,267950
655450,362150
706650,271750
667550,367050
492550,247050
612150,270450
519450,306750
717250,352750
653850,206850
550150,336650
458150,261350
572250,344050
531050,328050
451950,249450
521750,309950
506050,297050
521150,327350
523650,304850
609450,342650
564550,346150
581150,383550
531150,326950
633450,354350
567950,370250
712350,239550
648150,348750
317750,230050
580850,358750
560450,344950
414450,300250
381650,299450
527150,309450
521550,327150
573450,342450
519050,325750
648150,209850
631250,214550
537350,302850
536650,297550
578550,353050
635050,344650
611650,316350
539050,300550
583150,352750
621050,412250
589350,342150
464950,319950
605050,387750
413450,394350
559650,374650
650450,295750
606250,275950
523050,311450
507350,306450
414350,321550
423450,320450
561950,376250
673350,325250
676050,300550
363450,268150
450050,332650
416650,319450
573350,343650
466850,315250
652450,206950
497050,318350
692650,287450
668150,338850
649450,215650
589750,378650
518850,331950
696050,280950
365150,273650
617750,406150
576050,415650
549950,336250
654650,203150
524250,310750
533950,298050
588750,377950
531250,300050
523850,321950
684050,375350
621450,393050
512050,314050
618450,410750
629650,395850
492750,314850
574850,421550
473750,305150
475050,311150
582750,354650
540950,339650
690050,295750
608050,386650
504550,312850
410650,325350
652050,295750
755050,233250
680750,355650
564050,362750
580250,366450
513450,319850
476350,312250
540450,335250
562150,351650
527150,319250
531950,341650
472550,310150
347850,247250
487650,282650
669450,339050
666350,238450
628850,209850
685650,226050
718850,235050
501250,321250
408550,360350
354750,246550
647550,199750
458850,316550
424350,304250
513050,313350
511250,316550
524350,308050
379650,283250
681050,362650
577050,436750
327450,267150
618450,398550
530950,324350
581450,386150
577150,350750
695850,303850
529950,314950
576050,415350
554450,288750
591350,390250
580850,251650
514250,316450
665450,264050
563550,372950
647750,196350
649350,298750
408650,326150
697450,304950
583450,285250
506150,313950
405050,376650
541850,304350
623550,391350
504650,255050
577050,368450
598050,305050
667850,328950
724250,328450
427750,322650
401250,282050
507850,257950
412950,396850
663450,371150
508650,307450
684650,371850
685050,294450
532650,288450
427550,321750
592550,296050
619350,402450
692950,274050
520250,320050
631050,369450
623650,285250
499750,314050
527750,309250
394750,392950
516450,267050
524950,283950
625650,393150
