x,y
481145,304773
587346,279215
371789,256276
547098,300692
398157,290629
476741,264743
473052,258503
623470,239350
401988,381576
546862,300706
547342,300303
371008,267449
436628,347771
511465,298301
585286,357690
591795,363501
588721,368143
546307,300725
654667,349915
714421,240397
657634,196999
611508,365061
641348,303219
644670,302936
540530,360253
452908,326057
564650,295637
656742,192558
615754,354178
594673,282194
520265,409948
542500,391206
332509,255626
447303,357172
384209,365090
337193,256182
335373,253147
651497,224897
537760,320587
539379,315360
584074,364644
560859,309355
703635,270436
487951,252106
491200,252300
493770,255419
487613,255883
492006,311160
395847,299414
496203,277494
578577,350175
517100,296951
569562,365070
462674,292458
603066,309496
604519,310154
674378,344860
546299,300723
548943,301542
674425,344865
510224,298690
618263,280804
373082,321044
567903,406515
471591,309726
496632,301296
581009,343434
582523,346895
446361,318928
470487,310472
474910,313158
324414,255473
584318,364137
595440,352910
586318,350478
636535,250292
579080,348024
569953,360417
469385,296708
345148,341630
526137,292122
654876,348219
513288,304911
513402,304847
730786,235368
331696,255595
675777,281284
381932,367601
513052,325939
652707,225949
584879,362294
573311,409751
432612,369642
463291,299751
492623,307554
517591,327146
598174,285234
513496,304335
581586,339152
444415,325847
468645,310734
595460,352846
496366,302129
493198,305308
694719,324183
723351,221699
484249,304682
741095,276056
542067,315129
639942,286685
539505,315401
540831,315879
522370,388448
496998,302047
495310,304705
488384,304812
692285,305055
401630,387120
659780,241513
491980,309172
517096,301778
448557,315807
693579,305366
450145,314008
449231,315686
449060,315681
518368,293253
526238,292011
382987,366855
449116,315807
449012,315965
711804,278112
711953,278058
712017,277989
449028,316011
449193,315732
491084,308590
583656,355123
416393,401687
496694,249111
405416,367781
692489,307526
524805,349929
678645,189546
624175,223665
587254,235774
618369,365266
492732,306137
516968,325779
574682,271656
693422,305447
527232,347998
512878,304968
481331,312703
648410,197518
715279,332340
583668,355097
583331,355261
648449,197683
723609,300269
717651,270849
416283,401798
693459,305385
516519,329460
512735,312507
512001,306200
649886,201029
709395,287469
648584,197413
542792,371102
515164,312880
704438,332240
748793,232162
513983,300376
693397,305391
648646,197135
648460,197431
511832,305935
512013,305728
620098,394078
620327,394284
693911,305524
648794,197257
471144,309861
512991,312280
516720,331112
619958,284806
515667,300548
494094,310765
448339,247756
416036,400443
594322,352981
509789,306479
633751,389115
569505,368267
693389,304885
610817,401375
698329,303185
532059,238532
620820,308526
615637,388592
668375,378559
613295,388037
374857,338668
410143,359246
434793,365927
573231,366008
611721,391193
566424,396641
632154,392224
451082,329295
450687,321449
451319,321511
462874,297829
674106,221502
512372,326182
577462,343183
584912,330581
611136,400637
371024,273670
468222,308721
468739,310681
467535,308220
553083,395376
587873,326597
547458,413394
491410,312750
617713,392314
