x,y
544939,262783
528289,377875
518685,302605
653686,236117
657677,214423
482485,297521
659635,207592
658431,204025
503758,315224
502305,319468
531951,256627
520791,326593
639187,255091
641615,238551
407969,342896
532417,307075
534214,307667
535885,301235
467567,265839
548170,259997
610195,228323
410248,327906
427185,315547
538047,298802
417562,319589
428118,322601
429231,322581
436196,314358
630457,368736
629427,368007
528532,304103
630109,367301
630936,367428
629948,367272
631840,370006
534862,358093
540321,350347
533638,351960
363391,262050
495236,247527
421035,320762
682862,351662
683047,351472
653015,208301
671195,196875
671671,199564
664043,198191
713599,255186
502320,318536
506264,302401
506868,301389
507727,298863
508326,298419
508403,297143
508112,297311
535813,301310
324337,266435
720430,254268
538119,301073
506419,294369
573956,351703
683127,371132
523604,326704
579118,422808
471788,309786
379131,268133
501142,251169
534537,298165
577798,355193
524257,377302
366704,268532
535733,301440
534649,298909
723174,292520
660902,202530
502456,253140
683171,371294
683113,371516
532029,359063
679059,349772
598669,380066
358989,245697
403225,377076
537809,296918
424256,303413
495056,257957
621335,254916
708068,231577
650476,295589
323321,265366
649118,269162
529602,341676
476756,288093
618944,253814
326845,267701
646080,240606
536059,298574
641391,195496
527875,320260
541591,299625
535364,299191
502576,253042
420253,320200
389072,366729
450929,249602
500848,251727
534310,330026
404303,377693
602238,347276
327777,301160
332907,260614
529758,325164
320414,294884
711840,241842
494255,247363
583249,252115
681637,268857
490350,274202
491208,269311
485142,269091
714974,310552
474926,307955
494985,313492
492697,314795
504101,314759
528642,302366
387855,305575
642083,230109
528987,314642
548943,322519
552380,310251
425913,320172
426229,320008
695913,339482
475518,309406
506859,278591
478579,280513
502857,252189
475007,312400
411472,372375
413013,372239
415425,369097
579207,409295
528380,305501
524614,308882
478446,311383
426036,319928
426499,325891
500957,251675
359144,344537
539469,332610
550633,344647
623002,282932
587240,414253
591915,411912
598327,396165
610903,410936
659354,199653
457525,320834
553139,306031
544922,348266
536130,360682
547443,401168
553172,417619
405631,388310
677897,315455
338430,292041
524441,303491
650380,295582
650523,295271
605119,302013
494494,247371
487413,303233
539359,297726
573433,294489
501686,252609
481546,299481
317227,277023
523620,315413
537943,298691
493828,315713
586232,410829
535952,301089
334474,311457
432867,304592
417673,306336
585066,341776
496218,317365
450938,264543
590122,337612
576068,419701
425436,319954
425215,320032
726299,361417
542249,299850
404130,275058
539944,304082
546961,305224
566564,336247
475787,311846
575207,280853
553905,290699
573836,280822
615747,338354
442424,312900
431949,310382
431438,309581
424720,307494
358656,274249
339251,243490
630068,347394
429379,285192
680902,294074
579701,373613
506194,301714
622744,284407
468003,317604
585769,404825
480776,276386
697010,324223
407400,370224
391109,278484
420570,278415
515821,315114
525886,322688
475887,284294
482126,273602
528810,410892
574393,325964
649535,268750
486183,302288
521037,310408
522918,310169
477666,280972
478252,280910
525859,380766
520844,399785
520738,399810
697076,250511
501011,251542
502370,251337
399556,388968
433270,303463
515974,278413
420199,320516
410014,327677
409762,327753
531336,309732
518591,331280
610019,341504
576125,419721
574941,413199
584677,405925
584792,405780
454342,278237
357003,319517
338763,291996
525393,302854
526415,303309
520298,326386
522577,327305
523234,322741
531918,307234
398409,319254
666008,269094
577914,354148
415322,281917
415243,281903
518479,331662
527986,324266
399452,388904
539562,330860
502853,315690
526906,323632
437183,279299
432860,365794
414392,394405
425541,320617
461961,302939
526864,402542
475111,312283
594813,362615
576443,293572
526282,404139
586352,343963
589041,344696
518197,332244
515825,334319
554933,282035
683013,371505
573794,354996
597064,307054
569583,340635
582402,359019
417302,263336
600492,310855
629136,302427
427026,284686
516141,314814
519705,313905
325487,267836
409920,383263
409507,383193
572489,344354
522060,302304
527310,331883
529531,413145
575997,419687
529174,310320
523113,302867
541196,334623
501553,317040
384303,327496
338849,292000
495449,317560
451379,334651
497918,314612
497926,314726
576462,416466
630509,302116
631087,302008
475072,312410
421246,295452
412898,383904
413772,281608
414600,281863
472989,298327
458822,317344
429096,319381
598266,389472
506749,313961
532833,322435
516549,255643
586839,317053
316078,272904
586834,317117
506815,313833
502324,315862
524730,303213
526389,303148
540003,332020
482225,302947
516046,334779
719479,308821
411125,327864
407383,326898
541325,334501
526251,240265
523583,321771
642653,221300
521086,303276
503534,301531
541545,338720
505386,305791
575013,353877
514689,317248
581573,353879
420280,320339
557643,381332
547846,334414
475846,295414
429055,302033
541325,332388
451267,334563
566366,342081
496752,247102
675918,200119
574490,412411
502864,318691
584649,405801
669315,194941
542615,325661
633658,302019
324213,259571
528317,342703
528132,343461
336289,235519
336149,235288
313265,246562
504985,313778
574344,414648
502089,315573
408000,327060
407468,327080
407463,326986
409939,327614
515912,334032
517222,332296
504075,314805
672405,308160
397689,389026
502941,318422
467953,317569
699641,310481
700905,312373
526010,338378
508127,257159
706056,273768
402850,394993
522643,303168
577406,364921
577480,364900
707837,274622
709445,271211
708147,270014
452561,334587
566401,342014
503443,314427
629346,302305
629720,302240
529358,310155
566403,341991
566220,342025
576936,416091
572732,344202
544824,331242
496726,246807
527827,314293
574972,413305
722775,292797
578653,364936
545515,304016
568022,353246
634068,280352
632121,277360
543732,295433
506780,313829
515067,314644
449301,304258
667956,329063
501425,254170
365263,374474
474288,279690
754538,233324
522507,303328
512983,316069
506536,306304
527060,323446
574971,365200
504225,314507
461495,275371
574857,413068
503095,319204
527488,323852
579339,365534
510586,321576
574998,408775
578143,364775
584651,399049
602879,379512
708452,303671
704631,267398
708895,260904
517161,332151
333645,245927
704461,269867
678976,287256
375089,277862
704126,256463
496114,286007
521091,314682
619492,285221
520263,313646
577554,364972
694546,300540
575954,354050
577740,365270
526937,352408
696672,364961
486905,283752
525516,330892
541708,338583
522898,323349
551117,253112
523732,307670
522559,303246
581398,354867
575945,365400
535417,301889
685743,369323
590196,337072
629439,367828
529445,341672
630253,368018
631788,347491
502306,318217
502309,318130
503842,315347
576889,416211
582370,415829
588653,413821
593317,412416
614034,398001
590451,420611
650465,181451
517147,332090
517323,332298
687785,237077
660988,214251
661252,214602
522573,303520
697259,365694
404353,327318
407362,326925
680333,272496
713727,286517
401165,279288
524447,324741
697953,365572
391638,318033
513771,316631
577947,365284
551065,253086
574499,354595
443174,323167
666034,238546
578527,405416
551256,253104
341174,242961
371941,364863
397805,388972
569463,370098
601243,389082
527492,324620
713631,303108
719427,328429
550403,335477
577997,365037
576053,354032
682858,318954
415099,321830
376301,284360
624792,392356
515550,314574
619553,405839
574938,418696
574870,413102
550427,335567
550368,335516
623576,391617
634928,343040
555498,350769
541871,338550
352710,290180
572511,344500
470280,318664
551084,253108
694857,261918
518210,316291
527518,323867
709429,258138
636608,300422
611970,400147
532060,368497
425872,323098
541936,338511
560515,374613
619399,328409
539106,298859
529282,310199
523185,302659
423062,319581
398579,388560
633681,344197
586400,376363
468977,317653
528594,321593
529904,322211
522132,302849
522254,303030
522372,303051
365661,264908
492659,246367
577742,353864
499679,314990
617201,413298
664820,195889
664762,195829
618458,413367
513078,319719
503843,313299
697092,365785
430202,322756
430772,320865
430767,320908
430168,319433
552088,336620
413830,391623
609942,299192
532727,368752
434222,365991
532521,369110
568837,370520
477137,307510
477170,307487
598232,389247
579501,364946
585882,378322
534168,311375
641450,225382
529343,240489
552021,336065
573551,354356
453499,334428
582050,367762
543692,333371
721000,312543
326419,242292
326347,242412
620531,402494
620268,402784
539069,304247
327015,244481
620096,413066
400416,280688
352250,306940
375104,277881
636561,300415
426202,328126
576330,414450
575579,365451
570499,370114
568822,370753
401882,279740
574087,351733
602851,384393
628065,398265
577991,367412
460396,312080
367825,273760
318483,234165
534686,344422
623113,394424
624655,395356
620494,394390
620424,402891
623095,401137
576796,416204
553310,338287
643483,377088
588929,378586
618745,408821
584865,416959
585369,407023
623039,394426
520088,313615
462181,317087
533508,368371
620444,402380
518861,315874
620785,394938
629677,396178
628181,398202
542736,338088
553234,351256
665356,202524
526223,240306
522896,323278
551309,336693
631202,227720
615226,400970
516099,266781
582625,351630
578894,358924
532115,368473
524630,303336
496063,243685
399248,393707
588650,317896
618672,412979
619151,412956
399227,388835
724890,324732
617776,413448
665815,204878
571357,371364
569036,369087
624247,402181
624019,402654
526328,327144
572066,308581
576449,239503
615399,412769
527612,320245
627981,400344
569933,370090
598238,389805
378515,385744
