sugas,parklajumi,svarots
ABRGRO,0.7797604234607884,0.0056732863415533
ABRSYL,0.2048007239179578,0.0014900642745975504
ABRTRI,0.3982758754413912,0.002897727322814624
ACHFLA,5.5641394487020775e-9,4.048289113817381e-11
ACLCRI,0.10615022662231381,7.723149479379087e-4
ACLLAT,0.04829488163996967,3.5137804398808564e-4
ACLSP.,0.12937910318773801,9.413207915063155e-4
ACLVAR,0.01277149210236589,9.292127367022217e-5
ACRACE,0.2584435614810425,0.001880352327841015
ACRALN,0.43639208666694057,0.003175048630784987
ACRAUR,0.32307668836573095,0.002350602195536722
ACRCUS,0.15818635238732348,0.0011509130822978588
ACREUP,0.6295172956712525,0.004580165609652646
ACRLEP,0.2812526260573773,0.0020463037542422222
ACRMEG,0.06349179969387905,4.6194593770895027e-4
ACRMEN,1.8575934114438889e-16,1.3515252906181854e-18
ACRPSI,0.30749349813441995,0.002237223909543769
ACRRUM,0.27670111004424564,0.0020131883859140177
ACRSP.,0.263641246651142,0.0019181690153722238
ACTPOL,0.19346267202601292,0.0014075722514029054
ADECRO,0.021734354768275142,1.5813218309037433e-4
ADEREA,7.977473301417652e-12,5.804153296235453e-14
ADSSTA,0.5740837802886901,0.004176849159853382
AETPUN,0.017174050791139726,1.2495287635922863e-4
AGAZOE,0.33093099175303703,0.0024077475837725746
AGLIO,0.16899549769761912,0.0012295569511166884
AGLPIN,0.5035443469363051,0.003663626903711115
AGLTAU,0.04448000542858954,3.2362223021046086e-4
AGLURT,0.18804063224320527,0.0013681232317839863
AGOARE,0.21682552661767826,0.001577552876049542
AGOCIL,0.11891132760711186,8.651606191748739e-4
AGOHER,0.011553063680505822,8.405637989526044e-5
AGRAUR,8.49158668830671e-17,6.178205680543731e-19
AGRCIR,0.028465230076610278,2.0710386952708194e-4
AGRCLA,0.04245686467106129,3.0890250799657493e-4
AGRCON,8.656911408235425e-6,6.298490635675193e-8
AGREXC,0.17308296102316786,0.001259296021167865
AGRHEL,5.929915505099876e-6,4.314416021825711e-8
