x,y
495950,318350
585250,355750
532250,343350
685850,252950
581150,340650
702050,242150
659050,224350
537350,332750
714550,330750
569350,370950
572450,372650
511950,326950
341750,240350
628650,399650
421650,324450
575850,344150
485550,309950
425850,258350
367750,274650
705050,288450
364950,290650
571750,353850
611750,366650
449750,315750
624450,396150
646650,208150
574950,355550
630150,300850
634650,370350
424350,323850
577950,402450
538650,374750
570950,314150
617650,407250
566250,357450
650650,216850
603050,239450
504550,315550
597450,355350
406750,328050
352150,257450
566650,346850
465750,246350
379150,386150
527150,335050
622250,351650
577250,366550
654250,346950
559050,366150
533950,293750
580250,381350
703150,239150
529850,309850
519550,316750
524150,320650
542050,338150
497950,317450
544350,340050
537750,375750
568050,343150
733050,234850
618850,395750
394950,390750
463950,299350
546750,305850
533750,299150
576150,405150
687550,359750
570050,371550
389450,316850
611650,393650
579250,412250
571350,366850
513750,320050
504850,320350
672650,323450
551350,348150
532950,297050
615650,308150
541750,398950
430850,368450
569150,352450
594450,351250
597350,388250
519650,295550
521050,323050
337350,289450
502250,253950
585150,361950
577050,417450
480450,312050
506950,314450
547150,337950
726450,204450
487450,274850
512650,251250
532450,296750
725550,326050
605650,328550
536650,325450
398650,319350
530350,340750
597950,388250
576550,318450
508950,320250
522250,320250
521450,303750
504650,250150
426950,301150
613750,363550
719350,337350
654250,193550
488350,301450
573050,314350
550650,334450
525750,322550
541750,325250
474250,310650
404050,396150
430350,288750
605150,409750
461850,297150
630450,227950
692850,305950
653350,296450
545350,299350
396550,393250
496850,314850
664350,194550
603950,313450
525850,315250
506850,312450
577250,366850
654850,223250
366050,258850
716450,327150
631850,387850
526750,333650
398350,349750
527750,334050
734650,262450
335450,250350
502350,320850
590350,378650
642450,377650
580050,368450
513850,300450
531250,241550
525450,325750
452250,257750
409650,381050
579750,338050
614050,392150
586850,366350
326250,265850
524950,309450
542150,331150
504550,314850
522350,310550
494950,317050
530350,341350
578150,280450
616250,388250
598450,300450
611750,223150
531650,343750
648150,196850
399850,278050
495650,251350
593250,353450
529250,410050
396550,326550
325950,301950
590350,380850
499950,317250
519450,277250
464150,313250
718750,222150
449250,344950
580550,253150
599450,307550
495750,315450
520150,263350
549550,340050
323250,253050
523750,307150
510150,255750
541850,327450
585750,283450
632150,301150
490150,273650
648250,209450
526350,320250
624050,360650
514850,332850
523650,314950
517350,313050
724350,343650
756050,232950
676850,241350
617250,408150
472250,312550
569050,359850
466950,311550
647850,199350
462450,294950
418050,320950
415250,399950
540250,334450
525150,336950
543550,385750
577150,351550
578650,408550
665450,343450
647050,230050
533250,297750
603350,312350
334650,273750
724050,358750
538450,297650
521250,311450
450150,315450
538350,298950
548050,332750
722450,271150
637050,300950
623650,393950
528750,343850
613850,367650
538250,308750
652150,347750
571450,372250
513750,320950
678350,195850
619250,368250
696150,299850
680450,201550
518550,307550
320550,265450
656050,194650
579150,356650
541950,342650
491850,299350
505350,311050
534650,312050
521250,324550
507050,317550
511250,313350
400450,392450
598250,330250
590950,341750
473950,252850
533950,330550
578150,343350
658950,197650
620350,402250
496250,318150
567150,366850
611050,406950
592450,247350
682250,294050
515550,334650
624650,394750
683250,221850
435550,303050
528850,326150
511350,305150
487550,307650
585550,349250
519750,313350
569550,371050
552750,335350
495150,249850
467950,309250
399350,386750
617150,411750
496250,318250
573350,351450
618150,401250
614450,304550
513850,313850
543450,332150
450050,279450
755650,232050
582150,364950
574950,415050
499650,316050
619050,404150
475050,309950
467450,308950
335850,253750
650850,225050
674950,211850
620950,398350
584450,406150
544650,303650
493150,246750
519350,332250
582250,365350
755750,248450
461150,292050
476050,311250
421550,319650
495950,310350
532450,297350
554050,316350
492450,246650
559250,352150
425150,321250
527950,318250
574950,415150
495750,315250
620750,388950
584150,306650
515150,333550
510250,319850
569650,367950
471150,314750
657350,278450
498650,253350
606650,277850
619750,400550
450750,317550
399150,358550
732950,291050
593350,420950
462150,250650
671850,347550
532150,326750
482550,271650
471650,243750
510550,316250
499750,253750
681750,226050
505150,314550
654150,224350
588550,343850
585350,341950
562450,272350
700550,378450
466450,252750
616550,391550
521250,337950
460150,317150
576850,345450
467150,308550
683150,366850
448350,314850
617350,409650
732450,293350
498150,301250
577750,352250
447450,254850
375750,278550
554350,426550
496950,247850
445450,349050
501350,252450
609250,329550
616850,369350
509050,313850
625550,399050
434550,320150
401750,278150
709050,274950
674550,258850
522150,303250
534650,292550
620150,281450
561650,375750
546050,299950
585550,375750
656150,304350
579950,355550
449750,317150
535850,357050
525150,352350
368650,280750
424550,322550
337450,253150
529450,309750
498050,311150
671050,337650
454650,295950
504050,251150
581350,338950
379750,278850
658550,215250
514950,317650
578750,298450
414350,401150
651250,227450
558350,361450
528650,412150
493550,245450
484250,313050
526250,377050
755650,232650
591050,380050
