sugas,parklajumi,svarots
ABRGRO,0.15034575290507815,7.357180672267406e-4
ABRSYL,0.5157261698557788,0.0025237098725635334
ABRTRI,0.44302564909864167,0.0021679493300519807
ACHFLA,0.0040082599520531855,1.9614450078471836e-5
ACLCRI,0.4001990574053681,0.0019583770830302973
ACLLAT,0.1808472894105324,8.849775644298751e-4
ACLSP.,0.3074570877700889,0.0015045435604169423
ACLVAR,0.12211528374519307,5.975720550788096e-4
ACRACE,0.4186997251410071,0.0020489102390780244
ACRALN,0.38235536232032474,0.0018710588275659093
ACRAUR,0.5277663704289403,0.002582628684193027
ACRCUS,0.3220089316231186,0.0015757531172369192
ACREUP,0.27807840557446634,0.0013607787591838907
ACRLEP,0.3877589170960367,0.0018975011633081806
ACRMEG,0.22749107788914003,0.0011132292924935217
ACRMEN,0.006447068094560526,3.1548775979085516e-5
ACRPSI,0.39634010753118915,0.0019394932829355366
ACRRUM,0.4378619453494056,0.0021426807071031305
ACRSP.,0.560683263256268,0.0027437077456369595
ACTPOL,0.37547822746709486,0.001837405516684089
ADECRO,0.2246842652022358,0.001099494133600271
ADEREA,0.031730483894679334,1.552733604513693e-4
ADSSTA,0.2376607097987654,0.0011629944623662003
AETPUN,0.2261071131441415,0.0011064568506544555
AGAZOE,0.34136760303675195,0.0016704849207053417
AGLIO,0.37621129754705396,0.0018409928006076313
AGLPIN,0.3341541240691288,0.0016351857073820953
AGLTAU,0.23083662746518752,0.001129600764386412
AGLURT,0.4476691374638499,0.0021906722751251135
AGOARE,0.5035695759049312,0.002464221489069092
AGOCIL,0.37204746516626647,0.001820617055684639
AGOHER,0.1047723950413321,5.127044993894324e-4
AGRAUR,5.775937024887759e-4,2.826459106601248e-6
AGRCIR,0.15521348617389447,7.595383564142237e-4
AGRCLA,0.018000784876016297,8.808697553238123e-5
AGRCON,0.04561873754704362,2.232356336572062e-4
AGREXC,0.40609484974184046,0.0019872281869607045
AGRHEL,0.044078987430461763,2.1570085493619393e-4
AGRINQ,0.13604737793615637,6.657488622884411e-4
AGRIPS,0.08723916908606942,4.269055269355861e-4
AGRLIT,0.050973456613435324,2.4943899149036794e-4
AGRLOT,0.03909947846440288,1.9133359053757768e-4
AGRMAC,0.06539950285700442,3.200329567668141e-4
AGRMAR,6.117951863034285e-5,2.9938243236572263e-7
AGROPT,0.25455732874790443,0.0012456781936703747
AGRSEG,0.08029695250039928,3.9293373810891187e-4
AGRSTR,0.09579746337767509,4.6878560411311104e-4
AGRTRI,0.1334662023452215,6.531178602132817e-4
AGRVES,0.061157739407614514,2.9927585557627714e-4
ALCREP,0.2947352596496377,0.001442289199282588
ALLOXY,0.10222186002816562,5.002234372109371e-4
AMPBER,0.3522565284898172,0.001723769958916984
