x,y
391150,315950
603050,250350
683250,257350
406050,390850
425550,323950
646550,210950
712050,239650
725050,317050
514050,324550
375650,314250
614250,317750
424750,318750
575250,351450
583150,351950
576550,353850
427250,334350
466850,313550
566950,344450
575350,349450
638150,343250
577150,370650
574350,352950
316150,228950
500650,255350
688050,220950
530350,335850
514850,332950
656150,317350
359550,316250
412450,275550
593150,246150
580050,350450
518050,334950
518550,329350
512250,327350
547150,303850
596850,312150
433150,263950
459450,314650
609950,340150
619350,286550
346250,285550
474350,307550
574950,353150
493050,309950
400550,394450
353350,325350
425950,321850
681150,199150
480850,312950
483350,313650
495250,313050
610350,264750
522850,401350
425350,324750
571650,345850
484250,309250
582350,356550
316350,228950
648450,291150
503550,318750
680350,287850
414850,400650
576750,367350
567250,340950
425250,319250
501550,253150
671350,344650
378450,363450
495450,317250
467650,314450
479750,309450
568550,366450
581950,308750
577950,369450
569050,345450
705050,256550
502350,323750
324650,228150
679350,292950
619550,287250
622250,278050
571650,343250
496150,317350
449350,318050
423850,320350
564150,342050
576350,352750
545850,319450
409450,327650
500850,253050
514450,319350
526150,337250
512850,322750
413650,399150
427350,320550
577150,351350
500050,321250
517150,329950
669350,333450
525550,371750
431250,299250
318050,229450
521850,399650
641550,189850
625850,241450
571550,344650
576950,355650
564850,360450
494450,310550
424150,323150
722050,231950
676550,345250
704950,302950
406850,328250
451150,265550
576350,367450
714250,274950
409150,327050
704550,255350
523250,400250
431450,305250
479650,309450
435050,349950
379650,308850
550850,349350
417750,272050
580650,368650
513550,322650
685250,264350
460450,311750
521550,328750
574550,352050
562750,343750
564250,341550
505350,325350
449750,314250
563050,427250
522450,376250
413850,400750
687750,304550
410450,329050
405950,391750
471750,304150
425350,318750
576650,353050
501150,253650
550050,312550
550650,308850
521950,411350
677250,227850
408550,390050
506050,255850
478050,311950
717450,327250
407650,390150
621850,294050
560450,344650
517350,332050
518750,330750
516350,319550
452150,316150
579150,372250
576350,353950
480450,311050
558750,426550
501450,252150
703750,258350
578050,366850
425150,326050
571350,325450
611450,407850
460150,312550
315750,229250
344750,300750
668250,333950
519050,332850
399550,307350
574150,363750
409950,328250
533150,331850
658050,192350
478350,309350
519250,331850
565150,435450
577850,353950
712650,272050
689950,193750
484550,313750
559350,428550
676050,240050
467050,318450
555650,343150
710850,270250
514650,328250
418150,290950
609750,408550
679950,292750
575750,366850
494650,308850
493150,311250
574350,354050
490050,302050
572650,403950
511450,325450
577550,352750
352850,362050
504750,251050
720150,231850
583250,353850
673050,292150
479850,312050
502150,321050
562850,340750
601450,378150
525850,345750
521550,406550
546750,301250
517250,332650
564650,435050
531150,263750
565950,340550
502050,255350
488650,305650
489650,312750
415450,400450
438850,304750
375650,328850
548650,252050
558350,415450
657150,189750
427750,320450
502850,250350
404950,394950
427550,320250
575550,353250
488650,303550
670750,254650
409150,335350
702750,256950
607350,296650
