x,y
651250,227550
613550,365750
678150,199950
521650,321750
414750,316850
579650,366350
692950,304450
702850,272550
527250,312150
549050,287050
668050,342150
597150,390050
499650,317550
562250,275850
522050,324650
331350,257650
542750,289650
618750,405550
535450,317450
605850,388750
540250,412350
407750,375050
715550,311450
482250,308650
659750,205950
617650,398550
321450,263550
526150,304550
500450,315350
511850,313350
580850,364950
695050,303850
396950,386050
567250,421750
525650,304850
639150,320050
598950,308350
414950,322250
583850,342950
530350,368950
596850,334550
504050,311550
614950,390550
570950,260050
621350,392150
550750,333150
723150,221650
712150,243250
529550,319750
591850,344550
432950,366250
446750,324550
549950,338050
631750,385650
515150,300650
618750,394850
585650,365250
627550,309750
414550,321750
429550,311850
595550,350250
425450,317850
616050,365950
587050,259450
560150,274050
506150,304950
620350,403850
544050,390150
487650,283150
387750,358750
578450,357550
471950,311050
416450,384350
581450,364350
395350,388350
575750,422650
698650,316950
580050,381350
397950,387850
712250,307350
665750,193650
506250,308650
692250,304650
577450,421650
512650,313850
528650,301150
459650,308150
579150,345750
614750,399750
632850,234150
540450,300950
528350,375750
453150,325150
618650,403650
509650,309450
320650,300350
433150,365350
519250,311950
446750,255250
550050,337050
687650,345450
487450,282550
719950,327950
525550,319250
706450,269150
528150,307550
317850,235550
493550,246550
694850,305250
623050,328650
577450,402950
705750,292750
516950,313850
658350,214350
625750,396750
413350,285550
571550,429850
732750,267850
586150,339350
440650,268550
379450,285150
482250,307250
611950,315850
583750,341250
577950,262950
368750,266350
535650,408050
520850,261950
579250,341750
581550,342050
678850,192350
539650,340050
576750,395150
427650,307450
437350,362850
497850,314350
521050,325850
520950,317550
531550,326650
618550,407950
572650,411950
331650,253950
663750,194450
705550,292250
557050,400250
610050,306550
689350,344750
520250,323450
483050,283150
627250,378750
516850,267750
522250,309750
335350,255950
677250,305650
576150,401550
524650,351150
550750,336450
613750,393350
371350,376850
468650,310750
668150,340650
667550,200950
542350,313750
563950,273050
398550,392150
630650,368450
672250,353450
514950,300750
725450,325550
495250,249150
530350,298050
459650,308050
519750,305650
585450,352850
517550,313650
652450,227150
399550,277150
578050,361550
540550,295750
649450,200150
380450,378650
415250,283250
529050,343950
475050,283050
461150,297550
469950,309250
514750,317150
503150,311650
507050,307450
571750,372950
577750,417850
503650,310150
632950,365750
545050,301650
525450,321850
472450,310350
686150,370950
502350,312250
619050,402850
524950,308650
580250,366550
420150,371950
610450,401850
648050,198550
524950,324850
512450,305450
699050,266950
476550,283050
508150,315550
725150,323150
746650,255750
702650,191850
503950,312150
614350,388850
363050,263950
409150,373450
536550,298250
510350,298650
452650,333350
551850,394650
525650,309850
620650,413350
403950,265850
671750,300050
719250,226150
691150,305650
542150,285150
630650,302750
584150,350650
501650,313050
609850,284450
320950,239450
605250,376650
571350,370050
756150,235150
609150,393550
425650,310950
579450,383550
600950,387350
521550,323150
653250,203850
643650,378650
540150,295950
572750,354450
636150,197050
511550,313450
358050,254250
614950,387050
530050,343750
517350,303950
436350,347050
581650,382450
539750,316650
486650,244750
648550,198250
560950,366350
638750,214950
613150,400350
520050,317750
674650,355550
501250,316850
576050,412850
533550,369850
521850,305950
581550,363250
570850,353050
580750,343350
530750,303650
678450,368950
504550,306650
512950,301450
635250,252450
509950,314250
544850,276350
552050,334250
506950,316050
492050,257250
499150,306750
525050,304850
449350,319750
530550,322350
704650,269350
647150,198050
317550,265850
503350,310350
458050,304550
424250,248650
644750,381450
703350,265150
576450,364950
356250,244650
679350,261750
647850,200450
336450,250550
394250,361750
540750,313350
628750,367250
334750,253550
600050,286750
536250,258150
624150,402850
518650,314850
652250,347650
507250,311750
649150,196950
670250,339050
620150,405450
622850,281250
631550,230250
507950,312950
527650,324950
620350,392350
612850,388450
429850,368450
525350,308350
576150,390550
518250,314550
699550,347350
591550,356650
622050,398650
684450,368350
505350,312450
469250,297050
539350,316350
399050,351250
510550,305950
575650,417150
578450,364750
691450,309150
398350,389650
655150,195550
634650,299250
460150,319850
574550,387150
410550,327450
529550,323950
395550,387950
642950,190150
529750,323150
522050,266850
647150,286750
528450,240150
577950,365850
657750,208550
552650,334650
668750,275950
497550,313750
485250,303450
702950,268850
399250,391950
516850,313950
337750,234950
583350,381550
629450,226450
705450,271350
651950,339250
600750,304950
726750,359250
446750,283550
546450,332950
532750,311450
574150,353850
575950,394250
401250,281050
573550,309150
322550,270750
618950,391550
693550,305550
499550,317650
666250,365850
403650,378250
318450,261650
656750,357050
335350,252850
496550,246050
576150,414550
667250,339450
530050,340650
501750,316550
376850,384650
729650,296050
616350,397450
621950,397050
513550,301750
541850,338250
633650,379750
691550,304050
623250,305150
604350,313050
587950,424950
445050,332250
574350,419750
572650,353550
503350,313850
368450,382250
497550,280450
614550,407850
581850,363350
499350,316550
679950,369250
674350,182850
379850,319150
578950,381250
620250,392450
581250,383950
400550,281450
524950,309650
381750,364650
580050,421450
486250,301450
343550,338450
480650,278050
516750,267150
418850,255450
426350,375550
318550,234350
505250,311550
531050,308550
660050,377950
465750,305950
480450,274350
501050,316650
660650,215850
532950,295350
528050,301250
376250,278150
625550,368250
514750,301750
482350,276950
700650,281250
426050,317950
533250,326050
702750,372250
611050,389450
411050,383450
445950,328250
468250,310850
578350,357350
503050,314650
708950,327550
512050,311350
615750,396250
575550,416550
654150,203750
429750,367550
694050,306950
603850,387050
645350,266750
537850,342950
368350,273550
696450,195750
580450,359950
533850,297850
550350,337350
340750,289850
503750,301550
441150,284950
512650,300250
715150,295450
524550,308950
517150,300550
536150,332650
561550,413150
658650,347650
335050,254550
469350,315250
510550,297550
523350,302750
474550,309450
570350,355450
486950,248450
733050,297850
512750,312650
583650,361150
336850,251950
568250,271750
581450,384550
616950,368750
525450,293050
580050,408850
378550,385750
693050,198750
463950,292250
654850,200550
575450,343350
521050,302750
623050,395850
534550,298450
554450,291050
472350,309750
612350,402050
611050,389850
419250,381050
579150,365350
514550,317350
529750,298650
740950,255850
609550,387750
687250,370350
655250,267450
669250,326350
514150,304950
560950,387850
530050,298950
672250,267650
347250,338050
563150,355650
447550,353050
527550,300850
513050,305250
620350,391450
447650,260150
371050,365250
679450,198550
577150,337350
548050,333250
525750,322550
528850,345350
748850,233350
482850,282250
676850,189850
477850,289350
653950,205850
344050,337650
469750,317450
395650,391150
577450,363350
678450,199850
582650,402950
524450,322750
544850,287850
662650,194850
677250,318150
577450,363050
577550,357650
454950,327350
508750,310350
576750,413750
527050,239050
522550,301450
649550,266850
531050,309650
473550,285250
456150,325350
584950,362450
480650,308250
580050,383550
620150,391350
736750,302350
662150,196950
622750,225150
575550,413350
507350,310750
539150,330150
715850,263550
469850,293550
614850,395450
527750,322950
538850,265950
487950,282550
516050,316350
502650,300750
497050,317450
333550,274650
566850,329750
427150,289750
754350,232250
602150,351750
474750,312650
414550,281850
399850,279650
513250,317750
580150,365150
385550,371450
468450,318450
613550,410350
515450,264750
527350,345450
538850,341150
629450,368150
539850,364250
551250,336150
411050,319750
735650,270450
581850,362350
581250,418650
613650,366350
397950,391150
516650,314650
655950,196350
571250,354050
672050,350750
404650,382350
670950,267350
447750,314950
592850,309350
653750,349350
667750,199650
449250,306250
577050,294050
634150,305450
507250,314350
664350,195050
724550,324650
521850,320450
709750,284150
599350,273150
459950,269450
486550,287750
474350,276150
636150,299250
410250,311350
532850,312150
508350,315950
526150,326350
463050,295050
532750,370550
656250,198250
585550,364250
438950,294950
656950,196250
579750,239050
527450,321650
717150,299350
651750,225250
576450,363950
506050,304550
571450,368950
584150,365850
584150,382850
513250,315550
516550,313250
628850,368950
718750,328550
713350,331350
367650,250050
511750,313250
395450,382350
708650,276650
336550,254650
535850,298050
367250,249350
534650,300150
393550,380550
682750,284050
367550,275750
493450,249550
578250,365650
529150,343950
523350,323550
584950,364150
398650,386550
518250,314750
516450,313850
577250,364150
627850,285950
340350,241950
620850,400650
621050,404750
507950,305450
494750,246650
508050,314250
524850,321550
527750,322850
655550,201750
582750,362450
486250,278150
434950,293050
367950,306450
731050,343850
526150,365750
524650,307050
480250,306350
531250,297550
482750,308550
678350,311550
508250,316750
448350,256050
720250,308450
429150,342350
501450,280550
492650,248150
672450,388150
507750,312750
612750,391550
581950,359850
646750,199750
571350,348450
510350,249550
375150,327350
605950,322250
515550,317650
528950,325750
584650,269950
548450,280250
575850,412250
577350,262850
553650,336650
626450,398650
628550,369050
470850,311050
370050,272350
400050,390450
522150,308750
625250,394650
440350,297350
565350,254550
652950,222150
369850,356150
614050,395850
648450,226450
566650,253450
621150,402950
512850,305150
573350,312250
573650,262350
506650,306550
574750,414250
743850,237550
605850,389550
518550,323350
576650,282650
402150,280650
649650,176450
575850,282050
474650,310150
445750,357250
619250,408150
541750,337250
549950,330450
709350,286650
549150,337650
475550,313050
620950,367850
519550,304650
372350,300550
516850,317650
584450,363050
327750,268250
571250,329850
609650,387350
439650,263550
531950,297550
609150,330750
392950,366650
543950,334850
653450,205650
576650,364950
369550,248550
510250,304550
454850,272450
621250,394150
540350,293150
577350,342150
400750,280450
718950,309350
722350,300150
517450,301550
339650,293250
688050,319950
576050,412750
524750,325250
602450,388050
516850,302350
615950,364250
454450,324850
534450,297450
654950,201450
735550,291950
579850,365750
709250,263450
575250,413150
743250,272750
550250,336850
619550,404550
417550,283950
657550,327150
480150,302850
579150,293750
533250,299250
620950,403950
649350,299750
592850,352550
683450,368150
577650,364450
597350,304250
614450,409750
494750,299050
584950,363550
623450,401750
525050,348650
624550,392750
597650,308050
609950,282950
527750,324750
701350,268250
488650,294950
595350,350950
683850,369350
676950,385650
612350,392950
527950,354650
618750,408550
666150,201350
695850,363250
526450,323650
576750,283050
412550,385750
536950,358250
495950,247750
693150,305350
412650,327050
584050,351550
567050,371350
397650,333450
616550,413350
702550,249950
515250,315450
380050,318650
462650,296150
445850,329250
616050,394250
383250,328450
549750,335550
614050,368750
636750,289450
571450,310550
643950,299550
499350,315050
500450,316050
596350,255750
511650,315350
446650,315750
397450,391950
510750,300050
483750,307150
361050,272150
529850,323550
642650,236750
513450,317750
541150,360050
653850,225750
444550,314950
576450,363250
708050,351050
511550,314050
696450,199550
402250,378350
406750,293850
582750,364050
578650,362450
585750,363150
503850,305350
524450,323950
576750,357250
436350,291650
608250,389150
559350,312150
585750,340850
592750,350550
472350,310050
653950,193250
613450,389850
713050,332550
576350,363550
686750,366450
582850,363450
574250,411450
542450,299050
471350,314450
674750,247950
508350,307450
517950,313250
682650,310650
514050,315450
511250,305050
467450,250150
577650,400650
527550,399950
471550,298150
516250,311250
624650,226250
695550,364150
535550,322550
651450,270250
553850,347250
313550,231850
735550,266550
465550,321450
575550,366750
411650,358550
582550,363350
591450,357950
529650,385750
458650,322750
568850,369950
578550,338850
649550,221750
469150,311650
529150,323150
395950,388750
402950,266250
577550,412050
398550,386550
512950,299750
616250,389850
515850,314050
514150,316450
580450,250250
626150,395050
645650,196850
585050,353450
579550,364350
602650,371550
622150,220050
419050,261550
575450,392850
602450,349450
582050,365250
577750,415850
540950,338750
544650,334050
578050,416750
590250,357450
335750,255750
507550,312050
577150,416750
517050,276550
533650,298650
501350,312450
619450,368350
448550,345550
729750,297250
506050,312150
648350,199850
521950,313850
397250,385150
581350,430750
509350,308250
570850,311650
554350,293850
584750,365050
572050,413150
497950,308350
614950,366450
518550,326650
477950,308450
507850,312750
354350,290750
629050,399750
515150,316650
604850,389650
615250,394550
614350,413050
516150,315750
514650,300450
524550,308350
718750,282750
684350,248650
558350,376050
509050,314050
445850,355350
634350,278650
687450,368550
583850,364350
516350,307350
469550,309750
521850,323950
615750,360150
430450,372650
495750,247750
353150,258750
579850,362250
618550,404350
688450,357550
553550,335750
551450,335650
666050,270150
660750,328150
527450,325550
589550,358750
483250,299450
577950,383350
587850,236150
652750,308150
578350,417450
575850,416750
507350,307450
395050,298050
577450,416750
579250,362250
525050,325450
551950,337450
521550,321450
606850,311050
545950,297850
503650,312050
521050,301850
336050,253750
452250,337250
541850,315750
472650,309550
374650,321750
360650,274750
328950,270450
523450,302050
516850,315050
472450,313250
693550,309250
621450,397450
518250,313850
727850,289950
539550,298250
471350,310350
579950,382750
547850,335850
373850,273150
651150,221850
446150,338050
532550,291350
502050,312450
666150,338450
476450,282050
542550,298350
516050,316150
598150,388650
651550,264150
469450,291650
316650,267250
618150,404450
581150,309450
699750,311350
618650,237150
518950,324150
613350,372250
504950,305350
652050,222550
652350,204850
571050,374050
389150,373450
723550,222250
576450,363750
620450,402450
501250,315050
576550,415450
584650,351650
649050,197150
453550,334150
680150,308350
519450,317950
355050,336350
533050,297350
557150,275850
505750,284350
747350,233950
650350,226950
527050,324150
618650,406850
367450,273950
629950,344450
580350,357350
588950,377050
565050,329150
620450,410450
615650,369650
400050,382150
617150,391350
321050,272450
584650,341950
578650,258550
580050,341450
576950,417550
610950,402250
649150,199850
528850,344050
430850,290150
498750,284250
683150,371150
530550,418950
586850,363150
718050,222750
510950,303050
532850,311050
746050,274350
533350,297950
528750,321350
621350,402950
541550,280550
572950,356350
548050,335350
651050,215250
728950,287050
553250,337150
377250,282250
531750,366850
346550,323550
582350,361050
518450,265050
478950,273750
573450,355550
570250,369550
580350,340950
586650,316750
617050,264450
576950,415850
516750,301650
529050,408450
612450,369850
620250,401350
424950,292250
490450,256850
576750,404450
523450,321750
527850,320250
400250,276750
469450,314950
491350,254150
584150,363350
463550,303550
597150,293350
506450,282450
438550,298050
615250,389450
601350,271650
497950,302950
676850,304250
695750,331350
619050,405350
399950,331450
656050,201150
342450,238150
604550,311350
364450,339550
317350,264450
581850,364750
719450,345150
683550,371550
323250,265650
509850,313050
595950,353550
578050,364350
504450,313150
336550,295350
611850,393650
725550,204050
544550,299650
618550,407750
529350,323950
640150,280250
735250,268450
575450,261450
524650,352450
685650,284350
435850,316550
373050,279950
522150,294250
704150,348550
618350,404650
365350,274050
448050,258650
572450,373250
408350,396450
321950,231550
657950,198850
613750,305050
510250,314850
528550,341450
576150,293250
658350,199150
652750,202650
603950,276950
607650,286650
610750,391050
573750,410050
330250,250550
484950,305750
476750,312350
525950,320750
648450,196150
577550,364250
652450,227050
404850,370750
513150,316550
472350,310550
527050,324850
611150,385450
697150,205150
315450,271650
470950,313450
531450,327150
620350,403750
628250,399650
569050,352550
452950,333750
610750,279350
559050,271650
552950,338850
582750,365750
622950,390150
386450,359550
647850,196550
584250,365450
717350,349450
579850,358350
454550,279650
574150,352550
504050,313250
409850,385150
551250,336350
445850,356550
551450,330750
585550,349950
693150,303150
378250,281050
601050,327950
569250,373850
521550,303150
405350,254450
412550,322850
517750,315450
627550,301750
531350,326850
536850,299050
525750,300850
423950,268550
654050,347550
581250,336150
509350,309950
532150,321650
514150,299550
651050,342950
754750,245150
511850,315450
496150,246950
648050,367750
612350,352150
584950,365350
428350,371350
697250,309050
469750,316050
353150,343250
498650,313350
602150,386750
528450,326050
540650,334250
527750,322450
578250,381850
444250,328350
510350,308050
516050,301950
619850,401950
578950,365650
439150,356550
619150,391450
686650,369450
683750,371950
620350,401350
583250,341550
576950,418250
684550,371250
659850,226150
432350,367550
529750,343550
609750,391650
430250,368150
639850,288550
629350,302950
675950,349550
394750,381050
510450,302250
649050,233550
552350,394550
674750,349150
371350,262850
478150,306650
655150,345950
512250,305550
505250,270250
708250,273750
585050,406250
620250,399250
365350,259350
577950,421950
575450,340350
521550,304950
552850,336550
538750,297550
565450,384050
691950,304150
515150,279350
429950,320350
589450,359250
616850,391850
569650,434050
692750,281550
434550,366650
539650,333950
521850,304350
450750,332250
545050,337850
465150,292850
530350,318350
526650,292350
486850,304050
545850,335750
542750,335350
507050,309150
688550,354550
495550,247350
508950,313650
512350,297650
461650,293850
532250,299050
480450,249650
568550,369050
510850,311550
520250,302550
714050,337350
479950,304450
581650,347450
523950,325050
409250,381750
392350,358950
