x,y
495792,317906
478740,311768
502177,321298
406416,387068
579159,356003
577901,354117
500614,251784
567639,435408
699694,247818
566332,342136
546856,300700
478932,310014
505848,294883
502345,319506
672254,344864
415402,399205
459714,312566
693355,255181
431730,302464
657390,192218
523586,400772
476651,302985
573956,366632
547374,300638
682649,294891
665533,310564
319628,227724
416434,402067
521207,414198
521322,399311
481223,312695
504133,252756
502761,253008
440156,301572
439552,276256
440057,276956
610219,248496
518789,328293
481025,310410
483377,310908
488685,312847
489549,313144
479106,312232
699852,216765
740739,245551
475582,308782
493102,314306
552355,310249
492882,314586
459492,271054
361323,361924
494164,313845
606208,266534
433375,302690
493742,315684
495564,315068
578818,353389
482885,310888
416434,401943
489051,312891
358125,367080
502721,252184
484143,312999
495737,318011
520956,405068
521122,413995
492072,315444
519591,328935
518465,331795
486333,311895
486307,312043
566459,341889
501231,254276
501563,251801
519741,330931
517518,332385
579370,353503
570394,342269
517413,334463
429774,286165
527310,331883
392916,327784
436179,284660
533107,287121
516820,331501
500645,322179
558692,345795
425832,323080
493082,304919
493229,305150
668283,329721
500515,321946
666730,203965
505677,323589
398216,346164
449274,315722
502738,320250
496698,317265
407372,327048
503441,319403
460249,312435
667878,329008
549346,252639
458229,315061
643302,206110
499307,320932
682405,220672
518859,330935
501539,252828
580201,355409
646784,209605
576885,351904
577205,352871
425166,320054
502415,324124
426854,321734
704137,256424
516498,332305
523047,329335
527900,334717
583300,355264
717675,270855
577830,353988
595209,379845
483238,312465
551119,253093
717023,325984
541010,374620
634928,343039
572837,344313
707189,258356
580830,354656
619110,284101
458486,316195
315249,228689
610444,407116
576567,354127
602420,309605
401168,279285
577977,367379
569878,326957
423852,329379
501293,324101
501112,323361
