x,y
506730,285293
514534,312136
656631,194640
656529,195189
663838,195119
663780,194454
511474,312538
481140,304314
539919,299262
530536,324604
495121,247494
497543,317211
685646,222801
503637,315708
528427,377787
519576,302356
533085,327293
515113,315063
717875,348292
693772,289709
689251,282213
505324,310732
653726,235825
721700,252892
657655,214442
515193,311886
393217,361187
380839,302133
479733,272627
541580,298226
531221,298333
587344,279211
436196,314358
446621,313262
576954,347419
534744,358067
540393,350387
325869,267607
671671,199564
519792,326699
508015,305276
586486,369255
511984,305415
539567,360243
526247,355544
576660,416306
660890,202507
683029,371540
532280,299161
722204,355297
631807,342635
513463,316237
578078,335679
352318,248872
529758,325164
450941,280597
464395,288376
529300,356202
653653,205655
531114,300130
616098,263931
609383,330816
669907,198769
668000,200143
682849,371565
513607,311728
392301,389841
322445,265027
604152,311316
595422,352918
448980,307605
514503,313401
515257,300999
333980,252975
332727,233984
469895,298622
447764,357725
513730,314409
328143,250167
493175,245604
590831,271810
578130,416076
512217,305529
722524,344353
599662,307065
475045,312335
519546,327573
508158,314730
657468,197071
595560,351781
503527,311835
463184,249395
497407,307881
428204,267031
476459,311557
657353,195976
514402,314741
338554,315686
414030,313554
438272,295395
481184,259602
491220,253182
456905,274296
506585,313636
535556,300781
477155,311584
487727,273616
491285,269271
490735,264724
472216,309523
655004,199676
532424,297793
659538,270588
707857,281892
475931,311058
475730,309600
718101,268739
726584,297892
584296,364141
585071,379402
585065,396929
525331,309087
505813,277507
496258,277506
476736,288158
475836,310972
505854,314115
585287,415706
659432,199806
490997,286992
509796,308436
486594,302141
542416,398670
696949,338957
582548,412052
510224,298690
726807,319712
471952,309639
524512,303784
503512,318402
469629,311433
476162,310249
576467,421438
519826,315057
400253,393762
398896,393263
409731,398871
480686,274345
527055,323595
468888,310617
535887,296841
540858,298842
664365,195862
594798,282710
444512,256295
576262,414633
561073,413900
515530,314980
482447,282706
508169,315193
504214,310967
669573,199362
418280,381269
512065,313694
504074,314809
516745,317772
577126,267575
600382,286015
475458,295423
512950,314058
523191,322795
474945,295446
494386,247305
563926,371224
561213,355727
589280,344044
514603,303529
489654,244483
432585,369625
398025,388527
559608,275186
642555,279523
521557,302509
526988,323565
511951,313621
583369,377232
555700,350636
438045,335316
521911,303012
512014,316573
523911,308456
526758,303818
506475,310653
491337,273377
447473,313592
670513,347634
513080,304637
670547,197237
660770,193840
582249,359044
516714,297885
408423,282150
410866,381254
552059,335703
338620,292209
339451,291117
443107,312668
397883,388584
574548,342851
574575,341110
429038,289473
501635,317089
581659,339842
646156,215155
474945,311116
649561,345470
553462,333001
551373,338550
572925,428343
600023,306068
495313,257503
590755,348980
507070,314614
541968,338173
574140,354324
505017,311504
506396,306239
504605,313223
502766,313915
502786,314167
526310,240388
542483,335676
527671,324021
504638,318251
502926,318371
525829,347480
503543,301550
670275,199671
740578,254846
505603,306027
351624,360438
534860,325676
313448,246659
669702,201793
670102,201221
675931,200331
623734,222749
507785,270426
610771,389702
445281,282445
583820,428726
523277,321599
517358,301705
575315,414169
432490,368472
522637,300593
399456,388926
497949,314590
686090,223595
541820,335468
735964,266740
440042,360781
502518,310840
709403,271220
518818,267829
640189,215146
663588,378262
504768,312903
709202,290471
500627,314239
694983,303430
520302,313689
713060,305622
582672,340046
705163,270181
514075,317000
316249,270531
317163,270717
320862,270956
648680,197122
518638,302644
574893,413165
550618,336606
704187,267550
600906,280310
704511,269659
375163,277937
317025,271140
315996,267187
578133,365137
693183,305358
540311,340503
529293,340716
685737,369329
606293,276071
665816,340743
714465,331580
723596,300250
594458,417953
590394,357578
502111,315554
661241,214607
512929,304959
570072,370094
522259,307462
522894,304150
678071,185340
492860,246110
375583,301671
535428,301881
487265,282605
523732,302160
666046,238386
605149,315909
511051,306921
707175,268027
551821,335871
551320,336121
515109,312706
518867,315850
582931,417634
577496,364887
579041,365500
501867,316141
461652,321288
510024,315600
581768,362942
723011,292525
578187,359800
640305,206628
567140,420751
650066,200743
598035,299491
605776,311929
604771,312092
511037,307057
512691,312565
526762,321974
528418,321736
582038,430760
525822,322050
568918,369825
571125,371116
486380,250262
585763,377466
509764,316047
575903,395931
550937,337118
577392,365064
550988,335581
617543,391811
619570,405782
584771,341474
618904,407434
522410,303585
622997,392305
624163,391972
499983,311779
617806,413513
471250,310306
695424,261935
367501,271074
611375,400462
569488,368260
510513,305780
693369,304851
523203,304037
532103,238506
580870,383845
573666,355200
637118,254213
574082,351738
323196,262550
634975,248221
633862,246481
643023,376297
642909,376339
706148,290962
623929,395373
589766,379309
579220,422693
609182,391898
624554,395371
622254,399229
620625,410757
610539,397175
620652,402495
592432,306147
594006,306176
526072,324118
629348,398407
586903,378726
539486,296053
616984,391377
615309,391566
668830,339221
576026,366720
616725,413095
629555,395694
564033,276920
615921,392271
619184,412985
614679,410917
631954,387378
518923,322500
575157,421130
576662,365321
615423,405259
582954,404272
648774,199912
614452,388036
648357,196069
647025,239030
579184,431931
522106,302820
515446,301780
605019,388452
526962,345189
716270,227505
749739,229779
718067,222927
579357,339899
630702,394494
560175,374260
626180,398163
717929,226565
514597,297945
504095,309304
502755,312552
501555,311700
526418,341327
