"number" "dsum" "count" "missing" "fname" 
0 6.92684e+08 2247828 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species1.tif"
1 3.54708e+08 2202666 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species2.tif"
2 3.58968e+08 2049810 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species3.tif"
3 4.35761e+08 2117473 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species4.tif"
4 4.15644e+08 2174876 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species5.tif"
5 2.79084e+08 2203004 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species6.tif"
6 4.60335e+08 2201492 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species7.tif"
7 6.25723e+07 1068524 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species8.tif"
8 6.92684e+08 2247828 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species1.tif"
9 3.54708e+08 2202666 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species2.tif"
10 3.58968e+08 2049810 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species3.tif"
11 4.35761e+08 2117473 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species4.tif"
12 4.15644e+08 2174876 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species5.tif"
13 2.79084e+08 2203004 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species6.tif"
14 4.60335e+08 2201492 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species7.tif"
15 6.25723e+07 1068524 4528962 "/home/local/pxlehtin/code/z5web/manual_and_example_setups/example setups and data/data/species8.tif"
