"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 2247828 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 2247604 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 2247380 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 2247156 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 2246932 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 2246708 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 2246484 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 2246260 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 2246036 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 2245812 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 2245588 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 2245364 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00120 2245140 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00130 2244916 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00140 2244692 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00149 2244468 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00159 2244244 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00169 2244020 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00179 2243796 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00189 2243572 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00199 2243348 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00209 2243124 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00219 2242900 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00229 2242676 0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00239 2242452 0 0.9999 1.0000 0.9999 0.9999 1.0000 1.0000 0.9999
0.00249 2242228 0 0.9999 1.0000 0.9999 0.9999 1.0000 1.0000 0.9999
0.00259 2242004 0 0.9999 1.0000 0.9999 0.9999 1.0000 1.0000 0.9999
0.00269 2241780 0 0.9999 1.0000 0.9998 0.9999 1.0000 1.0000 0.9998
0.00279 2241556 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00289 2241332 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00299 2241108 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00309 2240884 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00319 2240660 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00329 2240436 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00339 2240212 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00349 2239988 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00359 2239764 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00369 2239540 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00379 2239316 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00389 2239092 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00399 2238868 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00409 2238644 0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00419 2238420 0 0.9999 1.0000 0.9997 0.9999 0.9999 1.0000 0.9997
0.00429 2238196 0 0.9999 1.0000 0.9997 0.9999 0.9999 1.0000 0.9997
