"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.1355 0.1426
0.00020 0.1504 0.1588
0.00030 0.1594 0.1659
0.00040 0.1665 0.1719
0.00050 0.1713 0.1773
0.00060 0.1755 0.1808
0.00070 0.1814 0.1844
0.00080 0.1820 0.1862
0.00090 0.1874 0.1916
0.00100 0.1886 0.1928
0.00110 0.1892 0.1952
0.00120 0.1946 0.1982
0.00130 0.1982 0.1993
0.00140 0.1958 0.2011
0.00150 0.1982 0.2035
0.00160 0.2011 0.2059
0.00170 0.2023 0.2065
0.00180 0.2023 0.2089
0.00190 0.2065 0.2113
0.00200 0.2071 0.2113
0.00210 0.2089 0.2137
0.00220 0.2113 0.2143
0.00230 0.2119 0.2155
0.00240 0.2131 0.2172
0.00250 0.2131 0.2196
0.00260 0.2137 0.2184
0.00270 0.2178 0.2220
0.00280 0.2184 0.2226
0.00290 0.2178 0.2226
0.00300 0.2196 0.2250
0.00310 0.2190 0.2268
0.00320 0.2214 0.2256
0.00330 0.2232 0.2286
0.00340 0.2226 0.2292
0.00350 0.2262 0.2292
0.00360 0.2244 0.2316
0.00370 0.2256 0.2328
0.00379 0.2280 0.2328
0.00389 0.2292 0.2328
0.00399 0.2274 0.2363
0.00409 0.2292 0.2363
0.00419 0.2292 0.2363
0.00429 0.2316 0.2381
0.00439 0.2328 0.2393
0.00449 0.2316 0.2393
0.00459 0.2328 0.2393
0.00469 0.2346 0.2411
0.00479 0.2334 0.2423
0.00489 0.2352 0.2423
0.00499 0.2363 0.2447
0.00509 0.2375 0.2447
0.00519 0.2369 0.2447
0.00529 0.2387 0.2465
0.00539 0.2405 0.2459
0.00549 0.2405 0.2477
0.00559 0.2405 0.2483
0.00569 0.2387 0.2489
0.00579 0.2405 0.2495
0.00589 0.2429 0.2507
0.00599 0.2441 0.2501
0.00609 0.2429 0.2519
0.00619 0.2435 0.2519
0.00629 0.2447 0.2525
0.00639 0.2429 0.2537
0.00649 0.2447 0.2543
0.00659 0.2465 0.2549
0.00669 0.2459 0.2549
0.00679 0.2477 0.2566
0.00689 0.2483 0.2566
0.00699 0.2483 0.2572
0.00709 0.2453 0.2572
0.00719 0.2513 0.2584
0.00729 0.2489 0.2602
0.00739 0.2477 0.2578
0.00749 0.2495 0.2608
0.00759 0.2495 0.2608
0.00769 0.2525 0.2614
0.00779 0.2513 0.2620
0.00789 0.2507 0.2620
0.00799 0.2525 0.2638
0.00809 0.2525 0.2626
0.00819 0.2548 0.2644
0.00829 0.2531 0.2638
0.00839 0.2549 0.2650
0.00849 0.2543 0.2662
0.00859 0.2543 0.2656
0.00869 0.2596 0.2674
0.00879 0.2549 0.2668
0.00889 0.2572 0.2674
0.00899 0.2543 0.2692
0.00909 0.2554 0.2680
0.00919 0.2584 0.2698
0.00929 0.2572 0.2692
0.00939 0.2602 0.2698
0.00949 0.2596 0.2710
0.00959 0.2578 0.2716
0.00969 0.2650 0.2716
0.00979 0.2602 0.2728
0.00989 0.2596 0.2722
0.00999 0.2584 0.2728
0.01009 0.2644 0.2745
0.01019 0.2644 0.2745
0.01029 0.2608 0.2745
0.01039 0.2644 0.2745
0.01049 0.2614 0.2763
0.01059 0.2650 0.2751
0.01069 0.2626 0.2763
0.01079 0.2632 0.2781
0.01089 0.2656 0.2769
0.01099 0.2638 0.2781
0.01109 0.2644 0.2793
0.01119 0.2656 0.2781
0.01128 0.2638 0.2799
0.01138 0.2662 0.2799
0.01148 0.2674 0.2799
0.01158 0.2650 0.2811
0.01168 0.2650 0.2811
0.01178 0.2698 0.2811
0.01188 0.2692 0.2811
0.01198 0.2698 0.2829
0.01208 0.2692 0.2829
0.01218 0.2674 0.2835
0.01228 0.2704 0.2835
0.01238 0.2704 0.2847
0.01248 0.2710 0.2835
0.01258 0.2692 0.2853
0.01268 0.2734 0.2859
0.01278 0.2704 0.2859
0.01288 0.2710 0.2865
0.01298 0.2722 0.2865
0.01308 0.2745 0.2871
0.01318 0.2692 0.2877
0.01328 0.2716 0.2877
0.01338 0.2716 0.2883
0.01348 0.2722 0.2883
0.01358 0.2751 0.2889
0.01368 0.2722 0.2895
0.01378 0.2745 0.2895
0.01388 0.2769 0.2907
0.01398 0.2763 0.2907
0.01408 0.2734 0.2907
0.01418 0.2769 0.2907
0.01428 0.2757 0.2925
0.01438 0.2740 0.2925
0.01448 0.2775 0.2925
0.01458 0.2745 0.2936
0.01468 0.2787 0.2930
0.01478 0.2769 0.2936
0.01488 0.2775 0.2936
0.01498 0.2775 0.2942
0.01508 0.2787 0.2942
0.01518 0.2769 0.2960
0.01528 0.2805 0.2954
0.01538 0.2787 0.2954
0.01548 0.2829 0.2954
0.01558 0.2805 0.2972
0.01568 0.2823 0.2966
0.01578 0.2793 0.2978
0.01588 0.2811 0.2966
0.01598 0.2817 0.2978
0.01608 0.2793 0.2996
0.01618 0.2811 0.2978
0.01628 0.2817 0.2990
0.01638 0.2829 0.2996
0.01648 0.2835 0.2996
0.01658 0.2823 0.2996
0.01668 0.2805 0.3008
0.01678 0.2805 0.3002
0.01688 0.2853 0.3014
0.01698 0.2859 0.3014
0.01708 0.2847 0.3020
0.01718 0.2859 0.3020
0.01728 0.2829 0.3026
0.01738 0.2805 0.3020
0.01748 0.2835 0.3038
0.01758 0.2865 0.3026
0.01768 0.2859 0.3044
0.01778 0.2835 0.3044
0.01788 0.2883 0.3038
0.01798 0.2847 0.3050
0.01808 0.2877 0.3050
0.01818 0.2871 0.3056
0.01828 0.2877 0.3050
0.01838 0.2871 0.3068
0.01848 0.2865 0.3062
0.01858 0.2847 0.3062
0.01868 0.2895 0.3074
0.01877 0.2871 0.3080
0.01887 0.2889 0.3068
0.01897 0.2913 0.3086
0.01907 0.2871 0.3080
0.01917 0.2865 0.3086
0.01927 0.2883 0.3104
0.01937 0.2883 0.3092
0.01947 0.2907 0.3086
0.01957 0.2901 0.3092
0.01967 0.2901 0.3098
0.01977 0.2889 0.3115
0.01987 0.2919 0.3115
0.01997 0.2907 0.3110
0.02007 0.2901 0.3104
0.02017 0.2936 0.3127
0.02027 0.2913 0.3122
0.02037 0.2913 0.3115
0.02047 0.2948 0.3127
0.02057 0.2919 0.3133
0.02067 0.2954 0.3127
0.02077 0.2930 0.3133
0.02087 0.2936 0.3133
0.02097 0.2907 0.3151
0.02107 0.2954 0.3139
0.02117 0.2960 0.3145
0.02127 0.2913 0.3157
0.02137 0.2954 0.3157
0.02147 0.2948 0.3151
0.02157 0.2948 0.3151
0.02167 0.2948 0.3163
0.02177 0.2954 0.3169
0.02187 0.2942 0.3163
0.02197 0.2984 0.3175
0.02207 0.2954 0.3163
0.02217 0.2966 0.3187
0.02227 0.2978 0.3175
0.02237 0.2996 0.3181
0.02247 0.2960 0.3187
0.02257 0.3014 0.3181
0.02267 0.2990 0.3193
0.02277 0.2978 0.3193
0.02287 0.2960 0.3193
0.02297 0.2996 0.3193
0.02307 0.2972 0.3211
0.02317 0.2990 0.3199
0.02327 0.3008 0.3205
0.02337 0.2984 0.3211
0.02347 0.2996 0.3211
0.02357 0.3002 0.3205
0.02367 0.2984 0.3229
0.02377 0.2972 0.3217
0.02387 0.3002 0.3223
0.02397 0.2978 0.3229
0.02407 0.3014 0.3223
0.02417 0.3020 0.3229
0.02427 0.3002 0.3235
0.02437 0.3050 0.3229
0.02447 0.3038 0.3241
0.02457 0.3014 0.3247
0.02467 0.3026 0.3235
0.02477 0.3032 0.3253
0.02487 0.2996 0.3247
0.02497 0.3026 0.3259
0.02507 0.3032 0.3259
0.02517 0.3032 0.3259
0.02527 0.3038 0.3265
0.02537 0.3038 0.3247
0.02547 0.3056 0.3271
0.02557 0.3038 0.3271
0.02567 0.3044 0.3271
0.02577 0.3050 0.3277
0.02587 0.3038 0.3277
0.02597 0.3068 0.3277
0.02607 0.3080 0.3283
0.02617 0.3038 0.3277
0.02627 0.3050 0.3295
0.02636 0.3038 0.3283
0.02646 0.3080 0.3295
0.02656 0.3098 0.3283
0.02666 0.3104 0.3301
0.02676 0.3044 0.3301
0.02686 0.3092 0.3307
0.02696 0.3056 0.3306
0.02706 0.3092 0.3306
0.02716 0.3098 0.3307
0.02726 0.3074 0.3312
0.02736 0.3098 0.3312
0.02746 0.3074 0.3318
0.02756 0.3056 0.3318
0.02766 0.3092 0.3318
0.02776 0.3092 0.3324
0.02786 0.3092 0.3336
0.02796 0.3104 0.3330
0.02806 0.3104 0.3330
0.02816 0.3080 0.3330
0.02826 0.3080 0.3336
0.02836 0.3110 0.3342
0.02846 0.3110 0.3342
0.02856 0.3104 0.3342
0.02866 0.3110 0.3348
0.02876 0.3133 0.3348
0.02886 0.3115 0.3354
0.02896 0.3145 0.3360
0.02906 0.3110 0.3348
0.02916 0.3133 0.3360
0.02926 0.3115 0.3360
0.02936 0.3145 0.3372
0.02946 0.3133 0.3360
0.02956 0.3139 0.3372
0.02966 0.3133 0.3372
0.02976 0.3151 0.3372
0.02986 0.3127 0.3372
0.02996 0.3127 0.3396
0.03006 0.3157 0.3372
0.03016 0.3151 0.3384
0.03026 0.3151 0.3384
0.03036 0.3157 0.3396
0.03046 0.3151 0.3378
0.03056 0.3151 0.3396
0.03066 0.3181 0.3396
0.03076 0.3133 0.3402
0.03086 0.3139 0.3402
0.03096 0.3169 0.3402
0.03106 0.3163 0.3402
0.03116 0.3157 0.3408
0.03126 0.3169 0.3414
0.03136 0.3151 0.3414
0.03146 0.3151 0.3408
0.03156 0.3163 0.3414
0.03166 0.3169 0.3420
0.03176 0.3175 0.3426
0.03186 0.3187 0.3420
0.03196 0.3169 0.3426
0.03206 0.3169 0.3432
0.03216 0.3181 0.3438
0.03226 0.3181 0.3432
0.03236 0.3151 0.3438
0.03246 0.3199 0.3432
0.03256 0.3205 0.3444
0.03266 0.3187 0.3444
0.03276 0.3205 0.3444
0.03286 0.3187 0.3444
0.03296 0.3193 0.3450
0.03306 0.3169 0.3450
0.03316 0.3211 0.3456
0.03326 0.3193 0.3450
0.03336 0.3193 0.3468
0.03346 0.3205 0.3462
0.03356 0.3211 0.3462
0.03366 0.3217 0.3474
0.03376 0.3211 0.3462
0.03385 0.3229 0.3468
0.03395 0.3193 0.3474
0.03405 0.3223 0.3474
0.03415 0.3211 0.3474
0.03425 0.3229 0.3486
0.03435 0.3223 0.3474
0.03445 0.3211 0.3491
0.03455 0.3187 0.3480
0.03465 0.3235 0.3486
0.03475 0.3247 0.3497
0.03485 0.3247 0.3492
0.03495 0.3247 0.3491
0.03505 0.3247 0.3497
0.03515 0.3223 0.3491
0.03525 0.3247 0.3503
0.03535 0.3217 0.3503
0.03545 0.3241 0.3515
0.03555 0.3265 0.3503
0.03565 0.3271 0.3509
0.03575 0.3265 0.3515
0.03585 0.3301 0.3503
0.03595 0.3229 0.3515
0.03605 0.3283 0.3521
0.03615 0.3247 0.3527
0.03625 0.3253 0.3521
0.03635 0.3241 0.3527
0.03645 0.3235 0.3521
0.03655 0.3295 0.3527
0.03665 0.3253 0.3533
0.03675 0.3259 0.3527
0.03685 0.3271 0.3557
0.03695 0.3265 0.3527
0.03705 0.3265 0.3539
0.03715 0.3265 0.3539
0.03725 0.3277 0.3557
0.03735 0.3313 0.3539
0.03745 0.3289 0.3551
0.03755 0.3271 0.3551
0.03765 0.3306 0.3557
0.03775 0.3265 0.3551
0.03785 0.3312 0.3557
0.03795 0.3313 0.3563
0.03805 0.3283 0.3563
0.03815 0.3301 0.3569
0.03825 0.3295 0.3557
0.03835 0.3295 0.3575
0.03845 0.3283 0.3563
0.03855 0.3307 0.3575
0.03865 0.3324 0.3575
0.03875 0.3324 0.3575
0.03885 0.3301 0.3575
0.03895 0.3289 0.3587
0.03905 0.3330 0.3587
0.03915 0.3319 0.3575
0.03925 0.3354 0.3599
0.03935 0.3295 0.3581
0.03945 0.3354 0.3599
0.03955 0.3324 0.3593
0.03965 0.3324 0.3593
0.03975 0.3324 0.3599
0.03985 0.3336 0.3599
0.03995 0.3324 0.3599
0.04005 0.3324 0.3611
0.04015 0.3330 0.3605
0.04025 0.3336 0.3605
0.04035 0.3324 0.3611
0.04045 0.3325 0.3617
0.04055 0.3336 0.3611
0.04065 0.3354 0.3617
0.04075 0.3354 0.3617
0.04085 0.3324 0.3623
0.04095 0.3342 0.3623
0.04105 0.3342 0.3629
0.04115 0.3348 0.3611
0.04125 0.3372 0.3635
0.04134 0.3348 0.3635
0.04144 0.3372 0.3635
0.04154 0.3342 0.3629
0.04164 0.3342 0.3635
0.04174 0.3390 0.3641
0.04184 0.3324 0.3647
0.04194 0.3354 0.3635
0.04204 0.3366 0.3653
0.04214 0.3372 0.3641
0.04224 0.3360 0.3647
0.04234 0.3384 0.3647
0.04244 0.3378 0.3653
0.04254 0.3372 0.3665
0.04264 0.3360 0.3653
0.04274 0.3372 0.3665
0.04284 0.3402 0.3653
0.04294 0.3366 0.3671
