"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.73995e+06 6468604 6639696 0.000182855 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_ANTCAR_v3b1_labots.tif"
1 2.50780e+06 6468604 6639696 0.000249606 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_CYASEM_v2b1_labots.tif"
2 2.36022e+06 6468604 6639696 0.000250887 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_COEPAM_v0b1_labots.tif"
3 1.60771e+06 6468604 6639696 0.000165536 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_CUPMIN_v6b1.tif"
4 1.6779e+06 6468604 6639696 0.000518037 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_EUPAUR_v3b1_labots.tif"
5 1.83405e+06 6468604 6639696 0.000106635 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_LASMEG_v3b1b.tif"
6 1.94912e+06 6468604 6639696 0.000202054 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_LYCPHL_v2b1_labots.tif"
7 2.57392e+06 6468604 6639696 0.000134756 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_MANJUR_v2b1_labots.tif"
8 2.53296e+06 6468604 6639696 8.09656e-05 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_OCHSYL_v3b1_labots.tif"
9 359456. 6468604 6639696 0.170702 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_PHEARI_cv_v3b1.tif"
10 2.29249e+06 6468604 6639696 0.000263620 "C:\Users\user\Desktop\HiQBioDiv\GBI_svarosana_HiQBioDiv\GBI\Stretched\HSstretch_Papilionoidea_POLICA_v2b1_1km.tif"
