"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 6468604 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 6467958 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 6467312 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00030 6466666 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00040 6466020 0.0 0.9999 1.0000 0.9999 0.9999 0.9999 1.0000 0.9999
0.00050 6465374 0.0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00060 6464728 0.0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00070 6464082 0.0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00080 6463436 0.0 0.9999 1.0000 0.9998 0.9999 0.9999 1.0000 0.9998
0.00090 6462790 0.0 0.9999 1.0000 0.9997 0.9999 0.9999 1.0000 0.9997
0.00100 6462144 0.0 0.9998 1.0000 0.9997 0.9998 0.9998 1.0000 0.9997
0.00110 6461498 0.0 0.9998 1.0000 0.9997 0.9998 0.9998 1.0000 0.9997
0.00120 6460852 0.0 0.9998 0.9999 0.9996 0.9998 0.9998 0.9999 0.9996
0.00130 6460206 0.0 0.9998 0.9999 0.9996 0.9998 0.9998 0.9999 0.9996
0.00140 6459560 0.0 0.9998 0.9999 0.9996 0.9998 0.9998 0.9999 0.9996
0.00150 6458914 0.0 0.9997 0.9999 0.9996 0.9997 0.9997 0.9999 0.9996
0.00160 6458268 0.0 0.9997 0.9999 0.9995 0.9997 0.9997 0.9999 0.9995
0.00170 6457622 0.0 0.9997 0.9999 0.9995 0.9997 0.9997 0.9999 0.9995
0.00180 6456976 0.0 0.9997 0.9999 0.9995 0.9997 0.9997 0.9999 0.9995
0.00190 6456330 0.0 0.9997 0.9999 0.9994 0.9997 0.9997 0.9999 0.9994
0.00200 6455684 0.0 0.9996 0.9999 0.9994 0.9996 0.9996 0.9999 0.9994
0.00210 6455038 0.0 0.9996 0.9999 0.9994 0.9996 0.9996 0.9999 0.9994
0.00220 6454392 0.0 0.9996 0.9999 0.9993 0.9996 0.9996 0.9999 0.9993
0.00230 6453746 0.0 0.9996 0.9999 0.9993 0.9996 0.9996 0.9999 0.9993
0.00240 6453100 0.0 0.9996 0.9999 0.9993 0.9996 0.9996 0.9999 0.9993
0.00250 6452454 0.0 0.9995 0.9999 0.9992 0.9995 0.9995 0.9999 0.9992
0.00260 6451808 0.0 0.9995 0.9999 0.9992 0.9995 0.9995 0.9999 0.9992
0.00270 6451162 0.0 0.9995 0.9998 0.9992 0.9995 0.9995 0.9998 0.9992
0.00280 6450516 0.0 0.9995 0.9998 0.9991 0.9995 0.9995 0.9998 0.9991
0.00290 6449870 0.0 0.9995 0.9998 0.9991 0.9995 0.9995 0.9998 0.9991
0.00300 6449224 0.0 0.9994 0.9998 0.9991 0.9994 0.9994 0.9998 0.9991
0.00310 6448578 0.0 0.9994 0.9998 0.9990 0.9994 0.9994 0.9998 0.9990
0.00320 6447932 0.0 0.9994 0.9998 0.9990 0.9994 0.9994 0.9998 0.9990
0.00330 6447286 0.0 0.9994 0.9998 0.9990 0.9994 0.9994 0.9998 0.9990
0.00340 6446640 0.0 0.9994 0.9998 0.9989 0.9994 0.9994 0.9998 0.9989
0.00350 6445994 0.0 0.9993 0.9998 0.9989 0.9993 0.9993 0.9998 0.9989
0.00360 6445348 0.0 0.9993 0.9998 0.9989 0.9993 0.9993 0.9998 0.9989
0.00370 6444702 0.0 0.9993 0.9998 0.9988 0.9993 0.9993 0.9998 0.9988
0.00379 6444056 0.0 0.9993 0.9998 0.9988 0.9993 0.9993 0.9998 0.9988
0.00389 6443410 0.0 0.9993 0.9998 0.9988 0.9993 0.9993 0.9998 0.9988
0.00399 6442764 0.0 0.9992 0.9998 0.9987 0.9992 0.9992 0.9998 0.9987
0.00409 6442118 0.0 0.9992 0.9998 0.9987 0.9992 0.9992 0.9998 0.9987
0.00419 6441472 0.0 0.9992 0.9998 0.9987 0.9992 0.9992 0.9998 0.9987
0.00429 6440826 0.0 0.9992 0.9997 0.9986 0.9992 0.9992 0.9997 0.9986
0.00439 6440180 0.0 0.9991 0.9997 0.9986 0.9991 0.9991 0.9997 0.9986
0.00449 6439534 0.0 0.9991 0.9997 0.9985 0.9991 0.9991 0.9997 0.9985
0.00459 6438888 0.0 0.9991 0.9997 0.9985 0.9991 0.9991 0.9997 0.9985
0.00469 6438242 0.0 0.9991 0.9997 0.9985 0.9991 0.9991 0.9997 0.9985
0.00479 6437596 0.0 0.9991 0.9997 0.9984 0.9991 0.9991 0.9997 0.9984
0.00489 6436950 0.0 0.9990 0.9997 0.9984 0.9990 0.9990 0.9997 0.9984
0.00499 6436304 0.0 0.9990 0.9997 0.9984 0.9990 0.9990 0.9997 0.9984
0.00509 6435658 0.0 0.9990 0.9997 0.9983 0.9990 0.9990 0.9997 0.9983
0.00519 6435012 0.0 0.9990 0.9997 0.9983 0.9990 0.9990 0.9997 0.9983
0.00529 6434366 0.0 0.9989 0.9997 0.9982 0.9989 0.9989 0.9997 0.9982
0.00539 6433720 0.0 0.9989 0.9997 0.9982 0.9989 0.9989 0.9997 0.9982
0.00549 6433074 0.0 0.9989 0.9997 0.9982 0.9989 0.9989 0.9997 0.9982
0.00559 6432428 0.0 0.9989 0.9997 0.9981 0.9989 0.9989 0.9997 0.9981
0.00569 6431782 0.0 0.9988 0.9997 0.9981 0.9988 0.9988 0.9997 0.9981
0.00579 6431136 0.0 0.9988 0.9996 0.9980 0.9988 0.9988 0.9996 0.9980
0.00589 6430490 0.0 0.9988 0.9996 0.9980 0.9988 0.9988 0.9996 0.9980
0.00599 6429844 0.0 0.9988 0.9996 0.9980 0.9988 0.9988 0.9996 0.9980
0.00609 6429198 0.0 0.9988 0.9996 0.9979 0.9988 0.9988 0.9996 0.9979
0.00619 6428552 0.0 0.9987 0.9996 0.9979 0.9987 0.9987 0.9996 0.9979
0.00629 6427906 0.0 0.9987 0.9996 0.9978 0.9987 0.9987 0.9996 0.9978
0.00639 6427260 0.0 0.9987 0.9996 0.9978 0.9987 0.9987 0.9996 0.9978
0.00649 6426614 0.0 0.9987 0.9996 0.9977 0.9987 0.9987 0.9996 0.9977
0.00659 6425968 0.0 0.9986 0.9996 0.9977 0.9986 0.9986 0.9996 0.9977
0.00669 6425322 0.0 0.9986 0.9996 0.9977 0.9986 0.9986 0.9996 0.9977
0.00679 6424676 0.0 0.9986 0.9996 0.9976 0.9986 0.9986 0.9996 0.9976
0.00689 6424030 0.0 0.9986 0.9996 0.9976 0.9986 0.9986 0.9996 0.9976
0.00699 6423384 0.0 0.9985 0.9996 0.9975 0.9985 0.9985 0.9996 0.9975
0.00709 6422738 0.0 0.9985 0.9996 0.9975 0.9985 0.9985 0.9996 0.9975
0.00719 6422092 0.0 0.9985 0.9996 0.9974 0.9985 0.9985 0.9996 0.9974
0.00729 6421446 0.0 0.9985 0.9995 0.9974 0.9985 0.9985 0.9995 0.9974
0.00739 6420800 0.0 0.9984 0.9995 0.9974 0.9984 0.9984 0.9995 0.9974
0.00749 6420154 0.0 0.9984 0.9995 0.9973 0.9984 0.9984 0.9995 0.9973
0.00759 6419508 0.0 0.9984 0.9995 0.9973 0.9984 0.9984 0.9995 0.9973
0.00769 6418862 0.0 0.9984 0.9995 0.9972 0.9984 0.9984 0.9995 0.9972
0.00779 6418216 0.0 0.9984 0.9995 0.9972 0.9984 0.9984 0.9995 0.9972
0.00789 6417570 0.0 0.9983 0.9995 0.9971 0.9983 0.9983 0.9995 0.9971
0.00799 6416924 0.0 0.9983 0.9995 0.9971 0.9983 0.9983 0.9995 0.9971
0.00809 6416278 0.0 0.9983 0.9995 0.9971 0.9983 0.9983 0.9995 0.9971
0.00819 6415632 0.0 0.9983 0.9995 0.9970 0.9983 0.9983 0.9995 0.9970
0.00829 6414986 0.0 0.9982 0.9995 0.9970 0.9982 0.9982 0.9995 0.9970
0.00839 6414340 0.0 0.9982 0.9995 0.9969 0.9982 0.9982 0.9995 0.9969
0.00849 6413694 0.0 0.9982 0.9995 0.9969 0.9982 0.9982 0.9995 0.9969
0.00859 6413048 0.0 0.9982 0.9995 0.9968 0.9982 0.9982 0.9995 0.9968
0.00869 6412402 0.0 0.9981 0.9994 0.9968 0.9981 0.9981 0.9994 0.9968
0.00879 6411756 0.0 0.9981 0.9994 0.9967 0.9981 0.9981 0.9994 0.9967
0.00889 6411110 0.0 0.9981 0.9994 0.9967 0.9981 0.9981 0.9994 0.9967
0.00899 6410464 0.0 0.9981 0.9994 0.9967 0.9981 0.9981 0.9994 0.9967
0.00909 6409818 0.0 0.9980 0.9994 0.9966 0.9980 0.9980 0.9994 0.9966
0.00919 6409172 0.0 0.9980 0.9994 0.9966 0.9980 0.9980 0.9994 0.9966
0.00929 6408526 0.0 0.9980 0.9994 0.9965 0.9980 0.9980 0.9994 0.9965
0.00939 6407880 0.0 0.9980 0.9994 0.9965 0.9980 0.9980 0.9994 0.9965
0.00949 6407234 0.0 0.9979 0.9994 0.9964 0.9979 0.9979 0.9994 0.9964
0.00959 6406588 0.0 0.9979 0.9994 0.9964 0.9979 0.9979 0.9994 0.9964
0.00969 6405942 0.0 0.9979 0.9994 0.9963 0.9979 0.9979 0.9994 0.9963
0.00979 6405296 0.0 0.9979 0.9994 0.9963 0.9979 0.9979 0.9994 0.9963
0.00989 6404650 0.0 0.9978 0.9994 0.9962 0.9978 0.9978 0.9994 0.9962
0.00999 6404004 0.0 0.9978 0.9994 0.9962 0.9978 0.9978 0.9994 0.9962
0.01009 6403358 0.0 0.9978 0.9993 0.9961 0.9978 0.9978 0.9993 0.9961
0.01019 6402712 0.0 0.9978 0.9993 0.9961 0.9978 0.9978 0.9993 0.9961
0.01029 6402066 0.0 0.9977 0.9993 0.9960 0.9977 0.9977 0.9993 0.9960
0.01039 6401420 0.0 0.9977 0.9993 0.9960 0.9977 0.9977 0.9993 0.9960
0.01049 6400774 0.0 0.9977 0.9993 0.9960 0.9977 0.9977 0.9993 0.9960
0.01059 6400128 0.0 0.9977 0.9993 0.9959 0.9977 0.9977 0.9993 0.9959
0.01069 6399482 0.0 0.9976 0.9993 0.9959 0.9976 0.9976 0.9993 0.9959
0.01079 6398836 0.0 0.9976 0.9993 0.9958 0.9976 0.9976 0.9993 0.9958
0.01089 6398190 0.0 0.9976 0.9993 0.9958 0.9976 0.9976 0.9993 0.9958
0.01099 6397544 0.0 0.9976 0.9993 0.9957 0.9976 0.9976 0.9993 0.9957
0.01109 6396898 0.0 0.9975 0.9993 0.9957 0.9975 0.9975 0.9993 0.9957
0.01119 6396252 0.0 0.9975 0.9993 0.9956 0.9975 0.9975 0.9993 0.9956
0.01128 6395606 0.0 0.9975 0.9993 0.9956 0.9975 0.9975 0.9993 0.9956
0.01138 6394960 0.0 0.9975 0.9993 0.9955 0.9975 0.9975 0.9993 0.9955
0.01148 6394314 0.0 0.9974 0.9992 0.9955 0.9974 0.9974 0.9992 0.9955
0.01158 6393668 0.0 0.9974 0.9992 0.9954 0.9974 0.9974 0.9992 0.9954
0.01168 6393022 0.0 0.9974 0.9992 0.9954 0.9974 0.9974 0.9992 0.9954
0.01178 6392376 0.0 0.9974 0.9992 0.9953 0.9974 0.9974 0.9992 0.9953
0.01188 6391730 0.0 0.9973 0.9992 0.9953 0.9973 0.9973 0.9992 0.9953
0.01198 6391084 0.0 0.9973 0.9992 0.9952 0.9973 0.9973 0.9992 0.9952
